dialogue_key,event_key,speaker_actor_key,usage,text,next_step_key,notes
DIALOGUE_KEY_CERT_3_VERMILION_DECLINE,EVENT_KEY_CERT_3_VERMILION,ACTOR_KEY_SYSTEM,DECLINE,じゅんびが できたら\nまた どうぞ。,STEP_KEY_CERT_3_VERMILION_END,辞退時
DIALOGUE_KEY_CERT_3_VERMILION_LOSS,EVENT_KEY_CERT_3_VERMILION,ACTOR_KEY_SYSTEM,FAILURE,きろくは のこさない。\nもういちど どうぞ。,STEP_KEY_CERT_3_VERMILION_END,敗北後再試行案内
DIALOGUE_KEY_CERT_3_VERMILION_REVISIT,EVENT_KEY_CERT_3_VERMILION,ACTOR_KEY_SYSTEM,REVISIT,だい3しょうは\nとうろくずみ。,STEP_KEY_CERT_3_VERMILION_END,認定済み
DIALOGUE_KEY_QOL_OAK_BASIC_SYNC_INTRO,EVENT_KEY_QOL_OAK_BASIC_SYNC,ACTOR_KEY_EVENT_YUI,INTRO,けいけんと たまごを\nPCから みまもれる。,STEP_KEY_QOL_OAK_BASIC_SYNC_COMPLETE,初回導入。短文のみ
DIALOGUE_KEY_QOL_OAK_BASIC_SYNC_COMPLETE,EVENT_KEY_QOL_OAK_BASIC_SYNC,ACTOR_KEY_EVENT_YUI,COMPLETE,わざの そうだんも\nむりょうで できるよ。,STEP_KEY_QOL_OAK_BASIC_SYNC_SET_DONE,成功確定直前の完了会話
DIALOGUE_KEY_QOL_OAK_BASIC_SYNC_REVISIT,EVENT_KEY_QOL_OAK_BASIC_SYNC,ACTOR_KEY_EVENT_YUI,REVISIT,そだてかたは\nPCで いつでも かくにん。,STEP_KEY_QOL_OAK_BASIC_SYNC_END,完了後再訪会話
DIALOGUE_KEY_SIDE_FOREST_CORRIDOR_START_INTRO,EVENT_KEY_SIDE_FOREST_CORRIDOR_START,ACTOR_KEY_EVENT_SUZU,INTRO,もりまで つづく\nちいさな みちを みたい。,STEP_KEY_SIDE_FOREST_CORRIDOR_START_PROMPT,初回説明
DIALOGUE_KEY_SIDE_FOREST_CORRIDOR_START_PROMPT,EVENT_KEY_SIDE_FOREST_CORRIDOR_START,ACTOR_KEY_EVENT_SUZU,PROMPT,2つの しるしを\nみて くれますか？,STEP_KEY_SIDE_FOREST_CORRIDOR_START_ACCEPT,YES_NO表示文
DIALOGUE_KEY_SIDE_FOREST_CORRIDOR_START_ACCEPT,EVENT_KEY_SIDE_FOREST_CORRIDOR_START,ACTOR_KEY_EVENT_SUZU,ACCEPT,ありがとう。\nはなと もりを みて。,STEP_KEY_SIDE_FOREST_CORRIDOR_START_SET_DONE,受諾確認
DIALOGUE_KEY_SIDE_FOREST_CORRIDOR_START_DECLINE,EVENT_KEY_SIDE_FOREST_CORRIDOR_START,ACTOR_KEY_EVENT_SUZU,DECLINE,いそがなくて いいよ。\nみちは にげない。,STEP_KEY_SIDE_FOREST_CORRIDOR_START_END,辞退時
DIALOGUE_KEY_SIDE_FOREST_CORRIDOR_START_REVISIT,EVENT_KEY_SIDE_FOREST_CORRIDOR_START,ACTOR_KEY_EVENT_SUZU,REVISIT,2ばんどうろから\nもりへ すすんで。,STEP_KEY_SIDE_FOREST_CORRIDOR_START_END,完了後
DIALOGUE_KEY_SIDE_FOREST_CORRIDOR_ROUTE2_INTRO,EVENT_KEY_SIDE_FOREST_CORRIDOR_ROUTE2,ACTOR_KEY_NARRATION,INTRO,はなの こなが\nもりの ほうへ ながれる。,STEP_KEY_SIDE_FOREST_CORRIDOR_ROUTE2_COMPLETE,初回導入。短文のみ
DIALOGUE_KEY_SIDE_FOREST_CORRIDOR_ROUTE2_COMPLETE,EVENT_KEY_SIDE_FOREST_CORRIDOR_ROUTE2,ACTOR_KEY_NARRATION,COMPLETE,ちいさな はこびてが\nみちを つないでいる。,STEP_KEY_SIDE_FOREST_CORRIDOR_ROUTE2_SET_DONE,成功確定直前の完了会話
DIALOGUE_KEY_SIDE_FOREST_CORRIDOR_ROUTE2_REVISIT,EVENT_KEY_SIDE_FOREST_CORRIDOR_ROUTE2,ACTOR_KEY_NARRATION,REVISIT,はなの こなは\nきょうも もりへ。,STEP_KEY_SIDE_FOREST_CORRIDOR_ROUTE2_END,完了後再訪会話
DIALOGUE_KEY_SIDE_FOREST_CORRIDOR_COMPLETE_INTRO,EVENT_KEY_SIDE_FOREST_CORRIDOR_COMPLETE,ACTOR_KEY_SYSTEM,INTRO,もりの しるしが\n2つ そろった。,STEP_KEY_SIDE_FOREST_CORRIDOR_COMPLETE_PROMPT,報告受付
DIALOGUE_KEY_SIDE_FOREST_CORRIDOR_COMPLETE_PROMPT,EVENT_KEY_SIDE_FOREST_CORRIDOR_COMPLETE,ACTOR_KEY_SYSTEM,PROMPT,ちいさな おれいを\nうけとりますか？,STEP_KEY_SIDE_FOREST_CORRIDOR_COMPLETE_GIVE,報酬受取確認
DIALOGUE_KEY_SIDE_FOREST_CORRIDOR_COMPLETE_COMPLETE,EVENT_KEY_SIDE_FOREST_CORRIDOR_COMPLETE,ACTOR_KEY_SYSTEM,COMPLETE,オレンのみを\nうけとった。,STEP_KEY_SIDE_FOREST_CORRIDOR_COMPLETE_SET_DONE,報酬transaction成功後
DIALOGUE_KEY_SIDE_FOREST_CORRIDOR_COMPLETE_SYNC,EVENT_KEY_SIDE_FOREST_CORRIDOR_COMPLETE,ACTOR_KEY_SYSTEM,COMPLETE,おれいは うけとりずみ。\nきろくを ととのえる。,STEP_KEY_SIDE_FOREST_CORRIDOR_COMPLETE_SET_DONE,claim済みでevent state未同期の場合
DIALOGUE_KEY_SIDE_FOREST_CORRIDOR_COMPLETE_DECLINE,EVENT_KEY_SIDE_FOREST_CORRIDOR_COMPLETE,ACTOR_KEY_SYSTEM,DECLINE,もちものを ととのえて\nまた どうぞ。,STEP_KEY_SIDE_FOREST_CORRIDOR_COMPLETE_END,受取辞退
DIALOGUE_KEY_SIDE_FOREST_CORRIDOR_COMPLETE_REVISIT,EVENT_KEY_SIDE_FOREST_CORRIDOR_COMPLETE,ACTOR_KEY_SYSTEM,REVISIT,もりの かいろは\nきろくずみ。,STEP_KEY_SIDE_FOREST_CORRIDOR_COMPLETE_END,完了後
DIALOGUE_KEY_SIDE_MOON_STRATA_START_INTRO,EVENT_KEY_SIDE_MOON_STRATA_START,ACTOR_KEY_EVENT_GAKU,INTRO,やまの そとと なかで\nいわの いろが ちがう。,STEP_KEY_SIDE_MOON_STRATA_START_PROMPT,初回説明
DIALOGUE_KEY_SIDE_MOON_STRATA_START_PROMPT,EVENT_KEY_SIDE_MOON_STRATA_START,ACTOR_KEY_EVENT_GAKU,PROMPT,3つの ちそうを\nじゅんに みますか？,STEP_KEY_SIDE_MOON_STRATA_START_ACCEPT,YES_NO表示文
DIALOGUE_KEY_SIDE_MOON_STRATA_START_ACCEPT,EVENT_KEY_SIDE_MOON_STRATA_START,ACTOR_KEY_EVENT_GAKU,ACCEPT,3ばんどうろから\nおつきみやまへ。,STEP_KEY_SIDE_MOON_STRATA_START_SET_DONE,受諾確認
DIALOGUE_KEY_SIDE_MOON_STRATA_START_DECLINE,EVENT_KEY_SIDE_MOON_STRATA_START,ACTOR_KEY_EVENT_GAKU,DECLINE,じゅんじょが だいじだ。\nまた たのむ。,STEP_KEY_SIDE_MOON_STRATA_START_END,辞退時
DIALOGUE_KEY_SIDE_MOON_STRATA_START_REVISIT,EVENT_KEY_SIDE_MOON_STRATA_START,ACTOR_KEY_EVENT_GAKU,REVISIT,そと いりぐち おく。\nじゅんに たしかめて。,STEP_KEY_SIDE_MOON_STRATA_START_END,完了後
DIALOGUE_KEY_SIDE_MOON_STRATA_ROUTE3_INTRO,EVENT_KEY_SIDE_MOON_STRATA_ROUTE3,ACTOR_KEY_NARRATION,INTRO,あかるい いわはだに\nかわいた すじが ある。,STEP_KEY_SIDE_MOON_STRATA_ROUTE3_COMPLETE,初回導入。短文のみ
DIALOGUE_KEY_SIDE_MOON_STRATA_ROUTE3_COMPLETE,EVENT_KEY_SIDE_MOON_STRATA_ROUTE3,ACTOR_KEY_NARRATION,COMPLETE,そとの ちそうを\nきろくした。,STEP_KEY_SIDE_MOON_STRATA_ROUTE3_SET_DONE,成功確定直前の完了会話
DIALOGUE_KEY_SIDE_MOON_STRATA_ROUTE3_REVISIT,EVENT_KEY_SIDE_MOON_STRATA_ROUTE3,ACTOR_KEY_NARRATION,REVISIT,かわいた すじは\nかわっていない。,STEP_KEY_SIDE_MOON_STRATA_ROUTE3_END,完了後再訪会話
DIALOGUE_KEY_SIDE_MOON_STRATA_MT_MOON_INTRO,EVENT_KEY_SIDE_MOON_STRATA_MT_MOON,ACTOR_KEY_NARRATION,INTRO,うすい ひかりが\nいわの つぶに のこる。,STEP_KEY_SIDE_MOON_STRATA_MT_MOON_COMPLETE,初回導入。短文のみ
DIALOGUE_KEY_SIDE_MOON_STRATA_MT_MOON_COMPLETE,EVENT_KEY_SIDE_MOON_STRATA_MT_MOON,ACTOR_KEY_NARRATION,COMPLETE,なかの ちそうを\nきろくした。,STEP_KEY_SIDE_MOON_STRATA_MT_MOON_SET_DONE,成功確定直前の完了会話
DIALOGUE_KEY_SIDE_MOON_STRATA_MT_MOON_REVISIT,EVENT_KEY_SIDE_MOON_STRATA_MT_MOON,ACTOR_KEY_NARRATION,REVISIT,ひかる つぶは\nおなじ ならびだ。,STEP_KEY_SIDE_MOON_STRATA_MT_MOON_END,完了後再訪会話
DIALOGUE_KEY_SIDE_MOON_STRATA_COMPLETE_INTRO,EVENT_KEY_SIDE_MOON_STRATA_COMPLETE,ACTOR_KEY_EVENT_GAKU,INTRO,そとと なかの きろくが\nきれいに つながった。,STEP_KEY_SIDE_MOON_STRATA_COMPLETE_PROMPT,報告受付
DIALOGUE_KEY_SIDE_MOON_STRATA_COMPLETE_PROMPT,EVENT_KEY_SIDE_MOON_STRATA_COMPLETE,ACTOR_KEY_EVENT_GAKU,PROMPT,たんさくの どうぐを\nうけとるか？,STEP_KEY_SIDE_MOON_STRATA_COMPLETE_GIVE,報酬受取確認
DIALOGUE_KEY_SIDE_MOON_STRATA_COMPLETE_COMPLETE,EVENT_KEY_SIDE_MOON_STRATA_COMPLETE,ACTOR_KEY_EVENT_GAKU,COMPLETE,あなぬけのヒモを\nうけとった。,STEP_KEY_SIDE_MOON_STRATA_COMPLETE_SET_DONE,報酬transaction成功後
DIALOGUE_KEY_SIDE_MOON_STRATA_COMPLETE_SYNC,EVENT_KEY_SIDE_MOON_STRATA_COMPLETE,ACTOR_KEY_EVENT_GAKU,COMPLETE,どうぐは わたしずみ。\nきろくを とじる。,STEP_KEY_SIDE_MOON_STRATA_COMPLETE_SET_DONE,claim済みでevent state未同期の場合
DIALOGUE_KEY_SIDE_MOON_STRATA_COMPLETE_DECLINE,EVENT_KEY_SIDE_MOON_STRATA_COMPLETE,ACTOR_KEY_EVENT_GAKU,DECLINE,にもつを みなおして\nまた きてくれ。,STEP_KEY_SIDE_MOON_STRATA_COMPLETE_END,受取辞退
DIALOGUE_KEY_SIDE_MOON_STRATA_COMPLETE_REVISIT,EVENT_KEY_SIDE_MOON_STRATA_COMPLETE,ACTOR_KEY_EVENT_GAKU,REVISIT,ちそうの じゅんじょは\nほぞんずみだ。,STEP_KEY_SIDE_MOON_STRATA_COMPLETE_END,完了後
DIALOGUE_KEY_SIDE_EGG_COURIER_START_INTRO,EVENT_KEY_SIDE_EGG_COURIER_START,ACTOR_KEY_EVENT_MIO,INTRO,たまごの はこを\nあたためる ぬのが いる。,STEP_KEY_SIDE_EGG_COURIER_START_PROMPT,service初回説明
DIALOGUE_KEY_SIDE_EGG_COURIER_START_PROMPT,EVENT_KEY_SIDE_EGG_COURIER_START,ACTOR_KEY_EVENT_MIO,PROMPT,4ばんどうろまで\nとどけに いく？,STEP_KEY_SIDE_EGG_COURIER_START_SET_DONE,初回service確認
DIALOGUE_KEY_SIDE_EGG_COURIER_START_REVISIT,EVENT_KEY_SIDE_EGG_COURIER_START,ACTOR_KEY_EVENT_MIO,REVISIT,あずかりの ようすを\nみますか？,STEP_KEY_SIDE_EGG_COURIER_START_OPEN,再訪service確認
DIALOGUE_KEY_SIDE_EGG_COURIER_START_DECLINE,EVENT_KEY_SIDE_EGG_COURIER_START,ACTOR_KEY_EVENT_MIO,DECLINE,たまごは まてるよ。\nむりは しないで。,STEP_KEY_SIDE_EGG_COURIER_START_END,service辞退
DIALOGUE_KEY_SIDE_EGG_COURIER_ROUTE4_INTRO,EVENT_KEY_SIDE_EGG_COURIER_ROUTE4,ACTOR_KEY_NARRATION,INTRO,ひなたで かわいた\nやわらかな ぬのだ。,STEP_KEY_SIDE_EGG_COURIER_ROUTE4_COMPLETE,初回導入。短文のみ
DIALOGUE_KEY_SIDE_EGG_COURIER_ROUTE4_COMPLETE,EVENT_KEY_SIDE_EGG_COURIER_ROUTE4,ACTOR_KEY_NARRATION,COMPLETE,ほおんざいを\nあずかった。,STEP_KEY_SIDE_EGG_COURIER_ROUTE4_SET_DONE,成功確定直前の完了会話
DIALOGUE_KEY_SIDE_EGG_COURIER_ROUTE4_REVISIT,EVENT_KEY_SIDE_EGG_COURIER_ROUTE4,ACTOR_KEY_NARRATION,REVISIT,ひなたの ぬのは\nもう あずかりずみ。,STEP_KEY_SIDE_EGG_COURIER_ROUTE4_END,完了後再訪会話
DIALOGUE_KEY_SIDE_EGG_COURIER_COMPLETE_INTRO,EVENT_KEY_SIDE_EGG_COURIER_COMPLETE,ACTOR_KEY_EVENT_MIO,INTRO,ぬのが あれば\nたまごを まとめて まもれる。,STEP_KEY_SIDE_EGG_COURIER_COMPLETE_PROMPT,届け物確認
DIALOGUE_KEY_SIDE_EGG_COURIER_COMPLETE_PROMPT,EVENT_KEY_SIDE_EGG_COURIER_COMPLETE,ACTOR_KEY_EVENT_MIO,PROMPT,ほおんざいを\nわたしますか？,STEP_KEY_SIDE_EGG_COURIER_COMPLETE_COMPLETE,完了確認
DIALOGUE_KEY_SIDE_EGG_COURIER_COMPLETE_COMPLETE,EVENT_KEY_SIDE_EGG_COURIER_COMPLETE,ACTOR_KEY_EVENT_MIO,COMPLETE,ありがとう。\nたまごかごを つかえるよ。,STEP_KEY_SIDE_EGG_COURIER_COMPLETE_SET_DONE,完了と解禁説明
DIALOGUE_KEY_SIDE_EGG_COURIER_COMPLETE_DECLINE,EVENT_KEY_SIDE_EGG_COURIER_COMPLETE,ACTOR_KEY_EVENT_MIO,DECLINE,だいじに もっていて。\nまた かくにんするね。,STEP_KEY_SIDE_EGG_COURIER_COMPLETE_END,保留
DIALOGUE_KEY_SIDE_EGG_COURIER_COMPLETE_REVISIT,EVENT_KEY_SIDE_EGG_COURIER_COMPLETE,ACTOR_KEY_EVENT_MIO,REVISIT,たまごかごを\nつかいますか？,STEP_KEY_SIDE_EGG_COURIER_COMPLETE_OPEN,完了後service案内
DIALOGUE_KEY_SIDE_CAPE_TIME_START_INTRO,EVENT_KEY_SIDE_CAPE_TIME_START,ACTOR_KEY_EVENT_TOKI,INTRO,みさきの ひかりが\nすこし ずれて みえる。,STEP_KEY_SIDE_CAPE_TIME_START_PROMPT,初回説明
DIALOGUE_KEY_SIDE_CAPE_TIME_START_PROMPT,EVENT_KEY_SIDE_CAPE_TIME_START,ACTOR_KEY_EVENT_TOKI,PROMPT,25ばんどうろで\nじかんを たしかめる？,STEP_KEY_SIDE_CAPE_TIME_START_ACCEPT,YES_NO表示文
DIALOGUE_KEY_SIDE_CAPE_TIME_START_ACCEPT,EVENT_KEY_SIDE_CAPE_TIME_START,ACTOR_KEY_EVENT_TOKI,ACCEPT,ひかりが かさなる\nしゅんかんを みて。,STEP_KEY_SIDE_CAPE_TIME_START_SET_DONE,受諾確認
DIALOGUE_KEY_SIDE_CAPE_TIME_START_DECLINE,EVENT_KEY_SIDE_CAPE_TIME_START,ACTOR_KEY_EVENT_TOKI,DECLINE,ひかりは また めぐる。\nあせらなくて いい。,STEP_KEY_SIDE_CAPE_TIME_START_END,辞退時
DIALOGUE_KEY_SIDE_CAPE_TIME_START_REVISIT,EVENT_KEY_SIDE_CAPE_TIME_START,ACTOR_KEY_EVENT_TOKI,REVISIT,25ばんどうろの\nひかりを みて。,STEP_KEY_SIDE_CAPE_TIME_START_END,完了後
DIALOGUE_KEY_SIDE_CAPE_TIME_COMPLETE_INTRO,EVENT_KEY_SIDE_CAPE_TIME_COMPLETE,ACTOR_KEY_SYSTEM,INTRO,ふたつの ひかりが\nいま かさなった。,STEP_KEY_SIDE_CAPE_TIME_COMPLETE_PROMPT,既存取得host前の導入
DIALOGUE_KEY_SIDE_CAPE_TIME_COMPLETE_PROMPT,EVENT_KEY_SIDE_CAPE_TIME_COMPLETE,ACTOR_KEY_SYSTEM,PROMPT,ちかくの けはいへ\nこえを かけますか？,STEP_KEY_SIDE_CAPE_TIME_COMPLETE_CALL,取得実行確認
DIALOGUE_KEY_SIDE_CAPE_TIME_COMPLETE_COMPLETE,EVENT_KEY_SIDE_CAPE_TIME_COMPLETE,ACTOR_KEY_SYSTEM,COMPLETE,じかんの けはいが\nなかまに くわわった。,STEP_KEY_SIDE_CAPE_TIME_COMPLETE_SET_DONE,既存transaction成功後
DIALOGUE_KEY_SIDE_CAPE_TIME_COMPLETE_SYNC,EVENT_KEY_SIDE_CAPE_TIME_COMPLETE,ACTOR_KEY_SYSTEM,COMPLETE,その けはいは\nすでに こたえている。,STEP_KEY_SIDE_CAPE_TIME_COMPLETE_SET_DONE,既存claim済み同期
DIALOGUE_KEY_SIDE_CAPE_TIME_COMPLETE_DECLINE,EVENT_KEY_SIDE_CAPE_TIME_COMPLETE,ACTOR_KEY_SYSTEM,DECLINE,ひかりは きえない。\nまた こえを かけよう。,STEP_KEY_SIDE_CAPE_TIME_COMPLETE_END,辞退時
DIALOGUE_KEY_SIDE_CAPE_TIME_COMPLETE_FAILURE,EVENT_KEY_SIDE_CAPE_TIME_COMPLETE,ACTOR_KEY_SYSTEM,FAILURE,うけいれる ばしょを\nあけて もどろう。,STEP_KEY_SIDE_CAPE_TIME_COMPLETE_END,party/PC容量不足等
DIALOGUE_KEY_SIDE_CAPE_TIME_COMPLETE_REVISIT,EVENT_KEY_SIDE_CAPE_TIME_COMPLETE,ACTOR_KEY_SYSTEM,REVISIT,みさきの じかんは\nきろくずみ。,STEP_KEY_SIDE_CAPE_TIME_COMPLETE_END,取得済み再訪
DIALOGUE_KEY_CERT_1_PEWTER_INTRO,EVENT_KEY_CERT_1_PEWTER,ACTOR_KEY_SYSTEM,INTRO,だい1にんてい。\nちそうの よみあい。,STEP_KEY_CERT_1_PEWTER_PROMPT,認定テーマ提示
DIALOGUE_KEY_CERT_1_PEWTER_PROMPT,EVENT_KEY_CERT_1_PEWTER,ACTOR_KEY_SYSTEM,PROMPT,きろくせんを\nはじめますか？,STEP_KEY_CERT_1_PEWTER_BATTLE,認定戦開始確認
DIALOGUE_KEY_CERT_1_PEWTER_WIN,EVENT_KEY_CERT_1_PEWTER,ACTOR_KEY_SYSTEM,COMPLETE,しょうりを かくにん。\nだい1しょう とうろく。,STEP_KEY_CERT_1_PEWTER_SET_DONE,勝利後登録
DIALOGUE_KEY_CERT_1_PEWTER_SYNC,EVENT_KEY_CERT_1_PEWTER,ACTOR_KEY_SYSTEM,COMPLETE,しょうりずみを かくにん。\nだい1しょう とうろく。,STEP_KEY_CERT_1_PEWTER_SET_DONE,既存defeat済み同期
DIALOGUE_KEY_CERT_1_PEWTER_DECLINE,EVENT_KEY_CERT_1_PEWTER,ACTOR_KEY_SYSTEM,DECLINE,じゅんびが できたら\nまた どうぞ。,STEP_KEY_CERT_1_PEWTER_END,辞退時
