coverage_key,subject_kind,subject_key,coverage_status,event_keys,rationale
COVERAGE_KEY_LOGICAL_K47,LOGICAL_LOCATION,K47,NEW_EVENT,EVENT_KEY_QOL_OAK_BASIC_SYNC|EVENT_KEY_QOL_FIELD_KIT|EVENT_KEY_QOL_RESEARCH_PROFILE,マサラタウン・オーキド研究所に3件の新規SIMPLE_EVENTを配置する。内容は研究所の基礎運用同期・遠征用フィールドキット・研究プロフィール同期。
COVERAGE_KEY_QOL_TEXT_SPEED_INSTANT,QOL_FEATURE,TEXT_SPEED_INSTANT,AUTO_UNLOCK,,catalogがAUTO_OR_EXISTING_UIを指定しているため、新規world eventを重ねず既存UIまたは自動解禁を維持する。
COVERAGE_KEY_QOL_FAST_MOVEMENT,QOL_FEATURE,FAST_MOVEMENT,AUTO_UNLOCK,,catalogがAUTO_OR_EXISTING_UIを指定しているため、新規world eventを重ねず既存UIまたは自動解禁を維持する。
COVERAGE_KEY_QOL_IV_EV_JUDGE,QOL_FEATURE,IV_EV_JUDGE,AUTO_UNLOCK,,catalogがAUTO_OR_EXISTING_UIを指定しているため、新規world eventを重ねず既存UIまたは自動解禁を維持する。
COVERAGE_KEY_QOL_PC_SEARCH_MULTISELECT,QOL_FEATURE,PC_SEARCH_MULTISELECT,AUTO_UNLOCK,,catalogがAUTO_OR_EXISTING_UIを指定しているため、新規world eventを重ねず既存UIまたは自動解禁を維持する。
COVERAGE_KEY_QOL_EXP_SHARE,QOL_FEATURE,EXP_SHARE,NEW_EVENT,EVENT_KEY_QOL_OAK_BASIC_SYNC,研究所で共有育成の既存解禁を説明する。
COVERAGE_KEY_QOL_EVERSTONE_SUPPLY,QOL_FEATURE,EVERSTONE_SUPPLY,NEW_EVENT,EVENT_KEY_QOL_OAK_BASIC_SYNC,研究所で既存の供給先を含む基礎育成運用を説明する。
COVERAGE_KEY_QOL_EGG_PC_TRANSFER,QOL_FEATURE,EGG_PC_TRANSFER,NEW_EVENT,EVENT_KEY_QOL_OAK_BASIC_SYNC,研究所でPCとたまご運用の既存機能を説明する。
COVERAGE_KEY_QOL_EGG_QUEUE_5,QOL_FEATURE,EGG_QUEUE_5,NEW_EVENT,EVENT_KEY_SIDE_EGG_COURIER_START,育て屋の依頼と既存daycare serviceで複数たまご運用を自然に見せる。
COVERAGE_KEY_QOL_FREE_MOVE_RELEARN,QOL_FEATURE,FREE_MOVE_RELEARN,NEW_EVENT,EVENT_KEY_QOL_OAK_BASIC_SYNC,研究所で既存の無料わざ相談を説明する。
COVERAGE_KEY_QOL_PC_MOVE_EDIT,QOL_FEATURE,PC_MOVE_EDIT,NEW_EVENT,EVENT_KEY_QOL_OAK_BASIC_SYNC,研究所でPC上の既存わざ編集を説明する。
COVERAGE_KEY_QOL_EXP_CANDY_XS_S,QOL_FEATURE,EXP_CANDY_XS_S,NEW_EVENT,EVENT_KEY_QOL_FIELD_KIT,遠征用field kitとして既存candy供給を説明する。
COVERAGE_KEY_QOL_EXP_CANDY_M_ONCE,QOL_FEATURE,EXP_CANDY_M_ONCE,NEW_EVENT,EVENT_KEY_QOL_FIELD_KIT,遠征用field kitとして既存一度限りrewardの所在を説明する。
COVERAGE_KEY_QOL_ABILITY_CAPSULE_MINTS,QOL_FEATURE,ABILITY_CAPSULE_MINTS,NEW_EVENT,EVENT_KEY_QOL_FIELD_KIT,遠征準備として既存capsule・mint運用を説明する。
COVERAGE_KEY_QOL_EV_RESET_ALL,QOL_FEATURE,EV_RESET_ALL,NEW_EVENT,EVENT_KEY_QOL_FIELD_KIT,遠征準備として既存EV reset serviceを説明する。
COVERAGE_KEY_QOL_FIELD_PC,QOL_FEATURE,FIELD_PC,NEW_EVENT,EVENT_KEY_QOL_FIELD_KIT,屋外から利用できる既存PC機能を説明する。
COVERAGE_KEY_QOL_PC_HELD_ITEM_BULK,QOL_FEATURE,PC_HELD_ITEM_BULK,NEW_EVENT,EVENT_KEY_QOL_FIELD_KIT,PC内の既存一括持物操作を説明する。
COVERAGE_KEY_QOL_AUTO_BATTLE,QOL_FEATURE,AUTO_BATTLE,NEW_EVENT,EVENT_KEY_QOL_FIELD_KIT,field kit説明で既存auto battleの使い所を示す。
COVERAGE_KEY_QOL_DESTINY_KNOT,QOL_FEATURE,DESTINY_KNOT,NEW_EVENT,EVENT_KEY_SIDE_EGG_COURIER_COMPLETE,保温材quest完了後に既存育成供給へ接続する。
COVERAGE_KEY_QOL_EGG_BASKET,QOL_FEATURE,EGG_BASKET,NEW_EVENT,EVENT_KEY_SIDE_EGG_COURIER_COMPLETE,quest完了からSERVICE_PROFILE_EGG_BASKETへ直接引き渡す。
COVERAGE_KEY_QOL_OVAL_CHARM,QOL_FEATURE,OVAL_CHARM,NEW_EVENT,EVENT_KEY_SIDE_EGG_COURIER_COMPLETE,育て屋の完了会話で既存たまご効率化を説明する。
COVERAGE_KEY_QOL_POWER_ITEMS,QOL_FEATURE,POWER_ITEMS,NEW_EVENT,EVENT_KEY_QOL_LATE_TRAINING,後半育成menuとして既存power item供給を説明する。
COVERAGE_KEY_QOL_EXP_CANDY_M_REPEAT,QOL_FEATURE,EXP_CANDY_M_REPEAT,NEW_EVENT,EVENT_KEY_QOL_LATE_TRAINING,後半育成menuとして既存repeatable candy供給を説明する。
COVERAGE_KEY_QOL_EXP_CANDY_L_SILVER_CAP,QOL_FEATURE,EXP_CANDY_L_SILVER_CAP,NEW_EVENT,EVENT_KEY_QOL_LATE_TRAINING,後半育成menuとして既存高位育成供給を説明する。
COVERAGE_KEY_QOL_ABILITY_PATCH_ALL_MINTS,QOL_FEATURE,ABILITY_PATCH_ALL_MINTS,NEW_EVENT,EVENT_KEY_QOL_LATE_TRAINING,後半育成menuとして既存patch・mint供給を説明する。
COVERAGE_KEY_QOL_EV_RESET_ITEMS,QOL_FEATURE,EV_RESET_ITEMS,NEW_EVENT,EVENT_KEY_QOL_LATE_TRAINING,後半育成menuとして既存reset item供給を説明する。
COVERAGE_KEY_QOL_STANDARD_TRAINING_SHOP,QOL_FEATURE,STANDARD_TRAINING_SHOP,NEW_EVENT,EVENT_KEY_QOL_LATE_TRAINING,既存training shopをSilphの案内consoleで示す。
COVERAGE_KEY_QOL_EXP_CANDY_XL_ONCE,QOL_FEATURE,EXP_CANDY_XL_ONCE,NEW_EVENT,EVENT_KEY_QOL_RESEARCH_PROFILE,研究profile同期で既存一度限りXL rewardを説明する。
COVERAGE_KEY_QOL_RESEARCH_PROFILE,QOL_FEATURE,RESEARCH_PROFILE,NEW_EVENT,EVENT_KEY_QOL_RESEARCH_PROFILE,研究所で既存profileの用途を説明する。
COVERAGE_KEY_QOL_TM_REUSE_LICENSE,QOL_FEATURE,TM_REUSE_LICENSE,NEW_EVENT,EVENT_KEY_QOL_LICENSE_SYNC,Silph consoleで既存TM licenseを説明する。
COVERAGE_KEY_QOL_HIDDEN_ABILITY_DEXNAV,QOL_FEATURE,HIDDEN_ABILITY_DEXNAV,NEW_EVENT,EVENT_KEY_QOL_LICENSE_SYNC,Silph consoleで既存DexNav拡張を説明する。
COVERAGE_KEY_QOL_COMPETITIVE_ITEM_SUPPLY,QOL_FEATURE,COMPETITIVE_ITEM_SUPPLY,NEW_EVENT,EVENT_KEY_QOL_COMPETITIVE_SUPPLY,既存対戦用供給先を短く案内する。
COVERAGE_KEY_QOL_HIGH_DIFFICULTY_RAID,QOL_FEATURE,HIGH_DIFFICULTY_RAID,NEW_EVENT,EVENT_KEY_QOL_HIGH_RAID,既存高難度raidの観測方法を説明する。
COVERAGE_KEY_QOL_TERA_DYNAMAX_STORY,QOL_FEATURE,TERA_DYNAMAX_STORY,NEW_EVENT,EVENT_KEY_QOL_LEAGUE_TECH,League後に既存story battle technologyを記録として説明する。
COVERAGE_KEY_QOL_BOOST_ENERGY_UB_PARADOX,QOL_FEATURE,BOOST_ENERGY_UB_PARADOX,NEW_EVENT,EVENT_KEY_QOL_UB_SUPPLY,既存異界向け供給先をIndigo受付で案内する。
COVERAGE_KEY_QOL_EXP_CANDY_XL_GOLD_CAP,QOL_FEATURE,EXP_CANDY_XL_GOLD_CAP,NEW_EVENT,EVENT_KEY_QOL_GOLD_CAP_SUPPLY,既存最終育成供給先をIndigo受付で案内する。
COVERAGE_KEY_GATE_KANTO_EARLY_ACCESS,PROGRESSION_GATE,KANTO_EARLY_ACCESS,NEW_EVENT,EVENT_KEY_MAIN_PORT_ARRIVAL|EVENT_KEY_FACILITY_PORT_WARNING|EVENT_KEY_FACILITY_PORT_HEAL|EVENT_KEY_FACILITY_PORT_RETURN,既存の地域access gateへ初着岸、高難度警告、無料回復、無料帰還を追加し安全な任意遠征として見せる。
COVERAGE_KEY_GATE_KANTO_DAYCARE_QUEST,PROGRESSION_GATE,KANTO_DAYCARE_QUEST,NEW_EVENT,EVENT_KEY_SIDE_EGG_COURIER_COMPLETE,保温材搬送の完了stateをsymbolic resolver hookとし既存たまごQOLへ接続する。
COVERAGE_KEY_GATE_KANTO_CERT_1,PROGRESSION_GATE,KANTO_CERT_1,EXISTING_CONTENT,EVENT_KEY_CERT_1_PEWTER,既存gym boss 01のdefeatとcert ownerを正本とし、新規受付・敗北・再訪会話を追加する。
COVERAGE_KEY_GATE_KANTO_CERT_2,PROGRESSION_GATE,KANTO_CERT_2,EXISTING_CONTENT,EVENT_KEY_CERT_2_CERULEAN,既存gym boss 02のdefeatとcert ownerを正本とし、新規受付・敗北・再訪会話を追加する。
COVERAGE_KEY_GATE_KANTO_CERT_3,PROGRESSION_GATE,KANTO_CERT_3,EXISTING_CONTENT,EVENT_KEY_CERT_3_VERMILION,既存gym boss 03のdefeatとcert ownerを正本とし、新規受付・敗北・再訪会話を追加する。
COVERAGE_KEY_GATE_KANTO_CERT_4,PROGRESSION_GATE,KANTO_CERT_4,EXISTING_CONTENT,EVENT_KEY_CERT_4_CELADON,既存gym boss 04のdefeatとcert ownerを正本とし、新規受付・敗北・再訪会話を追加する。
COVERAGE_KEY_GATE_VEGA_HALL_OF_FAME,PROGRESSION_GATE,VEGA_HALL_OF_FAME,EXISTING_CONTENT,EVENT_KEY_MAIN_POSTHOF_RETURN,Vega本編の既存Hall of Fame ownerを正本とし、成立後だけ後半再招集会話を追加する。
COVERAGE_KEY_GATE_KANTO_CERT_5,PROGRESSION_GATE,KANTO_CERT_5,EXISTING_CONTENT,EVENT_KEY_CERT_5_FUCHSIA,既存gym boss 05のdefeatとcert ownerを正本とし、新規受付・敗北・再訪会話を追加する。
COVERAGE_KEY_GATE_KANTO_CERT_6,PROGRESSION_GATE,KANTO_CERT_6,EXISTING_CONTENT,EVENT_KEY_CERT_6_SAFFRON,既存gym boss 06のdefeatとcert ownerを正本とし、新規受付・敗北・再訪会話を追加する。
COVERAGE_KEY_GATE_KANTO_CERT_7,PROGRESSION_GATE,KANTO_CERT_7,EXISTING_CONTENT,EVENT_KEY_CERT_7_CINNABAR,既存gym boss 07のdefeatとcert ownerを正本とし、新規受付・敗北・再訪会話を追加する。
COVERAGE_KEY_GATE_KANTO_CERT_8,PROGRESSION_GATE,KANTO_CERT_8,EXISTING_CONTENT,EVENT_KEY_CERT_8_VIRIDIAN,既存gym boss 08のdefeatとcert ownerを正本とし、新規受付・敗北・再訪会話を追加する。
COVERAGE_KEY_GATE_KANTO_LEAGUE,PROGRESSION_GATE,KANTO_LEAGUE,EXISTING_CONTENT,EVENT_KEY_MAIN_KANTO_LEAGUE_ENTRY,既存League sequenceの入口を受付会話で説明し、五戦を再実装しない。
COVERAGE_KEY_GATE_KANTO_LEAGUE_CLEAR,PROGRESSION_GATE,KANTO_LEAGUE_CLEAR,EXISTING_CONTENT,EVENT_KEY_MAIN_KANTO_LEAGUE_CLEAR,既存League clearとHall of Fame ownerを同期し、短い二地方共鳴会話だけを追加する。
COVERAGE_KEY_GATE_SPHERE_COMPLETE,PROGRESSION_GATE,SPHERE_COMPLETE,EXISTING_CONTENT,EVENT_KEY_MAIN_CAVE_RESONANCE|EVENT_KEY_MAIN_FINAL_LEAGUE_AVAILABLE,既存acquisition aggregateを正本とし、洞窟共鳴からFinal League案内へ接続する。
COVERAGE_KEY_GATE_FINAL_LEAGUE_AVAILABLE,PROGRESSION_GATE,FINAL_LEAGUE_AVAILABLE,EXISTING_CONTENT,EVENT_KEY_MAIN_FINAL_LEAGUE_AVAILABLE,既存Final League availability ownerを正本とし、Indigo受付で到達理由を提示する。
COVERAGE_KEY_GATE_FINAL_LEAGUE_CLEARED,PROGRESSION_GATE,FINAL_LEAGUE_CLEARED,EXISTING_CONTENT,EVENT_KEY_MAIN_FINAL_LEAGUE_CLEARED,既存Final League clearをHall of Fame入室会話で同期し物語を短く完結する。
