encounter_key,gimmick_type,user_party_slot,required_item_key,unlock_expression,ai_activation_policy,runtime_feature_required,runtime_status,fallback_behavior,activation_test,design_reason
ENC_KANTO_BOSS_LEAGUE_03,MEGA,6,ITEM_KEY_GENGARITE,VEGA_HALL_OF_FAME && KANTO_CERT_COUNT>=4 && RUNTIME_MEGA_TRAINER_READY,unlock true and registered stone ITEM_KEY_GENGARITE is on slot 6 ゲンガー; activate once when the known battle state improves the declared ace line; never inspect unrevealed moves/items/switch choice,FEATURE_TASK06_KANTO_MEGA_TRAINER,NEEDS_FINAL_CODEX_INTEGRATION,"If unlock/runtime is false, disable MEGA fail-closed, replace ITEM_KEY_GENGARITE with ITEM_KEY_FOCUS_SASH (きあいのタスキ), preserve the same species/moves/party order, and do not migrate the mechanic to another slot","Test unlock false/true, slot=6, species=SPECIES_KEY_GENGAR, stone=ITEM_KEY_GENGARITE, one activation only, switch/faint/loss/battle-end/save-reload cleanup",KANTO_DUNGEON_POKEMON_LEAGUE_AGATHAS_ROOMのKANTO_LEAGUE_BOSSでslot 6 ゲンガーを明示的な唯一のメガ担当にし、通常時はきあいのタスキで同一6体・同一役割順を維持する
ENC_KANTO_BOSS_LEAGUE_04,MEGA,6,ITEM_KEY_SALAMENCITE,VEGA_HALL_OF_FAME && KANTO_CERT_COUNT>=4 && RUNTIME_MEGA_TRAINER_READY,unlock true and registered stone ITEM_KEY_SALAMENCITE is on slot 6 ボーマンダ; activate once when the known battle state improves the declared ace line; never inspect unrevealed moves/items/switch choice,FEATURE_TASK06_KANTO_MEGA_TRAINER,NEEDS_FINAL_CODEX_INTEGRATION,"If unlock/runtime is false, disable MEGA fail-closed, replace ITEM_KEY_SALAMENCITE with ITEM_KEY_VEGA_142 (オボンのみ), preserve the same species/moves/party order, and do not migrate the mechanic to another slot","Test unlock false/true, slot=6, species=SPECIES_KEY_SALAMENCE, stone=ITEM_KEY_SALAMENCITE, one activation only, switch/faint/loss/battle-end/save-reload cleanup",KANTO_DUNGEON_POKEMON_LEAGUE_LANCES_ROOMのKANTO_LEAGUE_BOSSでslot 6 ボーマンダを明示的な唯一のメガ担当にし、通常時はオボンのみで同一6体・同一役割順を維持する
ENC_KANTO_BOSS_LEAGUE_05,MEGA,6,ITEM_KEY_PIDGEOTITE,VEGA_HALL_OF_FAME && KANTO_CERT_COUNT>=4 && RUNTIME_MEGA_TRAINER_READY,unlock true and registered stone ITEM_KEY_PIDGEOTITE is on slot 6 ピジョット; activate once when the known battle state improves the declared ace line; never inspect unrevealed moves/items/switch choice,FEATURE_TASK06_KANTO_MEGA_TRAINER,NEEDS_FINAL_CODEX_INTEGRATION,"If unlock/runtime is false, disable MEGA fail-closed, replace ITEM_KEY_PIDGEOTITE with ITEM_KEY_EXPERT_BELT (たつじんのおび), preserve the same species/moves/party order, and do not migrate the mechanic to another slot","Test unlock false/true, slot=6, species=SPECIES_KEY_PIDGEOT, stone=ITEM_KEY_PIDGEOTITE, one activation only, switch/faint/loss/battle-end/save-reload cleanup",KANTO_DUNGEON_POKEMON_LEAGUE_CHAMPIONS_ROOMのKANTO_LEAGUE_BOSSでslot 6 ピジョットを明示的な唯一のメガ担当にし、通常時はたつじんのおびで同一6体・同一役割順を維持する
ENC_KANTO_ROUTE_001,NONE,0,ITEM_KEY_NONE,NONE,STANDARD_CURRENT_ABI_ONLY; no hidden information or unassigned mechanic item,NONE_CURRENT_ABI,NO_SPECIAL_RUNTIME_REQUIRED,STANDARD_SIX_MEMBER_BATTLE_UNCHANGED,Assert no Mega/Z/Dynamax/Terastal request and no mechanic item in any slot,"KANTO_DUNGEON_MT_MOON_1_F / KANTO_MAP_TRAINER_LASS: progression and identity use party roles, item economy, switching, and two win paths rather than a primary mechanic"
ENC_KANTO_ROUTE_002,NONE,0,ITEM_KEY_NONE,NONE,STANDARD_CURRENT_ABI_ONLY; no hidden information or unassigned mechanic item,NONE_CURRENT_ABI,NO_SPECIAL_RUNTIME_REQUIRED,STANDARD_SIX_MEMBER_BATTLE_UNCHANGED,Assert no Mega/Z/Dynamax/Terastal request and no mechanic item in any slot,"KANTO_DUNGEON_MT_MOON_1_F / KANTO_MAP_TRAINER_SCIENTIST: progression and identity use party roles, item economy, switching, and two win paths rather than a primary mechanic"
ENC_KANTO_ROUTE_003,NONE,0,ITEM_KEY_NONE,NONE,STANDARD_CURRENT_ABI_ONLY; no hidden information or unassigned mechanic item,NONE_CURRENT_ABI,NO_SPECIAL_RUNTIME_REQUIRED,STANDARD_SIX_MEMBER_BATTLE_UNCHANGED,Assert no Mega/Z/Dynamax/Terastal request and no mechanic item in any slot,"KANTO_DUNGEON_MT_MOON_1_F / KANTO_MAP_TRAINER_BUG: progression and identity use party roles, item economy, switching, and two win paths rather than a primary mechanic"
ENC_KANTO_ROUTE_004,NONE,0,ITEM_KEY_NONE,NONE,STANDARD_CURRENT_ABI_ONLY; no hidden information or unassigned mechanic item,NONE_CURRENT_ABI,NO_SPECIAL_RUNTIME_REQUIRED,STANDARD_SIX_MEMBER_BATTLE_UNCHANGED,Assert no Mega/Z/Dynamax/Terastal request and no mechanic item in any slot,"KANTO_DUNGEON_MT_MOON_1_F / KANTO_MAP_TRAINER_HIKER: progression and identity use party roles, item economy, switching, and two win paths rather than a primary mechanic"
ENC_KANTO_ROUTE_005,NONE,0,ITEM_KEY_NONE,NONE,STANDARD_CURRENT_ABI_ONLY; no hidden information or unassigned mechanic item,NONE_CURRENT_ABI,NO_SPECIAL_RUNTIME_REQUIRED,STANDARD_SIX_MEMBER_BATTLE_UNCHANGED,Assert no Mega/Z/Dynamax/Terastal request and no mechanic item in any slot,"KANTO_DUNGEON_MT_MOON_B2_F / KANTO_MAP_TRAINER_DH: progression and identity use party roles, item economy, switching, and two win paths rather than a primary mechanic"
ENC_KANTO_ROUTE_006,NONE,0,ITEM_KEY_NONE,NONE,STANDARD_CURRENT_ABI_ONLY; no hidden information or unassigned mechanic item,NONE_CURRENT_ABI,NO_SPECIAL_RUNTIME_REQUIRED,STANDARD_SIX_MEMBER_BATTLE_UNCHANGED,Assert no Mega/Z/Dynamax/Terastal request and no mechanic item in any slot,"KANTO_DUNGEON_MT_MOON_B2_F / KANTO_MAP_TRAINER_DH: progression and identity use party roles, item economy, switching, and two win paths rather than a primary mechanic"
ENC_KANTO_ROUTE_007,NONE,0,ITEM_KEY_NONE,NONE,STANDARD_CURRENT_ABI_ONLY; no hidden information or unassigned mechanic item,NONE_CURRENT_ABI,NO_SPECIAL_RUNTIME_REQUIRED,STANDARD_SIX_MEMBER_BATTLE_UNCHANGED,Assert no Mega/Z/Dynamax/Terastal request and no mechanic item in any slot,"KANTO_DUNGEON_POKEMON_MANSION_1_F / KANTO_MAP_TRAINER_SCIENTIST: progression and identity use party roles, item economy, switching, and two win paths rather than a primary mechanic"
ENC_KANTO_ROUTE_008,Z_MOVE,5,ITEM_KEY_GRASSIUM_Z,VEGA_HALL_OF_FAME && KANTO_CERT_COUNT>=4 && RUNTIME_Z_MOVE_TRAINER_READY,unlock true and ITEM_KEY_GRASSIUM_Z is on slot 5 ヤバソチャ; choose registered base move MOVE_KEY_MATCHAGOTCHA once only when the known type/HP/protect state justifies it; never inspect unrevealed information,FEATURE_TASK06_KANTO_Z_MOVE_TRAINER,NEEDS_FINAL_CODEX_INTEGRATION,"If unlock/runtime is false, disable Z_MOVE fail-closed, replace ITEM_KEY_GRASSIUM_Z with ITEM_KEY_VEGA_142 (オボンのみ), preserve the same species/moves/party order, and do not migrate the mechanic to another slot","Test unlock false/true, slot=5, crystal=ITEM_KEY_GRASSIUM_Z, base_move=MOVE_KEY_MATCHAGOTCHA, move-type match, one use only, Protect/immunity/bulky-pivot counterplay and switch/faint/loss/battle-end/save-reload cleanup",KANTO_DUNGEON_POKEMON_MANSION_1_FのKANTO_MAP_TRAINER_YOUNGSTERでslot 5 ヤバソチャのシャカシャカほうを予告可能な一回打点にし、無効type・Protect・耐久pivotを残す
ENC_KANTO_ROUTE_009,Z_MOVE,5,ITEM_KEY_GRASSIUM_Z,VEGA_HALL_OF_FAME && KANTO_CERT_COUNT>=4 && RUNTIME_Z_MOVE_TRAINER_READY,unlock true and ITEM_KEY_GRASSIUM_Z is on slot 5 フシギバナ; choose registered base move MOVE_KEY_GIGADRAIN once only when the known type/HP/protect state justifies it; never inspect unrevealed information,FEATURE_TASK06_KANTO_Z_MOVE_TRAINER,NEEDS_FINAL_CODEX_INTEGRATION,"If unlock/runtime is false, disable Z_MOVE fail-closed, replace ITEM_KEY_GRASSIUM_Z with ITEM_KEY_EXPERT_BELT (たつじんのおび), preserve the same species/moves/party order, and do not migrate the mechanic to another slot","Test unlock false/true, slot=5, crystal=ITEM_KEY_GRASSIUM_Z, base_move=MOVE_KEY_GIGADRAIN, move-type match, one use only, Protect/immunity/bulky-pivot counterplay and switch/faint/loss/battle-end/save-reload cleanup",KANTO_DUNGEON_POKEMON_MANSION_2_FのKANTO_MAP_TRAINER_BREEDERでslot 5 フシギバナのギガドレインを予告可能な一回打点にし、無効type・Protect・耐久pivotを残す
ENC_KANTO_ROUTE_010,Z_MOVE,5,ITEM_KEY_GRASSIUM_Z,VEGA_HALL_OF_FAME && KANTO_CERT_COUNT>=4 && RUNTIME_Z_MOVE_TRAINER_READY,unlock true and ITEM_KEY_GRASSIUM_Z is on slot 5 マスカーニャ; choose registered base move MOVE_KEY_FLOWERTRICK once only when the known type/HP/protect state justifies it; never inspect unrevealed information,FEATURE_TASK06_KANTO_Z_MOVE_TRAINER,NEEDS_FINAL_CODEX_INTEGRATION,"If unlock/runtime is false, disable Z_MOVE fail-closed, replace ITEM_KEY_GRASSIUM_Z with ITEM_KEY_CHOICE_BAND (こだわりハチマキ), preserve the same species/moves/party order, and do not migrate the mechanic to another slot","Test unlock false/true, slot=5, crystal=ITEM_KEY_GRASSIUM_Z, base_move=MOVE_KEY_FLOWERTRICK, move-type match, one use only, Protect/immunity/bulky-pivot counterplay and switch/faint/loss/battle-end/save-reload cleanup",KANTO_DUNGEON_POKEMON_MANSION_3_FのKANTO_MAP_TRAINER_BREEDERでslot 5 マスカーニャのトリックフラワーを予告可能な一回打点にし、無効type・Protect・耐久pivotを残す
ENC_KANTO_ROUTE_011,NONE,0,ITEM_KEY_NONE,NONE,STANDARD_CURRENT_ABI_ONLY; no hidden information or unassigned mechanic item,NONE_CURRENT_ABI,NO_SPECIAL_RUNTIME_REQUIRED,STANDARD_SIX_MEMBER_BATTLE_UNCHANGED,Assert no Mega/Z/Dynamax/Terastal request and no mechanic item in any slot,"KANTO_DUNGEON_POKEMON_MANSION_3_F / KANTO_MAP_TRAINER_SCIENTIST: progression and identity use party roles, item economy, switching, and two win paths rather than a primary mechanic"
ENC_KANTO_ROUTE_012,Z_MOVE,5,ITEM_KEY_GRASSIUM_Z,VEGA_HALL_OF_FAME && KANTO_CERT_COUNT>=4 && RUNTIME_Z_MOVE_TRAINER_READY,unlock true and ITEM_KEY_GRASSIUM_Z is on slot 5 ドレディア; choose registered base move MOVE_KEY_LEAFBLADE once only when the known type/HP/protect state justifies it; never inspect unrevealed information,FEATURE_TASK06_KANTO_Z_MOVE_TRAINER,NEEDS_FINAL_CODEX_INTEGRATION,"If unlock/runtime is false, disable Z_MOVE fail-closed, replace ITEM_KEY_GRASSIUM_Z with ITEM_KEY_WIDE_LENS (こうかくレンズ), preserve the same species/moves/party order, and do not migrate the mechanic to another slot","Test unlock false/true, slot=5, crystal=ITEM_KEY_GRASSIUM_Z, base_move=MOVE_KEY_LEAFBLADE, move-type match, one use only, Protect/immunity/bulky-pivot counterplay and switch/faint/loss/battle-end/save-reload cleanup",KANTO_DUNGEON_POKEMON_MANSION_B1_FのKANTO_MAP_TRAINER_BREEDERでslot 5 ドレディアのリーフブレードを予告可能な一回打点にし、無効type・Protect・耐久pivotを残す
ENC_KANTO_ROUTE_013,NONE,0,ITEM_KEY_NONE,NONE,STANDARD_CURRENT_ABI_ONLY; no hidden information or unassigned mechanic item,NONE_CURRENT_ABI,NO_SPECIAL_RUNTIME_REQUIRED,STANDARD_SIX_MEMBER_BATTLE_UNCHANGED,Assert no Mega/Z/Dynamax/Terastal request and no mechanic item in any slot,"KANTO_DUNGEON_POKEMON_MANSION_B1_F / KANTO_MAP_TRAINER_SCIENTIST: progression and identity use party roles, item economy, switching, and two win paths rather than a primary mechanic"
ENC_KANTO_ROUTE_014,NONE,0,ITEM_KEY_NONE,NONE,STANDARD_CURRENT_ABI_ONLY; no hidden information or unassigned mechanic item,NONE_CURRENT_ABI,NO_SPECIAL_RUNTIME_REQUIRED,STANDARD_SIX_MEMBER_BATTLE_UNCHANGED,Assert no Mega/Z/Dynamax/Terastal request and no mechanic item in any slot,"KANTO_DUNGEON_POKEMON_TOWER_3_F / KANTO_MAP_TRAINER_HEX: progression and identity use party roles, item economy, switching, and two win paths rather than a primary mechanic"
ENC_KANTO_ROUTE_015,NONE,0,ITEM_KEY_NONE,NONE,STANDARD_CURRENT_ABI_ONLY; no hidden information or unassigned mechanic item,NONE_CURRENT_ABI,NO_SPECIAL_RUNTIME_REQUIRED,STANDARD_SIX_MEMBER_BATTLE_UNCHANGED,Assert no Mega/Z/Dynamax/Terastal request and no mechanic item in any slot,"KANTO_DUNGEON_POKEMON_TOWER_3_F / KANTO_MAP_TRAINER_HEX: progression and identity use party roles, item economy, switching, and two win paths rather than a primary mechanic"
ENC_KANTO_ROUTE_016,NONE,0,ITEM_KEY_NONE,NONE,STANDARD_CURRENT_ABI_ONLY; no hidden information or unassigned mechanic item,NONE_CURRENT_ABI,NO_SPECIAL_RUNTIME_REQUIRED,STANDARD_SIX_MEMBER_BATTLE_UNCHANGED,Assert no Mega/Z/Dynamax/Terastal request and no mechanic item in any slot,"KANTO_DUNGEON_POKEMON_TOWER_4_F / KANTO_MAP_TRAINER_HEX: progression and identity use party roles, item economy, switching, and two win paths rather than a primary mechanic"
ENC_KANTO_ROUTE_017,NONE,0,ITEM_KEY_NONE,NONE,STANDARD_CURRENT_ABI_ONLY; no hidden information or unassigned mechanic item,NONE_CURRENT_ABI,NO_SPECIAL_RUNTIME_REQUIRED,STANDARD_SIX_MEMBER_BATTLE_UNCHANGED,Assert no Mega/Z/Dynamax/Terastal request and no mechanic item in any slot,"KANTO_DUNGEON_POKEMON_TOWER_4_F / KANTO_MAP_TRAINER_HEX: progression and identity use party roles, item economy, switching, and two win paths rather than a primary mechanic"
ENC_KANTO_ROUTE_018,NONE,0,ITEM_KEY_NONE,NONE,STANDARD_CURRENT_ABI_ONLY; no hidden information or unassigned mechanic item,NONE_CURRENT_ABI,NO_SPECIAL_RUNTIME_REQUIRED,STANDARD_SIX_MEMBER_BATTLE_UNCHANGED,Assert no Mega/Z/Dynamax/Terastal request and no mechanic item in any slot,"KANTO_DUNGEON_POKEMON_TOWER_5_F / KANTO_MAP_TRAINER_HEX: progression and identity use party roles, item economy, switching, and two win paths rather than a primary mechanic"
ENC_KANTO_ROUTE_019,NONE,0,ITEM_KEY_NONE,NONE,STANDARD_CURRENT_ABI_ONLY; no hidden information or unassigned mechanic item,NONE_CURRENT_ABI,NO_SPECIAL_RUNTIME_REQUIRED,STANDARD_SIX_MEMBER_BATTLE_UNCHANGED,Assert no Mega/Z/Dynamax/Terastal request and no mechanic item in any slot,"KANTO_DUNGEON_POKEMON_TOWER_5_F / KANTO_MAP_TRAINER_HEX: progression and identity use party roles, item economy, switching, and two win paths rather than a primary mechanic"
ENC_KANTO_ROUTE_020,NONE,0,ITEM_KEY_NONE,NONE,STANDARD_CURRENT_ABI_ONLY; no hidden information or unassigned mechanic item,NONE_CURRENT_ABI,NO_SPECIAL_RUNTIME_REQUIRED,STANDARD_SIX_MEMBER_BATTLE_UNCHANGED,Assert no Mega/Z/Dynamax/Terastal request and no mechanic item in any slot,"KANTO_DUNGEON_POKEMON_TOWER_6_F / KANTO_MAP_TRAINER_HEX: progression and identity use party roles, item economy, switching, and two win paths rather than a primary mechanic"
ENC_KANTO_ROUTE_021,NONE,0,ITEM_KEY_NONE,NONE,STANDARD_CURRENT_ABI_ONLY; no hidden information or unassigned mechanic item,NONE_CURRENT_ABI,NO_SPECIAL_RUNTIME_REQUIRED,STANDARD_SIX_MEMBER_BATTLE_UNCHANGED,Assert no Mega/Z/Dynamax/Terastal request and no mechanic item in any slot,"KANTO_DUNGEON_POKEMON_TOWER_6_F / KANTO_MAP_TRAINER_HEX: progression and identity use party roles, item economy, switching, and two win paths rather than a primary mechanic"
ENC_KANTO_ROUTE_022,NONE,0,ITEM_KEY_NONE,NONE,STANDARD_CURRENT_ABI_ONLY; no hidden information or unassigned mechanic item,NONE_CURRENT_ABI,NO_SPECIAL_RUNTIME_REQUIRED,STANDARD_SIX_MEMBER_BATTLE_UNCHANGED,Assert no Mega/Z/Dynamax/Terastal request and no mechanic item in any slot,"KANTO_DUNGEON_POKEMON_TOWER_7_F / KANTO_MAP_TRAINER_DH: progression and identity use party roles, item economy, switching, and two win paths rather than a primary mechanic"
ENC_KANTO_ROUTE_023,NONE,0,ITEM_KEY_NONE,NONE,STANDARD_CURRENT_ABI_ONLY; no hidden information or unassigned mechanic item,NONE_CURRENT_ABI,NO_SPECIAL_RUNTIME_REQUIRED,STANDARD_SIX_MEMBER_BATTLE_UNCHANGED,Assert no Mega/Z/Dynamax/Terastal request and no mechanic item in any slot,"KANTO_DUNGEON_POKEMON_TOWER_7_F / KANTO_MAP_TRAINER_DH: progression and identity use party roles, item economy, switching, and two win paths rather than a primary mechanic"
ENC_KANTO_ROUTE_024,NONE,0,ITEM_KEY_NONE,NONE,STANDARD_CURRENT_ABI_ONLY; no hidden information or unassigned mechanic item,NONE_CURRENT_ABI,NO_SPECIAL_RUNTIME_REQUIRED,STANDARD_SIX_MEMBER_BATTLE_UNCHANGED,Assert no Mega/Z/Dynamax/Terastal request and no mechanic item in any slot,"KANTO_DUNGEON_ROCKET_HIDEOUT_B1_F / KANTO_MAP_TRAINER_DH: progression and identity use party roles, item economy, switching, and two win paths rather than a primary mechanic"
ENC_KANTO_ROUTE_025,NONE,0,ITEM_KEY_NONE,NONE,STANDARD_CURRENT_ABI_ONLY; no hidden information or unassigned mechanic item,NONE_CURRENT_ABI,NO_SPECIAL_RUNTIME_REQUIRED,STANDARD_SIX_MEMBER_BATTLE_UNCHANGED,Assert no Mega/Z/Dynamax/Terastal request and no mechanic item in any slot,"KANTO_DUNGEON_ROCKET_HIDEOUT_B1_F / KANTO_MAP_TRAINER_DH: progression and identity use party roles, item economy, switching, and two win paths rather than a primary mechanic"
ENC_KANTO_ROUTE_026,NONE,0,ITEM_KEY_NONE,NONE,STANDARD_CURRENT_ABI_ONLY; no hidden information or unassigned mechanic item,NONE_CURRENT_ABI,NO_SPECIAL_RUNTIME_REQUIRED,STANDARD_SIX_MEMBER_BATTLE_UNCHANGED,Assert no Mega/Z/Dynamax/Terastal request and no mechanic item in any slot,"KANTO_DUNGEON_ROCKET_HIDEOUT_B1_F / KANTO_MAP_TRAINER_DH: progression and identity use party roles, item economy, switching, and two win paths rather than a primary mechanic"
