story_phase,trainer_role,level_floor,level_cap,party_size_min,party_size_max,iv_policy,ev_policy,ai_profile_policy,item_policy,allowed_gimmicks,max_primary_gimmicks,design_goal,notes
TOHOKU_BADGE3_TO_4,MANDATORY_OR_REMATCH,26,38,5,6,IV 22-28; boss/rematch ace up to 31,"ROLE_252_TO_360; two relevant stats, no arbitrary bulk maxing",AI_FULL_SMART by default; protected/UNKNOWN rows preserve source; no hidden-information cheating,2-4 legal role items; choice/lock items only with readable counterplay; no unlock-inactive special item,"NONE; selected REMATCH_CAPSTONE may use MEGA after HOF, Z_MOVE after HOF+CERT4, TERASTAL/DYNAMAX after KANTO_LEAGUE_CLEAR",1,mandatory fairness plus identity continuity; post-unlock capstone may add one mechanic and a full six-role team,individual directive is authoritative; target size may exceed source V5 except Stage34 current/protected/UNKNOWN; selected rematch capstone branch is gated as a whole; advanced EV/nature/ability fields require final ABI support or IV/move/item fallback; no player-level scaling.
TOHOKU_BADGE3_TO_4,RIVAL_GYM_LEAGUE_BOSS,26,38,6,6,IV 22-28; boss/rematch ace up to 31,"ROLE_252_TO_360; two relevant stats, no arbitrary bulk maxing",AI_FULL_SMART by default; protected/UNKNOWN rows preserve source; no hidden-information cheating,2-4 legal role items; choice/lock items only with readable counterplay; no unlock-inactive special item,NONE,0,"deliberate difficulty peak: six-member role compression, legal full-smart AI, readable ace, and no single-answer check",individual directive is authoritative; target size may exceed source V5 except Stage34 current/protected/UNKNOWN; selected rematch capstone branch is gated as a whole; advanced EV/nature/ability fields require final ABI support or IV/move/item fallback; no player-level scaling.
TOHOKU_BADGE4_TO_5,GENERAL_OR_OPTIONAL,35,47,5,6,IV 28-31; boss/rematch ace 31,"ROLE_420_TO_510; coherent role spread, speed creep bounded by phase",AI_FULL_SMART by default; protected/UNKNOWN rows preserve source; no hidden-information cheating,legal competitive role item on most members; duplicate item requires distinct role; locked special item gets conditional normal-item fallback,NONE,0,high-pressure but map-diverse party with at least two win conditions and two broad counterplay routes,individual directive is authoritative; target size may exceed source V5 except Stage34 current/protected/UNKNOWN; selected rematch capstone branch is gated as a whole; advanced EV/nature/ability fields require final ABI support or IV/move/item fallback; no player-level scaling.
TOHOKU_BADGE4_TO_5,MANDATORY_OR_REMATCH,35,47,6,6,IV 28-31; boss/rematch ace 31,"ROLE_420_TO_510; coherent role spread, speed creep bounded by phase",AI_FULL_SMART by default; protected/UNKNOWN rows preserve source; no hidden-information cheating,legal competitive role item on most members; duplicate item requires distinct role; locked special item gets conditional normal-item fallback,"NONE; selected REMATCH_CAPSTONE may use MEGA after HOF, Z_MOVE after HOF+CERT4, TERASTAL/DYNAMAX after KANTO_LEAGUE_CLEAR",1,mandatory fairness plus identity continuity; post-unlock capstone may add one mechanic and a full six-role team,individual directive is authoritative; target size may exceed source V5 except Stage34 current/protected/UNKNOWN; selected rematch capstone branch is gated as a whole; advanced EV/nature/ability fields require final ABI support or IV/move/item fallback; no player-level scaling.
TOHOKU_BADGE4_TO_5,RIVAL_GYM_LEAGUE_BOSS,35,47,6,6,IV 28-31; boss/rematch ace 31,"ROLE_420_TO_510; coherent role spread, speed creep bounded by phase",AI_FULL_SMART by default; protected/UNKNOWN rows preserve source; no hidden-information cheating,legal competitive role item on most members; duplicate item requires distinct role; locked special item gets conditional normal-item fallback,NONE,0,"deliberate difficulty peak: six-member role compression, legal full-smart AI, readable ace, and no single-answer check",individual directive is authoritative; target size may exceed source V5 except Stage34 current/protected/UNKNOWN; selected rematch capstone branch is gated as a whole; advanced EV/nature/ability fields require final ABI support or IV/move/item fallback; no player-level scaling.
TOHOKU_BADGE5_TO_6,GENERAL_OR_OPTIONAL,44,55,5,6,IV 28-31; boss/rematch ace 31,"ROLE_420_TO_510; coherent role spread, speed creep bounded by phase",AI_FULL_SMART by default; protected/UNKNOWN rows preserve source; no hidden-information cheating,legal competitive role item on most members; duplicate item requires distinct role; locked special item gets conditional normal-item fallback,NONE,0,high-pressure but map-diverse party with at least two win conditions and two broad counterplay routes,individual directive is authoritative; target size may exceed source V5 except Stage34 current/protected/UNKNOWN; selected rematch capstone branch is gated as a whole; advanced EV/nature/ability fields require final ABI support or IV/move/item fallback; no player-level scaling.
TOHOKU_BADGE5_TO_6,MANDATORY_OR_REMATCH,44,55,6,6,IV 28-31; boss/rematch ace 31,"ROLE_420_TO_510; coherent role spread, speed creep bounded by phase",AI_FULL_SMART by default; protected/UNKNOWN rows preserve source; no hidden-information cheating,legal competitive role item on most members; duplicate item requires distinct role; locked special item gets conditional normal-item fallback,"NONE; selected REMATCH_CAPSTONE may use MEGA after HOF, Z_MOVE after HOF+CERT4, TERASTAL/DYNAMAX after KANTO_LEAGUE_CLEAR",1,mandatory fairness plus identity continuity; post-unlock capstone may add one mechanic and a full six-role team,individual directive is authoritative; target size may exceed source V5 except Stage34 current/protected/UNKNOWN; selected rematch capstone branch is gated as a whole; advanced EV/nature/ability fields require final ABI support or IV/move/item fallback; no player-level scaling.
TOHOKU_BADGE5_TO_6,RIVAL_GYM_LEAGUE_BOSS,44,55,6,6,IV 28-31; boss/rematch ace 31,"ROLE_420_TO_510; coherent role spread, speed creep bounded by phase",AI_FULL_SMART by default; protected/UNKNOWN rows preserve source; no hidden-information cheating,legal competitive role item on most members; duplicate item requires distinct role; locked special item gets conditional normal-item fallback,NONE,0,"deliberate difficulty peak: six-member role compression, legal full-smart AI, readable ace, and no single-answer check",individual directive is authoritative; target size may exceed source V5 except Stage34 current/protected/UNKNOWN; selected rematch capstone branch is gated as a whole; advanced EV/nature/ability fields require final ABI support or IV/move/item fallback; no player-level scaling.
TOHOKU_BADGE6_TO_7,GENERAL_OR_OPTIONAL,52,61,5,6,IV 28-31; boss/rematch ace 31,"ROLE_420_TO_510; coherent role spread, speed creep bounded by phase",AI_FULL_SMART by default; protected/UNKNOWN rows preserve source; no hidden-information cheating,legal competitive role item on most members; duplicate item requires distinct role; locked special item gets conditional normal-item fallback,NONE,0,high-pressure but map-diverse party with at least two win conditions and two broad counterplay routes,individual directive is authoritative; target size may exceed source V5 except Stage34 current/protected/UNKNOWN; selected rematch capstone branch is gated as a whole; advanced EV/nature/ability fields require final ABI support or IV/move/item fallback; no player-level scaling.
TOHOKU_BADGE6_TO_7,MANDATORY_OR_REMATCH,52,61,6,6,IV 28-31; boss/rematch ace 31,"ROLE_420_TO_510; coherent role spread, speed creep bounded by phase",AI_FULL_SMART by default; protected/UNKNOWN rows preserve source; no hidden-information cheating,legal competitive role item on most members; duplicate item requires distinct role; locked special item gets conditional normal-item fallback,"NONE; selected REMATCH_CAPSTONE may use MEGA after HOF, Z_MOVE after HOF+CERT4, TERASTAL/DYNAMAX after KANTO_LEAGUE_CLEAR",1,mandatory fairness plus identity continuity; post-unlock capstone may add one mechanic and a full six-role team,individual directive is authoritative; target size may exceed source V5 except Stage34 current/protected/UNKNOWN; selected rematch capstone branch is gated as a whole; advanced EV/nature/ability fields require final ABI support or IV/move/item fallback; no player-level scaling.
TOHOKU_BADGE6_TO_7,RIVAL_GYM_LEAGUE_BOSS,52,61,6,6,IV 28-31; boss/rematch ace 31,"ROLE_420_TO_510; coherent role spread, speed creep bounded by phase",AI_FULL_SMART by default; protected/UNKNOWN rows preserve source; no hidden-information cheating,legal competitive role item on most members; duplicate item requires distinct role; locked special item gets conditional normal-item fallback,NONE,0,"deliberate difficulty peak: six-member role compression, legal full-smart AI, readable ace, and no single-answer check",individual directive is authoritative; target size may exceed source V5 except Stage34 current/protected/UNKNOWN; selected rematch capstone branch is gated as a whole; advanced EV/nature/ability fields require final ABI support or IV/move/item fallback; no player-level scaling.
TOHOKU_BADGE7_TO_8,GENERAL_OR_OPTIONAL,58,67,5,6,IV 28-31; boss/rematch ace 31,"ROLE_420_TO_510; coherent role spread, speed creep bounded by phase",AI_FULL_SMART by default; protected/UNKNOWN rows preserve source; no hidden-information cheating,legal competitive role item on most members; duplicate item requires distinct role; locked special item gets conditional normal-item fallback,NONE,0,high-pressure but map-diverse party with at least two win conditions and two broad counterplay routes,individual directive is authoritative; target size may exceed source V5 except Stage34 current/protected/UNKNOWN; selected rematch capstone branch is gated as a whole; advanced EV/nature/ability fields require final ABI support or IV/move/item fallback; no player-level scaling.
TOHOKU_BADGE7_TO_8,MANDATORY_OR_REMATCH,58,67,6,6,IV 28-31; boss/rematch ace 31,"ROLE_420_TO_510; coherent role spread, speed creep bounded by phase",AI_FULL_SMART by default; protected/UNKNOWN rows preserve source; no hidden-information cheating,legal competitive role item on most members; duplicate item requires distinct role; locked special item gets conditional normal-item fallback,"NONE; selected REMATCH_CAPSTONE may use MEGA after HOF, Z_MOVE after HOF+CERT4, TERASTAL/DYNAMAX after KANTO_LEAGUE_CLEAR",1,mandatory fairness plus identity continuity; post-unlock capstone may add one mechanic and a full six-role team,individual directive is authoritative; target size may exceed source V5 except Stage34 current/protected/UNKNOWN; selected rematch capstone branch is gated as a whole; advanced EV/nature/ability fields require final ABI support or IV/move/item fallback; no player-level scaling.
TOHOKU_BADGE7_TO_8,RIVAL_GYM_LEAGUE_BOSS,58,67,6,6,IV 28-31; boss/rematch ace 31,"ROLE_420_TO_510; coherent role spread, speed creep bounded by phase",AI_FULL_SMART by default; protected/UNKNOWN rows preserve source; no hidden-information cheating,legal competitive role item on most members; duplicate item requires distinct role; locked special item gets conditional normal-item fallback,NONE,0,"deliberate difficulty peak: six-member role compression, legal full-smart AI, readable ace, and no single-answer check",individual directive is authoritative; target size may exceed source V5 except Stage34 current/protected/UNKNOWN; selected rematch capstone branch is gated as a whole; advanced EV/nature/ability fields require final ABI support or IV/move/item fallback; no player-level scaling.
TOHOKU_LEAGUE_APPROACH,GENERAL_OR_OPTIONAL,64,75,5,6,IV 31 on ace/core; ordinary members 28-31,ROLE_510; two relevant stats plus HP/speed tuning; no six-stat maxing,AI_FULL_SMART by default; protected/UNKNOWN rows preserve source; no hidden-information cheating,legal competitive role item on most members; duplicate item requires distinct role; locked special item gets conditional normal-item fallback,NONE,0,high-pressure but map-diverse party with at least two win conditions and two broad counterplay routes,individual directive is authoritative; target size may exceed source V5 except Stage34 current/protected/UNKNOWN; selected rematch capstone branch is gated as a whole; advanced EV/nature/ability fields require final ABI support or IV/move/item fallback; no player-level scaling.
TOHOKU_LEAGUE_APPROACH,MANDATORY_OR_REMATCH,64,75,6,6,IV 31 on ace/core; ordinary members 28-31,ROLE_510; two relevant stats plus HP/speed tuning; no six-stat maxing,AI_FULL_SMART by default; protected/UNKNOWN rows preserve source; no hidden-information cheating,legal competitive role item on most members; duplicate item requires distinct role; locked special item gets conditional normal-item fallback,NONE,0,mandatory fairness plus identity continuity; post-unlock capstone may add one mechanic and a full six-role team,individual directive is authoritative; target size may exceed source V5 except Stage34 current/protected/UNKNOWN; selected rematch capstone branch is gated as a whole; advanced EV/nature/ability fields require final ABI support or IV/move/item fallback; no player-level scaling.
TOHOKU_LEAGUE_APPROACH,RIVAL_GYM_LEAGUE_BOSS,64,75,6,6,IV 31 on ace/core; ordinary members 28-31,ROLE_510; two relevant stats plus HP/speed tuning; no six-stat maxing,AI_FULL_SMART by default; protected/UNKNOWN rows preserve source; no hidden-information cheating,legal competitive role item on most members; duplicate item requires distinct role; locked special item gets conditional normal-item fallback,NONE,0,"deliberate difficulty peak: six-member role compression, legal full-smart AI, readable ace, and no single-answer check",individual directive is authoritative; target size may exceed source V5 except Stage34 current/protected/UNKNOWN; selected rematch capstone branch is gated as a whole; advanced EV/nature/ability fields require final ABI support or IV/move/item fallback; no player-level scaling.
TOHOKU_INITIAL_LEAGUE,GENERAL_OR_OPTIONAL,74,82,6,6,IV 31 on ace/core; ordinary members 28-31,ROLE_510; two relevant stats plus HP/speed tuning; no six-stat maxing,AI_FULL_SMART by default; protected/UNKNOWN rows preserve source; no hidden-information cheating,legal competitive role item on most members; duplicate item requires distinct role; locked special item gets conditional normal-item fallback,NONE,0,high-pressure but map-diverse party with at least two win conditions and two broad counterplay routes,individual directive is authoritative; target size may exceed source V5 except Stage34 current/protected/UNKNOWN; selected rematch capstone branch is gated as a whole; advanced EV/nature/ability fields require final ABI support or IV/move/item fallback; no player-level scaling.
TOHOKU_INITIAL_LEAGUE,MANDATORY_OR_REMATCH,74,82,6,6,IV 31 on ace/core; ordinary members 28-31,ROLE_510; two relevant stats plus HP/speed tuning; no six-stat maxing,AI_FULL_SMART by default; protected/UNKNOWN rows preserve source; no hidden-information cheating,legal competitive role item on most members; duplicate item requires distinct role; locked special item gets conditional normal-item fallback,NONE,0,mandatory fairness plus identity continuity; post-unlock capstone may add one mechanic and a full six-role team,individual directive is authoritative; target size may exceed source V5 except Stage34 current/protected/UNKNOWN; selected rematch capstone branch is gated as a whole; advanced EV/nature/ability fields require final ABI support or IV/move/item fallback; no player-level scaling.
TOHOKU_INITIAL_LEAGUE,RIVAL_GYM_LEAGUE_BOSS,74,82,6,6,IV 31 on ace/core; ordinary members 28-31,ROLE_510; two relevant stats plus HP/speed tuning; no six-stat maxing,AI_FULL_SMART by default; protected/UNKNOWN rows preserve source; no hidden-information cheating,legal competitive role item on most members; duplicate item requires distinct role; locked special item gets conditional normal-item fallback,NONE,0,"deliberate difficulty peak: six-member role compression, legal full-smart AI, readable ace, and no single-answer check",individual directive is authoritative; target size may exceed source V5 except Stage34 current/protected/UNKNOWN; selected rematch capstone branch is gated as a whole; advanced EV/nature/ability fields require final ABI support or IV/move/item fallback; no player-level scaling.
TOHOKU_POSTGAME,GENERAL_OR_OPTIONAL,83,100,6,6,IV 31 on ace/core; ordinary members 28-31,ROLE_510; two relevant stats plus HP/speed tuning; no six-stat maxing,AI_FULL_SMART by default; protected/UNKNOWN rows preserve source; no hidden-information cheating,legal competitive role item on most members; duplicate item requires distinct role; locked special item gets conditional normal-item fallback,NONE|MEGA|Z_MOVE|DYNAMAX|TERASTAL per encounter unlock,1,high-pressure but map-diverse party with at least two win conditions and two broad counterplay routes,individual directive is authoritative; target size may exceed source V5 except Stage34 current/protected/UNKNOWN; selected rematch capstone branch is gated as a whole; advanced EV/nature/ability fields require final ABI support or IV/move/item fallback; no player-level scaling.
TOHOKU_POSTGAME,MANDATORY_OR_REMATCH,83,100,6,6,IV 31 on ace/core; ordinary members 28-31,ROLE_510; two relevant stats plus HP/speed tuning; no six-stat maxing,AI_FULL_SMART by default; protected/UNKNOWN rows preserve source; no hidden-information cheating,legal competitive role item on most members; duplicate item requires distinct role; locked special item gets conditional normal-item fallback,NONE|MEGA|Z_MOVE|DYNAMAX|TERASTAL per encounter unlock,1,mandatory fairness plus identity continuity; post-unlock capstone may add one mechanic and a full six-role team,individual directive is authoritative; target size may exceed source V5 except Stage34 current/protected/UNKNOWN; selected rematch capstone branch is gated as a whole; advanced EV/nature/ability fields require final ABI support or IV/move/item fallback; no player-level scaling.
TOHOKU_POSTGAME,RIVAL_GYM_LEAGUE_BOSS,83,100,6,6,IV 31 on ace/core; ordinary members 28-31,ROLE_510; two relevant stats plus HP/speed tuning; no six-stat maxing,AI_FULL_SMART by default; protected/UNKNOWN rows preserve source; no hidden-information cheating,legal competitive role item on most members; duplicate item requires distinct role; locked special item gets conditional normal-item fallback,NONE|MEGA|Z_MOVE|DYNAMAX|TERASTAL per encounter unlock,1,"deliberate difficulty peak: six-member role compression, legal full-smart AI, readable ace, and no single-answer check",individual directive is authoritative; target size may exceed source V5 except Stage34 current/protected/UNKNOWN; selected rematch capstone branch is gated as a whole; advanced EV/nature/ability fields require final ABI support or IV/move/item fallback; no player-level scaling.
KANTO_EARLY_CERT_0_2,GENERAL_OR_OPTIONAL,73,79,6,6,IV 31 on ace/core; ordinary members 28-31,ROLE_510; two relevant stats plus HP/speed tuning; no six-stat maxing,AI_FULL_SMART by default; protected/UNKNOWN rows preserve source; no hidden-information cheating,legal competitive role item on most members; duplicate item requires distinct role; locked special item gets conditional normal-item fallback,NONE,0,high-pressure but map-diverse party with at least two win conditions and two broad counterplay routes,individual directive is authoritative; target size may exceed source V5 except Stage34 current/protected/UNKNOWN; selected rematch capstone branch is gated as a whole; advanced EV/nature/ability fields require final ABI support or IV/move/item fallback; no player-level scaling.
KANTO_EARLY_CERT_0_2,MANDATORY_OR_REMATCH,73,79,6,6,IV 31 on ace/core; ordinary members 28-31,ROLE_510; two relevant stats plus HP/speed tuning; no six-stat maxing,AI_FULL_SMART by default; protected/UNKNOWN rows preserve source; no hidden-information cheating,legal competitive role item on most members; duplicate item requires distinct role; locked special item gets conditional normal-item fallback,NONE,0,mandatory fairness plus identity continuity; post-unlock capstone may add one mechanic and a full six-role team,individual directive is authoritative; target size may exceed source V5 except Stage34 current/protected/UNKNOWN; selected rematch capstone branch is gated as a whole; advanced EV/nature/ability fields require final ABI support or IV/move/item fallback; no player-level scaling.
KANTO_EARLY_CERT_0_2,RIVAL_GYM_LEAGUE_BOSS,73,79,6,6,IV 31 on ace/core; ordinary members 28-31,ROLE_510; two relevant stats plus HP/speed tuning; no six-stat maxing,AI_FULL_SMART by default; protected/UNKNOWN rows preserve source; no hidden-information cheating,legal competitive role item on most members; duplicate item requires distinct role; locked special item gets conditional normal-item fallback,NONE,0,"deliberate difficulty peak: six-member role compression, legal full-smart AI, readable ace, and no single-answer check",individual directive is authoritative; target size may exceed source V5 except Stage34 current/protected/UNKNOWN; selected rematch capstone branch is gated as a whole; advanced EV/nature/ability fields require final ABI support or IV/move/item fallback; no player-level scaling.
KANTO_NORTH_WEST_CERT_1_3,GENERAL_OR_OPTIONAL,77,86,6,6,IV 31 on ace/core; ordinary members 28-31,ROLE_510; two relevant stats plus HP/speed tuning; no six-stat maxing,AI_FULL_SMART by default; protected/UNKNOWN rows preserve source; no hidden-information cheating,legal competitive role item on most members; duplicate item requires distinct role; locked special item gets conditional normal-item fallback,NONE,0,high-pressure but map-diverse party with at least two win conditions and two broad counterplay routes,individual directive is authoritative; target size may exceed source V5 except Stage34 current/protected/UNKNOWN; selected rematch capstone branch is gated as a whole; advanced EV/nature/ability fields require final ABI support or IV/move/item fallback; no player-level scaling.
KANTO_NORTH_WEST_CERT_1_3,MANDATORY_OR_REMATCH,77,86,6,6,IV 31 on ace/core; ordinary members 28-31,ROLE_510; two relevant stats plus HP/speed tuning; no six-stat maxing,AI_FULL_SMART by default; protected/UNKNOWN rows preserve source; no hidden-information cheating,legal competitive role item on most members; duplicate item requires distinct role; locked special item gets conditional normal-item fallback,NONE,0,mandatory fairness plus identity continuity; post-unlock capstone may add one mechanic and a full six-role team,individual directive is authoritative; target size may exceed source V5 except Stage34 current/protected/UNKNOWN; selected rematch capstone branch is gated as a whole; advanced EV/nature/ability fields require final ABI support or IV/move/item fallback; no player-level scaling.
KANTO_NORTH_WEST_CERT_1_3,RIVAL_GYM_LEAGUE_BOSS,77,86,6,6,IV 31 on ace/core; ordinary members 28-31,ROLE_510; two relevant stats plus HP/speed tuning; no six-stat maxing,AI_FULL_SMART by default; protected/UNKNOWN rows preserve source; no hidden-information cheating,legal competitive role item on most members; duplicate item requires distinct role; locked special item gets conditional normal-item fallback,NONE,0,"deliberate difficulty peak: six-member role compression, legal full-smart AI, readable ace, and no single-answer check",individual directive is authoritative; target size may exceed source V5 except Stage34 current/protected/UNKNOWN; selected rematch capstone branch is gated as a whole; advanced EV/nature/ability fields require final ABI support or IV/move/item fallback; no player-level scaling.
KANTO_CENTRAL_CERT_3_5,GENERAL_OR_OPTIONAL,83,92,6,6,IV 31 on ace/core; ordinary members 28-31,ROLE_510; two relevant stats plus HP/speed tuning; no six-stat maxing,AI_FULL_SMART by default; protected/UNKNOWN rows preserve source; no hidden-information cheating,legal competitive role item on most members; duplicate item requires distinct role; locked special item gets conditional normal-item fallback,NONE,0,high-pressure but map-diverse party with at least two win conditions and two broad counterplay routes,individual directive is authoritative; target size may exceed source V5 except Stage34 current/protected/UNKNOWN; selected rematch capstone branch is gated as a whole; advanced EV/nature/ability fields require final ABI support or IV/move/item fallback; no player-level scaling.
KANTO_CENTRAL_CERT_3_5,MANDATORY_OR_REMATCH,83,92,6,6,IV 31 on ace/core; ordinary members 28-31,ROLE_510; two relevant stats plus HP/speed tuning; no six-stat maxing,AI_FULL_SMART by default; protected/UNKNOWN rows preserve source; no hidden-information cheating,legal competitive role item on most members; duplicate item requires distinct role; locked special item gets conditional normal-item fallback,NONE,0,mandatory fairness plus identity continuity; post-unlock capstone may add one mechanic and a full six-role team,individual directive is authoritative; target size may exceed source V5 except Stage34 current/protected/UNKNOWN; selected rematch capstone branch is gated as a whole; advanced EV/nature/ability fields require final ABI support or IV/move/item fallback; no player-level scaling.
