battle_id,phase,category,trainer_name,location,battle_format,difficulty,party_slot,active_party_size,species,level,form,ability,nature,item,move1,move2,move3,move4,ev_profile,iv_floor,role,gimmick_user,implementation_note,gimmick_type,gimmick_trigger,ai_rank,trainer_items,reward,unlock_condition,source_url,design_note
GYM01_AMANA,本編・1個目,ジムリーダー,アマナ,アヤメシティジム,シングル,高難度標準,2,4,クヌギダマ,13,,がんじょう,のんき,オレンのみ,シグナルビーム,まきびし,ダブルスピン,じばく,HP32/防御32,14,設置と除去を両立,no,,なし,,2,キズぐすり×1,エルナトバッジ／わざマシン15（シグナルビーム）,通常進行,https://w.atwiki.jp/altair1/pages/40.html,原作のクヌギダマ・ダンゴロウ・ツボツボを維持し、タマンチュラを追加。初回ジムは通常戦の基礎を教えるため公式ギミックなし。
GYM01_AMANA,本編・1個目,ジムリーダー,アマナ,アヤメシティジム,シングル,高難度標準,3,4,ダンゴロウ,14,,がんじょう,いじっぱり,かたいいし,いわおとし,じならし,まるくなる,ころがる,HP32/攻撃32,14,物理圧力と速度操作,no,,なし,,2,キズぐすり×1,エルナトバッジ／わざマシン15（シグナルビーム）,通常進行,https://w.atwiki.jp/altair1/pages/40.html,原作のクヌギダマ・ダンゴロウ・ツボツボを維持し、タマンチュラを追加。初回ジムは通常戦の基礎を教えるため公式ギミックなし。
GYM01_AMANA,本編・1個目,ジムリーダー,アマナ,アヤメシティジム,シングル,高難度標準,4,4,ツボツボ,15,,がんじょう,ずぶとい,オボンのみ,がんせきふうじ,むしのていこう,おおあくび,まもる,HP40/防御40,16,耐久エース・詰め阻止,no,,なし,,2,キズぐすり×1,エルナトバッジ／わざマシン15（シグナルビーム）,通常進行,https://w.atwiki.jp/altair1/pages/40.html,原作のクヌギダマ・ダンゴロウ・ツボツボを維持し、タマンチュラを追加。初回ジムは通常戦の基礎を教えるため公式ギミックなし。
TPL_S2_DH_GRUNT,1～2個目,一般トレーナーテンプレート,D・Hだんのしたっぱ,かいていトンネル入口,シングル,高難度標準・一般,1,3,ブロロン,17,,ぼうじん,いじっぱり,なし,したでなめる,どくガス,ダメおし,ヘドロこうげき,攻撃20,12,状態異常,no,,なし,,2,キズぐすり×1,賞金やや高,通常進行,https://w.atwiki.jp/altair1/pages/39.html,D・H団の人工・機械系統を早期から統一。
TPL_S2_DH_GRUNT,1～2個目,一般トレーナーテンプレート,D・Hだんのしたっぱ,かいていトンネル入口,シングル,高難度標準・一般,2,3,ドガース,18,,ふゆう,ずぶとい,オレンのみ,クリアスモッグ,ダメおし,えんまく,スモッグ,HP20,12,積み解除,no,,なし,,2,キズぐすり×1,賞金やや高,通常進行,https://w.atwiki.jp/altair1/pages/39.html,D・H団の人工・機械系統を早期から統一。
TPL_S2_DH_GRUNT,1～2個目,一般トレーナーテンプレート,D・Hだんのしたっぱ,かいていトンネル入口,シングル,高難度標準・一般,3,3,ポリゴン,19,,トレース,ひかえめ,シルクのスカーフ,サイケこうせん,こうそくいどう,じこさいせい,たいあたり,特攻40,14,人工ポケモン,no,,なし,,2,キズぐすり×1,賞金やや高,通常進行,https://w.atwiki.jp/altair1/pages/39.html,D・H団の人工・機械系統を早期から統一。
TPL_S2_FISHER,1～2個目,一般トレーナーテンプレート,つりびと,507番水道沿岸,シングル,高難度標準・一般,1,3,コイキング,14,,すいすい,ようき,なし,はねる,たいあたり,じたばた,なし,なし,10,弱枠,no,,なし,,1,なし,賞金標準,通常進行,https://w.atwiki.jp/altair1/pages/39.html,水単一ではなく水地面を混ぜ、電気連打を防ぐ。
TPL_S2_FISHER,1～2個目,一般トレーナーテンプレート,つりびと,507番水道沿岸,シングル,高難度標準・一般,2,3,ウパー,16,,ちょすい,のんき,オレンのみ,みずでっぽう,マッドショット,あくび,たたきつける,HP20,12,電気無効,no,,なし,,1,なし,賞金標準,通常進行,https://w.atwiki.jp/altair1/pages/39.html,水単一ではなく水地面を混ぜ、電気連打を防ぐ。
TPL_S2_FISHER,1～2個目,一般トレーナーテンプレート,つりびと,507番水道沿岸,シングル,高難度標準・一般,3,3,ナミイルカ,18,,みずのベール,ようき,しんぴのしずく,アクアジェット,みずのはどう,アンコール,チャームボイス,素早さ40,13,高速水,no,,なし,,1,なし,賞金標準,通常進行,https://w.atwiki.jp/altair1/pages/39.html,水単一ではなく水地面を混ぜ、電気連打を防ぐ。
TPL_S2_HIKER,1～2個目,一般トレーナーテンプレート,やまおとこ,ちえのどうくつ前半,シングル,高難度標準・一般,1,3,ダンゴロウ,16,,がんじょう,いじっぱり,オレンのみ,うちおとす,ずつき,てっぺき,どろかけ,HP20/攻撃20,12,行動保証,no,,なし,,2,キズぐすり×1,賞金標準,通常進行,https://w.atwiki.jp/altair1/pages/39.html,頑丈対策と低速格闘を教える。
TPL_S2_HIKER,1～2個目,一般トレーナーテンプレート,やまおとこ,ちえのどうくつ前半,シングル,高難度標準・一般,2,3,コジオ,17,,きよめのしお,わんぱく,なし,いわおとし,どろかけ,じこさいせい,ずつき,HP20/防御20,12,耐久,no,,なし,,2,キズぐすり×1,賞金標準,通常進行,https://w.atwiki.jp/altair1/pages/39.html,頑丈対策と低速格闘を教える。
TPL_S2_HIKER,1～2個目,一般トレーナーテンプレート,やまおとこ,ちえのどうくつ前半,シングル,高難度標準・一般,3,3,ワンリキー,18,,こんじょう,いじっぱり,ちからのハチマキ,ローキック,はたきおとす,リベンジ,にらみつける,攻撃40,13,切り札,no,,なし,,2,キズぐすり×1,賞金標準,通常進行,https://w.atwiki.jp/altair1/pages/39.html,頑丈対策と低速格闘を教える。
TPL_S2_PICNICKER,1～2個目,一般トレーナーテンプレート,ピクニックガール,504～506番道路,シングル,高難度標準・一般,1,3,ミニーブ,16,,はやおき,ひかえめ,オレンのみ,メガドレイン,てだすけ,せいちょう,あまえる,特攻20,12,特殊草,no,,なし,,2,キズぐすり×1,賞金標準,通常進行,https://w.atwiki.jp/altair1/pages/39.html,状態異常と特殊攻撃の基礎。
TPL_S2_PICNICKER,1～2個目,一般トレーナーテンプレート,ピクニックガール,504～506番道路,シングル,高難度標準・一般,2,3,メリープ,17,,せいでんき,ひかえめ,なし,でんきショック,でんじは,わたほうし,たいあたり,特攻20,12,速度操作,no,,なし,,2,キズぐすり×1,賞金標準,通常進行,https://w.atwiki.jp/altair1/pages/39.html,状態異常と特殊攻撃の基礎。
TPL_S2_PICNICKER,1～2個目,一般トレーナーテンプレート,ピクニックガール,504～506番道路,シングル,高難度標準・一般,3,3,アブリー,18,,りんぷん,おくびょう,きせきのタネ,むしのていこう,ドレインキッス,しびれごな,あまいかおり,素早さ40,13,高速切り札,no,,なし,,2,キズぐすり×1,賞金標準,通常進行,https://w.atwiki.jp/altair1/pages/39.html,状態異常と特殊攻撃の基礎。
GYM02_NAGINATA,本編・2個目,ジムリーダー,ナギナタ,ミルシティジム,シングル,高難度標準,1,4,サイホーン,22,,いしあたま,いじっぱり,オレンのみ,じならし,いわなだれ,ほのおのキバ,かみなりのキバ,HP40/攻撃40,16,対策範囲を見せる先発,no,,Zワザ,ダグトリオが場に出て、Z技で撃破可能またはHP50%以下,3,いいキズぐすり×1,アルネブバッジ／わざマシン37（どろばくだん）,アヤメジム後にZパワー試作リングを入手,https://w.atwiki.jp/altair1/pages/41.html,原作3体を維持しモグリューを追加。せんせいのツメを廃止し、最初の公式ギミックとして予告付きのじめんZを採用。
GYM02_NAGINATA,本編・2個目,ジムリーダー,ナギナタ,ミルシティジム,シングル,高難度標準,2,4,エビワラー,23,,てつのこぶし,ようき,パンチグローブ,マッハパンチ,かみなりパンチ,れいとうパンチ,バレットパンチ,攻撃60/素早さ40,18,優先技と弱点返し,no,,Zワザ,ダグトリオが場に出て、Z技で撃破可能またはHP50%以下,3,いいキズぐすり×1,アルネブバッジ／わざマシン37（どろばくだん）,アヤメジム後にZパワー試作リングを入手,https://w.atwiki.jp/altair1/pages/41.html,原作3体を維持しモグリューを追加。せんせいのツメを廃止し、最初の公式ギミックとして予告付きのじめんZを採用。
GYM02_NAGINATA,本編・2個目,ジムリーダー,ナギナタ,ミルシティジム,シングル,高難度標準,3,4,モグリュー,24,,すなかき,ようき,やわらかいすな,じならし,メタルクロー,がんせきふうじ,こうそくスピン,攻撃64/素早さ64,18,中速スイーパー・設置除去,no,,Zワザ,ダグトリオが場に出て、Z技で撃破可能またはHP50%以下,3,いいキズぐすり×1,アルネブバッジ／わざマシン37（どろばくだん）,アヤメジム後にZパワー試作リングを入手,https://w.atwiki.jp/altair1/pages/41.html,原作3体を維持しモグリューを追加。せんせいのツメを廃止し、最初の公式ギミックとして予告付きのじめんZを採用。
GYM02_NAGINATA,本編・2個目,ジムリーダー,ナギナタ,ミルシティジム,シングル,高難度標準,4,4,ダグトリオ,25,,ありじごく,ようき,ジメンZ,あなをほる,いわなだれ,つじぎり,ふいうち,攻撃80/素早さ80,20,Zワザ担当の高速エース,yes,,Zワザ,ダグトリオが場に出て、Z技で撃破可能またはHP50%以下,3,いいキズぐすり×1,アルネブバッジ／わざマシン37（どろばくだん）,アヤメジム後にZパワー試作リングを入手,https://w.atwiki.jp/altair1/pages/41.html,原作3体を維持しモグリューを追加。せんせいのツメを廃止し、最初の公式ギミックとして予告付きのじめんZを採用。
TPL_S3_ACE,2～3個目,一般トレーナーテンプレート,エリートトレーナー,シオウ郊外,シングル,高難度標準・一般,1,3,パモット,25,,ちくでん,ようき,パンチグローブ,スパーク,マッハパンチ,かみつく,でんじは,攻撃60/素早さ60,18,高速物理,no,,なし,,3,すごいキズぐすり×1,賞金高,通常進行,https://w.atwiki.jp/altair1/pages/39.html,新世代の特性・持ち物・先制技をまとめて紹介。
TPL_S3_ACE,2～3個目,一般トレーナーテンプレート,エリートトレーナー,シオウ郊外,シングル,高難度標準・一般,2,3,カルボウ,26,,もらいび,いじっぱり,オレンのみ,ニトロチャージ,ナイトヘッド,おにび,クリアスモッグ,攻撃60,18,炎受け,no,,なし,,3,すごいキズぐすり×1,賞金高,通常進行,https://w.atwiki.jp/altair1/pages/39.html,新世代の特性・持ち物・先制技をまとめて紹介。
TPL_S3_ACE,2～3個目,一般トレーナーテンプレート,エリートトレーナー,シオウ郊外,シングル,高難度標準・一般,3,3,ナカヌチャン,28,,かたやぶり,いじっぱり,メタルコート,デカハンマー,じゃれつく,はたきおとす,でんじは,攻撃80,19,切り札,no,,なし,,3,すごいキズぐすり×1,賞金高,通常進行,https://w.atwiki.jp/altair1/pages/39.html,新世代の特性・持ち物・先制技をまとめて紹介。
TPL_S3_BIRD,2～3個目,一般トレーナーテンプレート,とりつかい,海岸・高台道路,シングル,高難度標準・一般,1,3,ヒノヤコマ,24,,ほのおのからだ,ようき,なし,つばめがえし,ニトロチャージ,でんこうせっか,はねやすめ,攻撃40/素早さ40,15,速度上昇,no,,なし,,2,いいキズぐすり×1,賞金標準,通常進行,https://w.atwiki.jp/altair1/pages/39.html,水ジム対策候補を敵側でも提示。
TPL_S3_BIRD,2～3個目,一般トレーナーテンプレート,とりつかい,海岸・高台道路,シングル,高難度標準・一般,2,3,アオガラス,25,,きんちょうかん,わんぱく,オレンのみ,ついばむ,つけあがる,ちょうはつ,つめとぎ,HP40/防御40,16,妨害,no,,なし,,2,いいキズぐすり×1,賞金標準,通常進行,https://w.atwiki.jp/altair1/pages/39.html,水ジム対策候補を敵側でも提示。
TPL_S3_BIRD,2～3個目,一般トレーナーテンプレート,とりつかい,海岸・高台道路,シングル,高難度標準・一般,3,3,カイデン,27,,ちくでん,おくびょう,じしゃく,エレキボール,エアカッター,でんじは,ボルトチェンジ,特攻60/素早さ20,17,切り札,no,,なし,,2,いいキズぐすり×1,賞金標準,通常進行,https://w.atwiki.jp/altair1/pages/39.html,水ジム対策候補を敵側でも提示。
TPL_S3_PSYCHIC,2～3個目,一般トレーナーテンプレート,サイキッカー,こころのやかた周辺,シングル,高難度標準・一般,1,3,スリープ,24,,ふみん,ずぶとい,オレンのみ,サイケこうせん,さいみんじゅつ,かなしばり,ずつき,HP40/防御20,15,睡眠,no,,なし,,2,いいキズぐすり×1,賞金標準,通常進行,https://w.atwiki.jp/altair1/pages/39.html,睡眠技は一体だけに限定。
TPL_S3_PSYCHIC,2～3個目,一般トレーナーテンプレート,サイキッカー,こころのやかた周辺,シングル,高難度標準・一般,2,3,キリンリキ,25,,せいしんりょく,ひかえめ,まがったスプーン,サイケこうせん,ダメおし,こうそくいどう,ふみつけ,特攻60,16,両面,no,,なし,,2,いいキズぐすり×1,賞金標準,通常進行,https://w.atwiki.jp/altair1/pages/39.html,睡眠技は一体だけに限定。
TPL_S3_PSYCHIC,2～3個目,一般トレーナーテンプレート,サイキッカー,こころのやかた周辺,シングル,高難度標準・一般,3,3,ニャスパー,26,,すりぬけ,おくびょう,きあいのタスキ,ねんりき,チャームボイス,ひかりのかべ,ねこだまし,素早さ60,16,支援,no,,なし,,2,いいキズぐすり×1,賞金標準,通常進行,https://w.atwiki.jp/altair1/pages/39.html,睡眠技は一体だけに限定。
TPL_S3_SWIMMER,2～3個目,一般トレーナーテンプレート,かいパンやろう,507～509番水道,シングル,高難度標準・一般,1,3,ブイゼル,24,,すいすい,ようき,しんぴのしずく,アクアジェット,スピードスター,かみつく,みずのはどう,攻撃40/素早さ40,15,高速,no,,なし,,2,いいキズぐすり×1,賞金標準,通常進行,https://w.atwiki.jp/altair1/pages/39.html,水ジム前にちくでんを見せ、単純な電気対策を牽制。
TPL_S3_SWIMMER,2～3個目,一般トレーナーテンプレート,かいパンやろう,507～509番水道,シングル,高難度標準・一般,2,3,ウミディグダ,24,,ぬめぬめ,ようき,オレンのみ,アクアジェット,どろかけ,ずつき,あなをほる,素早さ60,15,速度低下,no,,なし,,2,いいキズぐすり×1,賞金標準,通常進行,https://w.atwiki.jp/altair1/pages/39.html,水ジム前にちくでんを見せ、単純な電気対策を牽制。
TPL_S3_SWIMMER,2～3個目,一般トレーナーテンプレート,かいパンやろう,507～509番水道,シングル,高難度標準・一般,3,3,チョンチー,26,,ちくでん,ひかえめ,じしゃく,スパーク,バブルこうせん,でんじは,あやしいひかり,特攻60,16,電気受け,no,,なし,,2,いいキズぐすり×1,賞金標準,通常進行,https://w.atwiki.jp/altair1/pages/39.html,水ジム前にちくでんを見せ、単純な電気対策を牽制。
GYM03_KIRI,本編・3個目,ジムリーダー,キリ,シオウシティジム,シングル,高難度標準,1,5,レクオレ,29,,既存特性（実ROM抽出後に役割適合側）,ひかえめ,しめったいわ,あまごい,みずのはどう,マッドショット,シグナルビーム,HP64/特攻64,20,雨始動・速度操作,no,,テラスタル,スターミー初登場時にみずテラスタル,4,いいキズぐすり×1,ファクトバッジ／わざマシン18（アクアボルト）,リム研究所事件後にテラオーブ試作品を入手,https://w.atwiki.jp/altair1/pages/42.html,原作の難所という位置を維持。ひかりのこな・せんせいのツメを撤廃し、確定情報として予告されるみずテラと役割分担で難しくする。
GYM03_KIRI,本編・3個目,ジムリーダー,キリ,シオウシティジム,シングル,高難度標準,2,5,フローゼル,29,,すいすい,ようき,しんぴのしずく,アクアジェット,かみくだく,かわらわり,あまごい,攻撃96/素早さ64,20,雨下の物理掃除役,no,,テラスタル,スターミー初登場時にみずテラスタル,4,いいキズぐすり×1,ファクトバッジ／わざマシン18（アクアボルト）,リム研究所事件後にテラオーブ試作品を入手,https://w.atwiki.jp/altair1/pages/42.html,原作の難所という位置を維持。ひかりのこな・せんせいのツメを撤廃し、確定情報として予告されるみずテラと役割分担で難しくする。
GYM03_KIRI,本編・3個目,ジムリーダー,キリ,シオウシティジム,シングル,高難度標準,3,5,ハラバリー,30,,でんきにかえる,ずぶとい,オボンのみ,パラボラチャージ,だくりゅう,アシッドボム,なまける,HP96/防御64,22,草・電気の安直な選出を崩す耐久枠,no,,テラスタル,スターミー初登場時にみずテラスタル,4,いいキズぐすり×1,ファクトバッジ／わざマシン18（アクアボルト）,リム研究所事件後にテラオーブ試作品を入手,https://w.atwiki.jp/altair1/pages/42.html,原作の難所という位置を維持。ひかりのこな・せんせいのツメを撤廃し、確定情報として予告されるみずテラと役割分担で難しくする。
GYM03_KIRI,本編・3個目,ジムリーダー,キリ,シオウシティジム,シングル,高難度標準,4,5,テペトラー,30,,既存特性（実ROM抽出後に役割適合側）,ひかえめ,たつじんのおび,ねっとう,はどうだん,れいとうビーム,あくのはどう,HP64/特攻96,22,広範囲特殊ブレイカー,no,,テラスタル,スターミー初登場時にみずテラスタル,4,いいキズぐすり×1,ファクトバッジ／わざマシン18（アクアボルト）,リム研究所事件後にテラオーブ試作品を入手,https://w.atwiki.jp/altair1/pages/42.html,原作の難所という位置を維持。ひかりのこな・せんせいのツメを撤廃し、確定情報として予告されるみずテラと役割分担で難しくする。
GYM03_KIRI,本編・3個目,ジムリーダー,キリ,シオウシティジム,シングル,高難度標準,5,5,スターミー,31,,しぜんかいふく,おくびょう,オボンのみ,みずのはどう,サイコショック,れいとうビーム,じこさいせい,特攻96/素早さ96,24,みずテラの高速エース,yes,,テラスタル,スターミー初登場時にみずテラスタル,4,いいキズぐすり×1,ファクトバッジ／わざマシン18（アクアボルト）,リム研究所事件後にテラオーブ試作品を入手,https://w.atwiki.jp/altair1/pages/42.html,原作の難所という位置を維持。ひかりのこな・せんせいのツメを撤廃し、確定情報として予告されるみずテラと役割分担で難しくする。
TPL_S4_BREEDER,3～4個目,一般トレーナーテンプレート,ポケモンブリーダー,ヒスイ方面道路,シングル,高難度標準・一般,1,3,ラッキー,32,,しぜんかいふく,ずぶとい,しんかのきせき,ちきゅうなげ,タマゴうみ,でんじは,ひかりのかべ,HP100/防御60,20,特殊受け,no,,なし,,2,すごいキズぐすり×1,賞金標準,通常進行,https://w.atwiki.jp/altair1/pages/39.html,耐久ポケモンへの崩し方を学ばせる。
TPL_S4_BREEDER,3～4個目,一般トレーナーテンプレート,ポケモンブリーダー,ヒスイ方面道路,シングル,高難度標準・一般,2,3,トゲチック,34,,てんのめぐみ,ずぶとい,オボンのみ,エアスラッシュ,ドレインキッス,あくび,はねやすめ,HP80/防御60,20,妨害,no,,なし,,2,すごいキズぐすり×1,賞金標準,通常進行,https://w.atwiki.jp/altair1/pages/39.html,耐久ポケモンへの崩し方を学ばせる。
TPL_S4_BREEDER,3～4個目,一般トレーナーテンプレート,ポケモンブリーダー,ヒスイ方面道路,シングル,高難度標準・一般,3,3,ワルビル,35,,いかく,ようき,やわらかいすな,じならし,かみくだく,ちょうはつ,いわなだれ,攻撃100/素早さ40,21,物理切り札,no,,なし,,2,すごいキズぐすり×1,賞金標準,通常進行,https://w.atwiki.jp/altair1/pages/39.html,耐久ポケモンへの崩し方を学ばせる。
TPL_S4_DH_SCI,3～4個目,一般トレーナーテンプレート,D・Hだんのけんきゅういん,アーシア島D・Hビル,シングル,高難度標準・一般,1,3,レアコイル,33,,がんじょう,ひかえめ,オボンのみ,ラスターカノン,エレキボール,でんじは,ボルトチェンジ,特攻100,20,電磁支援,no,,なし,,3,すごいキズぐすり×1,賞金高,通常進行,https://w.atwiki.jp/altair1/pages/39.html,D・Hビルの標準研究員。
TPL_S4_DH_SCI,3～4個目,一般トレーナーテンプレート,D・Hだんのけんきゅういん,アーシア島D・Hビル,シングル,高難度標準・一般,2,3,ポリゴン2,34,,トレース,ずぶとい,しんかのきせき,トライアタック,サイケこうせん,じこさいせい,でんじは,HP80/防御40,20,耐久人工,no,,なし,,3,すごいキズぐすり×1,賞金高,通常進行,https://w.atwiki.jp/altair1/pages/39.html,D・Hビルの標準研究員。
TPL_S4_DH_SCI,3～4個目,一般トレーナーテンプレート,D・Hだんのけんきゅういん,アーシア島D・Hビル,シングル,高難度標準・一般,3,3,ブロロローム,36,,ぼうじん,いじっぱり,シュカのみ,ホイールスピン,どくづき,じならし,ギアチェンジ,攻撃100/素早さ40,21,機械切り札,no,,なし,,3,すごいキズぐすり×1,賞金高,通常進行,https://w.atwiki.jp/altair1/pages/39.html,D・Hビルの標準研究員。
TPL_S4_KANTO_CERT,3～4個目,認定トレーナーテンプレート,カントーのベテラン,クチバ港・交流区画,シングル,高難度標準・一般,1,3,オコリザル,34,,まけんき,ようき,オボンのみ,かわらわり,いわなだれ,ダメおし,きあいだめ,攻撃100/素早さ60,21,物理,no,,Zワザ,ライチュウが確定圏でデンキZ,3,すごいキズぐすり×1,交流BP3,D・Hビル初回攻略後,https://w.atwiki.jp/altair1/pages/39.html,早期カントーの高難度警告役。勝利必須にはしない。
TPL_S4_KANTO_CERT,3～4個目,認定トレーナーテンプレート,カントーのベテラン,クチバ港・交流区画,シングル,高難度標準・一般,2,3,サンドパン,35,,すなかき,いじっぱり,やわらかいすな,じならし,いわなだれ,こうそくスピン,つるぎのまい,攻撃100/素早さ60,21,設置対策,no,,Zワザ,ライチュウが確定圏でデンキZ,3,すごいキズぐすり×1,交流BP3,D・Hビル初回攻略後,https://w.atwiki.jp/altair1/pages/39.html,早期カントーの高難度警告役。勝利必須にはしない。
TPL_S4_KANTO_CERT,3～4個目,認定トレーナーテンプレート,カントーのベテラン,クチバ港・交流区画,シングル,高難度標準・一般,3,3,ライチュウ,37,,ひらいしん,おくびょう,デンキZ,10まんボルト,きあいだま,くさむすび,でんじは,特攻120/素早さ80,22,Z切り札,yes,,Zワザ,ライチュウが確定圏でデンキZ,3,すごいキズぐすり×1,交流BP3,D・Hビル初回攻略後,https://w.atwiki.jp/altair1/pages/39.html,早期カントーの高難度警告役。勝利必須にはしない。
TPL_S4_RANGER,3～4個目,一般トレーナーテンプレート,ポケモンレンジャー,520番道路,シングル,高難度標準・一般,1,3,バウッツェル,33,,こんがりボディ,わんぱく,オボンのみ,じゃれつく,ボディプレス,あまえる,かみつく,HP80/防御60,20,炎無効,no,,なし,,3,すごいキズぐすり×1,賞金高,通常進行,https://w.atwiki.jp/altair1/pages/39.html,ジャッキー戦の軽量版。
TPL_S4_RANGER,3～4個目,一般トレーナーテンプレート,ポケモンレンジャー,520番道路,シングル,高難度標準・一般,2,3,カラミンゴ,34,,きもったま,ようき,するどいくちばし,つばめがえし,かわらわり,はねやすめ,みきり,攻撃100/素早さ40,20,高速格闘,no,,なし,,3,すごいキズぐすり×1,賞金高,通常進行,https://w.atwiki.jp/altair1/pages/39.html,ジャッキー戦の軽量版。
TPL_S4_RANGER,3～4個目,一般トレーナーテンプレート,ポケモンレンジャー,520番道路,シングル,高難度標準・一般,3,3,フローゼル,36,,すいすい,ようき,しんぴのしずく,アクアジェット,アクアブレイク,れいとうパンチ,ちょうはつ,攻撃100/素早さ60,21,切り札,no,,なし,,3,すごいキズぐすり×1,賞金高,通常進行,https://w.atwiki.jp/altair1/pages/39.html,ジャッキー戦の軽量版。
NABARI02,本編・D・Hビル,D・H団幹部,ナバリ,アーシア島D・Hビル5F,シングル,高難度標準,1,5,ブロロン,35,,ぼうじん,いじっぱり,しんかのきせき,ヘドロこうげき,ジャイロボール,いやなおと,じならし,HP128/攻撃96,24,新世代機械ポケモンの導入,no,,テラスタル,エアームド初登場時にはがねテラスタル,4,すごいキズぐすり×1／なんでもなおし×1,520番道路開通／カントー渡航・試作レイド解禁,3個目バッジ取得後,https://w.atwiki.jp/altair1/pages/39.html,ユーザー案のカントー解禁基準戦。突破直後に高レベル地方へ行けるため、Lv37を次のソフトキャップ基準にする。
