move_name,source_status,integrated_spec,policy,implementation_check
ギガドレイン,ベガで性能変更または再現不足の可能性あり,75/100/10、与ダメージの1/2回復,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
こらえる,ベガで性能変更または再現不足の可能性あり,PP10、連続成功率低下,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
れんぞくぎり,ベガで性能変更または再現不足の可能性あり,40/95/20、連続成功で威力上昇,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
かみくだく,ベガで性能変更または再現不足の可能性あり,80/100/15、防御低下20%,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
しんそく,ベガで性能変更または再現不足の可能性あり,80/100/5、優先度+2,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
げんしのちから,ベガで性能変更または再現不足の可能性あり,60/100/5、全能力+1が10%,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
みらいよち,ベガで性能変更または再現不足の可能性あり,120/100/10、2ターン後,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
いわくだき,ベガで性能変更または再現不足の可能性あり,40/100/15、防御低下50%,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
うずしお,ベガで性能変更または再現不足の可能性あり,35/85/15、4～5ターン拘束,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
ねこだまし,ベガで性能変更または再現不足の可能性あり,40/100/10、優先度+3、場に出た最初のターンのみ,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
さわぐ,ベガで性能変更または再現不足の可能性あり,90/100/10、3ターン・睡眠防止,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
たくわえる,ベガで性能変更または再現不足の可能性あり,最大3回、防御・特防+1,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
じゅうでん,ベガで性能変更または再現不足の可能性あり,特防+1、次の電気技威力2倍,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
ダイビング,ベガで性能変更または再現不足の可能性あり,80/100/10,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
オーバーヒート,ベガで性能変更または再現不足の可能性あり,130/90/5、特攻-2,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
すなじごく,ベガで性能変更または再現不足の可能性あり,35/85/15、4～5ターン拘束,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
タネマシンガン,ベガで性能変更または再現不足の可能性あり,25/100/30、2～5回,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
つららばり,ベガで性能変更または再現不足の可能性あり,25/100/30、2～5回,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
ほしがる,ベガで性能変更または再現不足の可能性あり,60/100/25、持ち物を奪う,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
ボルテッカー,ベガで性能変更または再現不足の可能性あり,120/100/15、反動1/3、麻痺10%,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
リーフブレード,ベガで性能変更または再現不足の可能性あり,90/100/15、急所率+1,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
ロックブラスト,ベガで性能変更または再現不足の可能性あり,25/90/10、2～5回,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
はめつのねがい,ベガで性能変更または再現不足の可能性あり,140/100/5、2ターン後,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
フレアドライブ,ベガで性能変更または再現不足の可能性あり,120/100/15、反動1/3、火傷10%、凍り解除,ベガで欠落していた副効果を復元,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
はねやすめ,ベガで性能変更または再現不足の可能性あり,最大HPの1/2回復、そのターン飛行タイプ喪失,ベガで欠落していた一時タイプ変更を復元,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
