national_no,name,identifier,generation,types,family,stage,baseline_source,audit_class,intended_role,level_up_additions,level_up_retiming,level_up_removals_or_reassignment,tm_additions,tutor_additions,egg_move_additions,signature_move_policy,strong_move_gate,wild_capture_moveset_policy,vega_existing_status,review_confidence,implementation_note
14,コクーン,kakuna,1,むし／どく,ビードル → コクーン → スピアー,中間進化,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,物理寄り,シザークロス / ねばねばネット / どくづき / どくどく,中威力STABをLv22～35、役割補助技を進化時またはLv30前後に配置。最終大技は先送り。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,とんぼがえり / ベノムショック,むしくい / ダストシュート,いとをはく / どくびし,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
15,スピアー,beedrill,1,むし／どく,ビードル → コクーン → スピアー,進化先／最終形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,物理アタッカー,メガホーン / ねばねばネット / ダストシュート / どくどく,進化時に役割技を1つ提示。主力STABはLv36～50、反動・積み・専用大技はLv50～65またはLv1思い出し。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,とんぼがえり / ベノムショック,むしくい / ダストシュート,いとをはく / どくびし,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
16,ポッポ,pidgey,1,ノーマル／ひこう,ポッポ → ピジョン → ピジョット,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,物理寄り,ずつき / アンコール / つばさでうつ / おいかぜ,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,まもる / アクロバット,てだすけ / おいかぜ,あくび / はねやすめ,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
17,ピジョン,pidgeotto,1,ノーマル／ひこう,ポッポ → ピジョン → ピジョット,中間進化,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,物理寄り,のしかかり / アンコール / ドリルくちばし / おいかぜ,中威力STABをLv22～35、役割補助技を進化時またはLv30前後に配置。最終大技は先送り。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,まもる / アクロバット,てだすけ / おいかぜ,あくび / はねやすめ,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
18,ピジョット,pidgeot,1,ノーマル／ひこう,ポッポ → ピジョン → ピジョット,進化先／最終形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,物理寄り,すてみタックル / アンコール / ブレイブバード / おいかぜ,進化時に役割技を1つ提示。主力STABはLv36～50、反動・積み・専用大技はLv50～65またはLv1思い出し。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,まもる / アクロバット,てだすけ / おいかぜ,あくび / はねやすめ,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
19,コラッタ,rattata,1,ノーマル,コラッタ → ラッタ,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,物理寄り,ずつき / アンコール,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,まもる,てだすけ,あくび,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
20,ラッタ,raticate,1,ノーマル,コラッタ → ラッタ,進化先／最終形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,物理アタッカー,すてみタックル / アンコール,進化時に役割技を1つ提示。主力STABはLv36～50、反動・積み・専用大技はLv50～65またはLv1思い出し。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,まもる,てだすけ,あくび,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
21,オニスズメ,spearow,1,ノーマル／ひこう,オニスズメ → オニドリル,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,物理寄り,ずつき / アンコール / つばさでうつ / おいかぜ,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,まもる / アクロバット,てだすけ / おいかぜ,あくび / はねやすめ,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
22,オニドリル,fearow,1,ノーマル／ひこう,オニスズメ → オニドリル,進化先／最終形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,物理アタッカー,すてみタックル / アンコール / ブレイブバード / おいかぜ,進化時に役割技を1つ提示。主力STABはLv36～50、反動・積み・専用大技はLv50～65またはLv1思い出し。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,まもる / アクロバット,てだすけ / おいかぜ,あくび / はねやすめ,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
23,アーボ,ekans,1,どく,アーボ → アーボック,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,ベガ既存表保護＋選択的現代化,補助寄り両刀,どくばり / アシッドボム,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,ベガ既存の独自技・攻略導線を保持。無関係な高火力サブウェポン、NPC専用の違法技、早期の積み技だけをTM／教え技へ移す。,ベノムショック,ダストシュート,どくびし,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,既存（トーホク図鑑261）,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
24,アーボック,arbok,1,どく,アーボ → アーボック,進化先／最終形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,ベガ既存表保護＋選択的現代化,物理アタッカー,ダストシュート / どくどく,進化時に役割技を1つ提示。主力STABはLv36～50、反動・積み・専用大技はLv50～65またはLv1思い出し。,ベガ既存の独自技・攻略導線を保持。無関係な高火力サブウェポン、NPC専用の違法技、早期の積み技だけをTM／教え技へ移す。,ベノムショック,ダストシュート,どくびし,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,既存（トーホク図鑑262）,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
25,ピカチュウ,pikachu,1,でんき,ピチュー → ピカチュウ → ライチュウ,中間進化,DPE-JP Learnsets.c＋ベガ既存表（既存種）,ベガ既存表保護＋選択的現代化,特殊寄り,ボルテッカー / 10まんボルト / でんじは,中威力STABをLv22～35、役割補助技を進化時またはLv30前後に配置。最終大技は先送り。,ベガ既存の独自技・攻略導線を保持。無関係な高火力サブウェポン、NPC専用の違法技、早期の積み技だけをTM／教え技へ移す。,ボルトチェンジ,エレキネット,じゅうでん,ボルテッカーを進化時／Lv1思い出しに登録。通常のTM・汎用教え技にはしない。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,既存（トーホク図鑑025）,A,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
26,ライチュウ,raichu,1,でんき,ピチュー → ピカチュウ → ライチュウ,進化先／最終形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,ベガ既存表保護＋選択的現代化,特殊アタッカー,ボルテッカー / かみなり / でんじは,進化時に役割技を1つ提示。主力STABはLv36～50、反動・積み・専用大技はLv50～65またはLv1思い出し。,ベガ既存の独自技・攻略導線を保持。無関係な高火力サブウェポン、NPC専用の違法技、早期の積み技だけをTM／教え技へ移す。,ボルトチェンジ,エレキネット,じゅうでん,ボルテッカーを進化時／Lv1思い出しに登録。通常のTM・汎用教え技にはしない。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,既存（トーホク図鑑026）,A,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
27,サンド,sandshrew,1,じめん,サンド → サンドパン,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,ベガ既存表保護＋選択的現代化,物理寄り,どろかけ / すなあらし,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,ベガ既存の独自技・攻略導線を保持。無関係な高火力サブウェポン、NPC専用の違法技、早期の積み技だけをTM／教え技へ移す。,じならし,ねっさのだいち,まきびし,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,既存（トーホク図鑑293）,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
28,サンドパン,sandslash,1,じめん,サンド → サンドパン,進化先／最終形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,ベガ既存表保護＋選択的現代化,物理アタッカー,じしん / すなあらし,進化時に役割技を1つ提示。主力STABはLv36～50、反動・積み・専用大技はLv50～65またはLv1思い出し。,ベガ既存の独自技・攻略導線を保持。無関係な高火力サブウェポン、NPC専用の違法技、早期の積み技だけをTM／教え技へ移す。,じならし,ねっさのだいち,まきびし,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,既存（トーホク図鑑294）,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
29,ニドラン♀,nidoran-f,1,どく,ニドラン♀ → ニドリーナ → ニドクイン,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,ベガ既存表保護＋選択的現代化,補助寄り両刀,どくばり / アシッドボム,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,ベガ既存の独自技・攻略導線を保持。無関係な高火力サブウェポン、NPC専用の違法技、早期の積み技だけをTM／教え技へ移す。,ベノムショック,ダストシュート,どくびし,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,既存（トーホク図鑑029）,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
30,ニドリーナ,nidorina,1,どく,ニドラン♀ → ニドリーナ → ニドクイン,中間進化,DPE-JP Learnsets.c＋ベガ既存表（既存種）,ベガ既存表保護＋選択的現代化,補助寄り両刀,どくづき / ヘドロばくだん,中威力STABをLv22～35、役割補助技を進化時またはLv30前後に配置。最終大技は先送り。,ベガ既存の独自技・攻略導線を保持。無関係な高火力サブウェポン、NPC専用の違法技、早期の積み技だけをTM／教え技へ移す。,ベノムショック,ダストシュート,どくびし,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,既存（トーホク図鑑030）,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
