move_name,vega_current_spec,integrated_proposal,reason,recommended_gate,distribution_policy,facility_test
バグノイズ,120/90/10・自分麻痺10%・音技,110/90/10・音技・自分素早さ-1が20%,代償を固定化,終盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
ピッカリだま,65/100/30・相手全体・命中低下70%,65/100/15・相手全体・命中低下20%,回避運ゲー化を防止,中盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
ふくしゅう,60/100/10・優先度-4・復讐効果,70/100/10・優先度-4・被弾時2倍,リベンジ型へ統一,中盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
ポイズンリーフ,70/100/20・毒40%,75/100/15・毒30%,追加率を標準化,中盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
マグナムパンチ,95/100/15・防御低下10%/怯み10%,90/100/10・防御低下20%,二重追加を整理,終盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
マグマでかこむ,55/必中/20・優先度-1・拘束,50/必中/15・優先度-1・4～5ターン拘束,拘束仕様を現代化,中盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
マッハボルト,40/100/30・優先度+1,40/100/20・優先度+1,PPのみ調整,中盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
マグマアクセル,130/100/10・素早さ+2が50%,110/100/5・素早さ+1が30%,最大級の過剰性能を是正,最終盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
めまわし,素早さ+1/回避+2/命中-1,素早さ+1/回避+1/命中-1,回避上昇を1段階へ,終盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
めざめぬパワー,130/100/10・相手回避+2,120/100/5・相手回避+1,高威力のデメリット技として整理,最終盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
メガショック,70/100/20・防御-2が20%,75/100/15・防御-1が30%,変動幅を抑制,中盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
メタルニッパー,30×3/100/40,25×3/100/15,最大75の安定連続技へ,中盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
もぐる,75/90/20・素早さ-2が30%,75/95/15・素早さ-1が30%,低下幅を抑制,中盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
ライフダウン,60/100/40・みねうち・まもる貫通,60/100/20・みねうち効果・まもる貫通なし,捕獲QOLとして維持,中盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
リーフガード,75/95/10・自分防御上昇20%,75/100/15・自分防御+1が20%,命中を安定化,中盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
グランボールダ,120/75/5・怯み10%,110/80/5・怯み10%,AS独自技を現代環境へ調整,終盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
スターダスト,90/100/10・相手全体,90/100/10・相手全体,据え置き。鋼特殊の配布範囲を限定,終盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
ソウルブレイク,50/100/20・混乱30%,60/100/15・混乱20%,威力と追加率を整理,中盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
だいちのいかり,120/100/15・反動1/3,120/100/10・反動1/3,PPのみ調整,終盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
のりうつる,120/70/10・混乱10%,110/80/5・混乱10%,命中を改善,終盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
ひょうらいは,120/80/5・凍り/麻痺/火傷30%,110/85/5・三状態の合計発生率30%,各30%ではなく合計30%にする,最終盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
ぶちこわす,120/85/5・防御低下10%,110/90/5・防御低下20%,実用性を整える,終盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
メタルブラスト,120/80/10,110/90/5,命中改善・PP調整,終盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
