vega_dex_no,name,types,family,stage,intended_role,baseline_source,audit_class,level_up_additions,level_up_retiming,level_up_removals_or_reassignment,tm_additions,tutor_additions,egg_move_additions,vega_custom_move_policy,strong_move_gate,wild_capture_moveset_policy,source_verification,review_confidence
22,フロルル,くさ,フロン → フロルル → フローリア,中間進化,特殊寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ギガドレイン / やどりぎのタネ,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,くさむすび,グラススライダー,こうごうせい,代表独自技候補: リーフガード,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
23,フローリア,くさ／エスパー,フロン → フロルル → フローリア,進化先／単独種,特殊アタッカー,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,エナジーボール / やどりぎのタネ / サイコショック / めいそう,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,くさむすび / サイコショック,グラススライダー / トリック,こうごうせい / ひかりのかべ,代表独自技候補: リーフガード / サイコパンチ,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,A
27,ゴリチュウ,でんき／かくとう,ゴリチュウ,進化先／単独種,物理アタッカー,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ワイルドボルト / でんじは / インファイト / ビルドアップ,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,ボルトチェンジ / ドレインパンチ,エレキネット / コーチング,じゅうでん / みきり,代表独自技候補: マッハボルト / マグナムパンチ,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,A
37,ララベリー,くさ,ララベリー → セラーナ,基礎形,特殊寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,メガドレイン / やどりぎのタネ,既存の序盤技を維持し、命中安定STABをLv8～16に1つだけ補う。独自大技は継承させない。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,くさむすび,グラススライダー,こうごうせい,代表独自技候補: リーフガード,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
38,セラーナ,くさ／エスパー,ララベリー → セラーナ,進化先／単独種,特殊アタッカー,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,エナジーボール / やどりぎのタネ / サイコショック / めいそう,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,くさむすび / サイコショック,グラススライダー / トリック,こうごうせい / ひかりのかべ,代表独自技候補: リーフガード / サイコパンチ,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,A
43,マホース,ノーマル,マホース → ペガーン → ユニサス,基礎形,物理寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ずつき / アンコール,既存の序盤技を維持し、命中安定STABをLv8～16に1つだけ補う。独自大技は継承させない。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,まもる,てだすけ,あくび,代表独自技候補: スピンテール,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
44,ペガーン,ノーマル／ひこう,マホース → ペガーン → ユニサス,中間進化,物理寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,のしかかり / アンコール / ドリルくちばし / おいかぜ,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,まもる / アクロバット,てだすけ / おいかぜ,あくび / はねやすめ,代表独自技候補: スピンテール / かくらんひこう,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
45,ユニサス,ノーマル／ひこう,マホース → ペガーン → ユニサス,進化先／単独種,高速物理,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,すてみタックル / アンコール / ブレイブバード / おいかぜ,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,まもる / アクロバット,てだすけ / おいかぜ,あくび / はねやすめ,代表独自技候補: スピンテール / かくらんひこう,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,A
50,ライノス,じめん／ドラゴン,ライノス → メタゲラス,基礎形,物理寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,どろかけ / すなあらし / ドラゴンテール / りゅうのまい,既存の序盤技を維持し、命中安定STABをLv8～16に1つだけ補う。独自大技は継承させない。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,じならし / ワイドブレイカー,ねっさのだいち / りゅうせいぐん,まきびし / こわいかお,代表独自技候補: すなかぜ / ドラゴンビート,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
51,メタゲラス,じめん／はがね,ライノス → メタゲラス,進化先／単独種,物理アタッカー,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,じしん / すなあらし / ヘビーボンバー / てっぺき,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,じならし / ラスターカノン,ねっさのだいち / アイアンヘッド,まきびし / ボディプレス,代表独自技候補: すなかぜ / じりょくせん,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,A
53,ディザソル,あく,ディザソル,進化先／単独種,物理寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,はたきおとす / ちょうはつ,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,バークアウト,はたきおとす,わるだくみ,代表独自技候補: ダークカッター,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
55,フォリキー,エスパー,フォリキー,進化先／単独種,特殊寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,サイコショック / めいそう,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,サイコショック,トリック,ひかりのかべ,代表独自技候補: サイコパンチ,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
56,バーニン,エスパー／ほのお,バーニン,進化先／単独種,特殊寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,サイコショック / めいそう / だいもんじ / おにび,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,サイコショック / かえんほうしゃ,トリック / ねっぷう,ひかりのかべ / にほんばれ,代表独自技候補: サイコパンチ / マグマアクセル,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
57,ファントマ,エスパー／ゴースト,ファントマ,進化先／単独種,特殊アタッカー,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,サイコショック / めいそう / シャドーボール / おにび,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,サイコショック / シャドークロー,トリック / ポルターガイスト,ひかりのかべ / みちづれ,代表独自技候補: サイコパンチ / たたり,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,A
68,テディ,ノーマル,テディ → ググズリー → ハンタマ,基礎形,物理寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ずつき / アンコール,既存の序盤技を維持し、命中安定STABをLv8～16に1つだけ補う。独自大技は継承させない。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,まもる,てだすけ,あくび,代表独自技候補: スピンテール,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
69,ググズリー,ノーマル／あく,テディ → ググズリー → ハンタマ,中間進化,物理寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,のしかかり / アンコール / つじぎり / ちょうはつ,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,まもる / バークアウト,てだすけ / はたきおとす,あくび / わるだくみ,代表独自技候補: スピンテール / ダークカッター,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
70,ハンタマ,あく／ゴースト,テディ → ググズリー → ハンタマ,進化先／単独種,物理アタッカー,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,はたきおとす / ちょうはつ / ポルターガイスト / おにび,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,バークアウト / シャドークロー,はたきおとす / ポルターガイスト,わるだくみ / みちづれ,代表独自技候補: ダークカッター / たたり,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,A
81,ダンゴロウ,みず,ダンゴロウ → マルマジロ,基礎形,両刀・可変,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,アクアジェット / みずのはどう,既存の序盤技を維持し、命中安定STABをLv8～16に1つだけ補う。独自大技は継承させない。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,アクアブレイク,クイックターン,アクアリング,代表独自技候補: アクアボルト,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
82,マルマジロ,みず／はがね,ダンゴロウ → マルマジロ,進化先／単独種,物理寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,たきのぼり / あまごい / ヘビーボンバー / てっぺき,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,アクアブレイク / ラスターカノン,クイックターン / アイアンヘッド,アクアリング / ボディプレス,代表独自技候補: アクアボルト / じりょくせん,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
83,アロフィー,みず／くさ,アロフィー → リーフィス,基礎形,特殊寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,みずのはどう / あまごい / メガドレイン / やどりぎのタネ,既存の序盤技を維持し、命中安定STABをLv8～16に1つだけ補う。独自大技は継承させない。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,アクアブレイク / くさむすび,クイックターン / グラススライダー,アクアリング / こうごうせい,代表独自技候補: アクアボルト / リーフガード,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
84,リーフィス,みず／くさ,アロフィー → リーフィス,進化先／単独種,特殊寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ハイドロポンプ / あまごい / エナジーボール / やどりぎのタネ,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,アクアブレイク / くさむすび,クイックターン / グラススライダー,アクアリング / こうごうせい,代表独自技候補: アクアボルト / リーフガード,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
