category,item,source_identifier,earliest_gate,acquisition,repeatability,currency_or_price,integration_note
進化石,リーフのいし,leaf-stone,バッジ2個,ハクジのもり採集,反復,5000円または調査ポイント2,初回はフィールド配置、以後は専門店。
進化石,ひかりのいし,shiny-stone,バッジ6個,ときのようかん光源修復,反復,5000円または調査ポイント2,初回はフィールド配置、以後は専門店。
進化石,やみのいし,dusk-stone,バッジ6個,ダークタワー夜間,反復,5000円または調査ポイント2,初回はフィールド配置、以後は専門店。
進化石,めざめいし,dawn-stone,バッジ5個,ユキユキやま朝限定箱／チケット可,反復,5000円または調査ポイント2,初回はフィールド配置、以後は専門店。
進化石,まんまるいし,oval-stone,バッジ4個,育て屋の孵化依頼,反復,5000円または調査ポイント2,初回はフィールド配置、以後は専門店。
進化石,こおりのいし,ice-stone,バッジ4個,こおりのしま採掘,反復,5000円または調査ポイント2,初回はフィールド配置、以後は専門店。
進化道具,おうじゃのしるし,kings-rock,バッジ4個,シオウの釣り大会／BP店,反復,BP／調査ポイント,通信進化対象は「つながりのヒモ」と併用。
進化道具,メタルコート,metal-coat,バッジ4個,D・Hビル資材庫,反復,BP／調査ポイント,通信進化対象は「つながりのヒモ」と併用。
進化道具,りゅうのウロコ,dragon-scale,バッジ6個,521～523ばんどうろのドラゴン調査,反復,BP／調査ポイント,通信進化対象は「つながりのヒモ」と併用。
進化道具,アップグレード,up-grade,バッジ5個,D・H研究端末,反復,BP／調査ポイント,通信進化対象は「つながりのヒモ」と併用。
進化道具,しんかいのキバ,deep-sea-tooth,バッジ4個,かいていトンネル宝箱,反復,BP／調査ポイント,通信進化対象は「つながりのヒモ」と併用。
進化道具,しんかいのウロコ,deep-sea-scale,バッジ4個,かいていトンネル宝箱,反復,BP／調査ポイント,通信進化対象は「つながりのヒモ」と併用。
進化道具,プロテクター,protector,バッジ6個,チャンピオンロード採掘,反復,BP／調査ポイント,通信進化対象は「つながりのヒモ」と併用。
進化道具,エレキブースター,electirizer,バッジ4個,かみなりのしま,反復,BP／調査ポイント,通信進化対象は「つながりのヒモ」と併用。
進化道具,マグマブースター,magmarizer,バッジ4個,ひのしま,反復,BP／調査ポイント,通信進化対象は「つながりのヒモ」と併用。
進化道具,あやしいパッチ,dubious-disc,殿堂入り,D・H異常生態区画,反復,BP／調査ポイント,通信進化対象は「つながりのヒモ」と併用。
進化道具,れいかいのぬの,reaper-cloth,バッジ6個,ダークタワー,反復,BP／調査ポイント,通信進化対象は「つながりのヒモ」と併用。
進化道具,するどいツメ,razor-claw,バッジ6個,カラスバシティ夜市,反復,BP／調査ポイント,通信進化対象は「つながりのヒモ」と併用。
進化道具,するどいキバ,razor-fang,バッジ6個,カラスバシティ夜市,反復,BP／調査ポイント,通信進化対象は「つながりのヒモ」と併用。
進化道具,きれいなウロコ,prism-scale,バッジ4個,シオウ釣り協会,反復,BP／調査ポイント,通信進化対象は「つながりのヒモ」と併用。
進化道具,ホイップポップ,whipped-dream,殿堂入り,ミルシティ菓子店,反復,BP／調査ポイント,通信進化対象は「つながりのヒモ」と併用。
進化道具,においぶくろ,sachet,殿堂入り,ミルシティ香料店,反復,BP／調査ポイント,通信進化対象は「つながりのヒモ」と併用。
進化道具,つながりのヒモ,linking-cord,バッジ4個,ハクジ研究所の交換シミュレータ／BP店,反復,BP8,全通信進化の単独プレイ救済。
新世代進化道具,あまーいりんご,sweet-apple,バッジ5個,514～516ばんどうろ果樹園,反復,調査ポイント3～8,イベント限定を避け、最終的に反復入手可。
新世代進化道具,すっぱいりんご,tart-apple,バッジ5個,514～516ばんどうろ果樹園,反復,調査ポイント3～8,イベント限定を避け、最終的に反復入手可。
新世代進化道具,みついりりんご,syrupy-apple,殿堂入り,ハクジのもり希少果樹,反復,調査ポイント3～8,イベント限定を避け、最終的に反復入手可。
新世代進化道具,われたポット,cracked-pot,バッジ6個,ときのようかん骨董商,反復,調査ポイント3～8,イベント限定を避け、最終的に反復入手可。
新世代進化道具,かけたポット,chipped-pot,殿堂入り,ポケモンじょう骨董室,反復,調査ポイント3～8,イベント限定を避け、最終的に反復入手可。
新世代進化道具,ガラナツブレス,galarica-cuff,殿堂入り,シオウ近海の枝交換,反復,調査ポイント3～8,イベント限定を避け、最終的に反復入手可。
新世代進化道具,ガラナツリース,galarica-wreath,殿堂入り,こおりのしまの枝交換,反復,調査ポイント3～8,イベント限定を避け、最終的に反復入手可。
新世代進化道具,イワイノヨロイ,auspicious-armor,殿堂入り,ひのしま鍛冶師,反復,調査ポイント3～8,イベント限定を避け、最終的に反復入手可。
新世代進化道具,ノロイノヨロイ,malicious-armor,殿堂入り,ダークタワー鍛冶師,反復,調査ポイント3～8,イベント限定を避け、最終的に反復入手可。
新世代進化道具,かしらのしるし,leaders-crest,殿堂入り,D・H幹部再戦報酬,反復,調査ポイント3～8,イベント限定を避け、最終的に反復入手可。
新世代進化道具,ふくごうきんぞく,metal-alloy,スフィアいせき後,D・H炉心の合金精製,反復,調査ポイント3～8,イベント限定を避け、最終的に反復入手可。
新世代進化道具,ボンサクのちゃわん,unremarkable-teacup,殿堂入り,ときのようかん茶室,反復,調査ポイント3～8,イベント限定を避け、最終的に反復入手可。
新世代進化道具,ケッサクのちゃわん,masterpiece-teacup,研究ランク5,ポケモンじょう茶室,反復,調査ポイント3～8,イベント限定を避け、最終的に反復入手可。
新世代進化道具,くろのきせき,black-augurite,殿堂入り,ちえのどうくつ採掘,反復,調査ポイント3～8,イベント限定を避け、最終的に反復入手可。
新世代進化道具,ピートブロック,peat-block,殿堂入り,サファリ西の泥炭調査,反復,調査ポイント3～8,イベント限定を避け、最終的に反復入手可。
アメざい,いちごアメざいく,strawberry-sweet,殿堂入り,ミルシティ菓子店のデイリー納品,反復,調査ポイント1,姿選択は職人メニューで明示。
アメざい,ハートアメざいく,love-sweet,殿堂入り,ミルシティ菓子店のデイリー納品,反復,調査ポイント1,姿選択は職人メニューで明示。
アメざい,ベリーアメざいく,berry-sweet,殿堂入り,ミルシティ菓子店のデイリー納品,反復,調査ポイント1,姿選択は職人メニューで明示。
アメざい,よつばアメざいく,clover-sweet,殿堂入り,ミルシティ菓子店のデイリー納品,反復,調査ポイント1,姿選択は職人メニューで明示。
アメざい,おはなアメざいく,flower-sweet,殿堂入り,ミルシティ菓子店のデイリー納品,反復,調査ポイント1,姿選択は職人メニューで明示。
アメざい,スターアメざいく,star-sweet,殿堂入り,ミルシティ菓子店のデイリー納品,反復,調査ポイント1,姿選択は職人メニューで明示。
アメざい,リボンアメざいく,ribbon-sweet,殿堂入り,ミルシティ菓子店のデイリー納品,反復,調査ポイント1,姿選択は職人メニューで明示。
フォーム・伝説,グラシデアのはな,gracidea,殿堂入り,ハクジのもり・花の楽園,1回／紛失時再発行,―,シェイミのフォルム変更。
フォーム・伝説,いでんしのくさび,dna-splicers,スフィアいせき後,D・H反応炉イベント,1回／紛失時再発行,―,キュレム合体／分離。
フォーム・伝説,うつしかがみ,reveal-glass,殿堂入り,四風の石柱イベント,1回／紛失時再発行,―,化身／霊獣切替。
フォーム・伝説,いましめのツボ,prison-bottle,殿堂入り,ときのようかん地下,1回／紛失時再発行,―,フーパ切替。
フォーム・伝説,ジガルデキューブ,zygarde-cube,殿堂入り,スフィアいせき生態中枢,1回／紛失時再発行,―,セル収集・フォルム管理。
フォーム・伝説,ロトムのカタログ,rotom-catalog,バッジ5個,D・Hビル家電室,1回／紛失時再発行,―,ロトム切替。
フォーム・伝説,くちたけん,rusted-sword,スフィアいせき後,ポケモンじょう双塔,1回／紛失時再発行,―,ザシアン。
フォーム・伝説,くちたたて,rusted-shield,スフィアいせき後,ポケモンじょう双塔,1回／紛失時再発行,―,ザマゼンタ。
フォーム・伝説,キズナのタヅナ,reins-of-unity,殿堂入り,雪原の王冠イベント,1回／紛失時再発行,―,バドレックス合体。
フォーム・伝説,くれないのミツ,red-nectar,殿堂入り,サファリ東の花交換,1回／紛失時再発行,―,オドリドリ。
フォーム・伝説,やまぶきのミツ,yellow-nectar,殿堂入り,サファリ中央の花交換,1回／紛失時再発行,―,オドリドリ。
フォーム・伝説,うすもものミツ,pink-nectar,殿堂入り,ハクジのもりの花交換,1回／紛失時再発行,―,オドリドリ。
フォーム・伝説,むらさきのミツ,purple-nectar,殿堂入り,ダークタワーの花交換,1回／紛失時再発行,―,オドリドリ。
フォーム・伝説,いどのめん,wellspring-mask,殿堂入り,仮面祭イベント,1回／紛失時再発行,―,オーガポン。
フォーム・伝説,かまどのめん,hearthflame-mask,殿堂入り,仮面祭イベント,1回／紛失時再発行,―,オーガポン。
フォーム・伝説,いしずえのめん,cornerstone-mask,殿堂入り,仮面祭イベント,1回／紛失時再発行,―,オーガポン。
メモリ,ファイトメモリ,fighting-memory,全国研究ランク2,D・H研究室のタイプ調査報酬,反復,調査ポイント2,シルヴァディ用。
メモリ,フライングメモリ,flying-memory,全国研究ランク2,D・H研究室のタイプ調査報酬,反復,調査ポイント2,シルヴァディ用。
メモリ,ポイズンメモリ,poison-memory,全国研究ランク2,D・H研究室のタイプ調査報酬,反復,調査ポイント2,シルヴァディ用。
メモリ,グラウンドメモリ,ground-memory,全国研究ランク2,D・H研究室のタイプ調査報酬,反復,調査ポイント2,シルヴァディ用。
メモリ,ロックメモリ,rock-memory,全国研究ランク2,D・H研究室のタイプ調査報酬,反復,調査ポイント2,シルヴァディ用。
メモリ,バグメモリ,bug-memory,全国研究ランク2,D・H研究室のタイプ調査報酬,反復,調査ポイント2,シルヴァディ用。
メモリ,ゴーストメモリ,ghost-memory,全国研究ランク2,D・H研究室のタイプ調査報酬,反復,調査ポイント2,シルヴァディ用。
メモリ,スチールメモリ,steel-memory,全国研究ランク2,D・H研究室のタイプ調査報酬,反復,調査ポイント2,シルヴァディ用。
メモリ,ファイヤーメモリ,fire-memory,全国研究ランク2,D・H研究室のタイプ調査報酬,反復,調査ポイント2,シルヴァディ用。
メモリ,ウオーターメモリ,water-memory,全国研究ランク2,D・H研究室のタイプ調査報酬,反復,調査ポイント2,シルヴァディ用。
メモリ,グラスメモリ,grass-memory,全国研究ランク2,D・H研究室のタイプ調査報酬,反復,調査ポイント2,シルヴァディ用。
メモリ,エレクトロメモリ,electric-memory,全国研究ランク2,D・H研究室のタイプ調査報酬,反復,調査ポイント2,シルヴァディ用。
メモリ,サイキックメモリ,psychic-memory,全国研究ランク2,D・H研究室のタイプ調査報酬,反復,調査ポイント2,シルヴァディ用。
メモリ,アイスメモリ,ice-memory,全国研究ランク2,D・H研究室のタイプ調査報酬,反復,調査ポイント2,シルヴァディ用。
メモリ,ドラゴンメモリ,dragon-memory,全国研究ランク2,D・H研究室のタイプ調査報酬,反復,調査ポイント2,シルヴァディ用。
メモリ,ダークメモリ,dark-memory,全国研究ランク2,D・H研究室のタイプ調査報酬,反復,調査ポイント2,シルヴァディ用。
メモリ,フェアリーメモリ,fairy-memory,全国研究ランク2,D・H研究室のタイプ調査報酬,反復,調査ポイント2,シルヴァディ用。
メガストーン,フシギバナイト,venusaurite,殿堂入り,フシギバナを捕獲し、ミラージュのメガ共鳴戦に勝利,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,リザードナイトＸ,charizardite-x,殿堂入り,リザードンを捕獲し、ミラージュのメガ共鳴戦に勝利,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,リザードナイトＹ,charizardite-y,殿堂入り,リザードンを捕獲し、ミラージュのメガ共鳴戦に勝利,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,カメックスナイト,blastoisinite,殿堂入り,カメックスを捕獲し、ミラージュのメガ共鳴戦に勝利,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,スピアナイト,beedrillite,殿堂入り,スピアーを捕獲し、ミラージュのメガ共鳴戦に勝利,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,ピジョットナイト,pidgeotite,殿堂入り,ピジョットを捕獲し、ミラージュのメガ共鳴戦に勝利,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,フーディナイト,alakazite,バッジ6個以降,フーディンを図鑑登録し、カラスバ研究端末のメガ共鳴調査を達成,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,ヤドランナイト,slowbronite,バッジ6個以降,ヤドランを図鑑登録し、カラスバ研究端末のメガ共鳴調査を達成,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,ゲンガナイト,gengarite,殿堂入り,ゲンガーを捕獲し、ミラージュのメガ共鳴戦に勝利,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,ガルーラナイト,kangaskhanite,殿堂入り,ガルーラを捕獲し、ミラージュのメガ共鳴戦に勝利,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,カイロスナイト,pinsirite,殿堂入り,カイロスを捕獲し、ミラージュのメガ共鳴戦に勝利,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,ギャラドスナイト,gyaradosite,殿堂入り,ギャラドスを捕獲し、ミラージュのメガ共鳴戦に勝利,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,プテラナイト,aerodactylite,殿堂入り,プテラを捕獲し、ミラージュのメガ共鳴戦に勝利,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,ミュウツナイトＸ,mewtwonite-x,対応する伝説／幻イベント後,ミュウツーのイベント捕獲後、カラスバのメガ共鳴端末で受取,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,ミュウツナイトＹ,mewtwonite-y,対応する伝説／幻イベント後,ミュウツーのイベント捕獲後、カラスバのメガ共鳴端末で受取,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,デンリュウナイト,ampharosite,殿堂入り,デンリュウを捕獲し、ミラージュのメガ共鳴戦に勝利,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,ハガネールナイト,steelixite,殿堂入り,ハガネールを捕獲し、ミラージュのメガ共鳴戦に勝利,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,ハッサムナイト,scizorite,殿堂入り,ハッサムを捕獲し、ミラージュのメガ共鳴戦に勝利,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,ヘラクロスナイト,heracronite,殿堂入り,ヘラクロスを捕獲し、ミラージュのメガ共鳴戦に勝利,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,ヘルガナイト,houndoominite,殿堂入り,ヘルガーを捕獲し、ミラージュのメガ共鳴戦に勝利,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,バンギラスナイト,tyranitarite,殿堂入り,バンギラスを捕獲し、ミラージュのメガ共鳴戦に勝利,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,ジュカインナイト,sceptilite,殿堂入り,ジュカインを捕獲し、ミラージュのメガ共鳴戦に勝利,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,バシャーモナイト,blazikenite,殿堂入り,バシャーモを捕獲し、ミラージュのメガ共鳴戦に勝利,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,ラグラージナイト,swampertite,殿堂入り,ラグラージを捕獲し、ミラージュのメガ共鳴戦に勝利,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,サーナイトナイト,gardevoirite,殿堂入り,サーナイトを捕獲し、ミラージュのメガ共鳴戦に勝利,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,ヤミラミナイト,sablenite,殿堂入り,ヤミラミを捕獲し、ミラージュのメガ共鳴戦に勝利,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,クチートナイト,mawilite,殿堂入り,クチートを捕獲し、ミラージュのメガ共鳴戦に勝利,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,ボスゴドラナイト,aggronite,殿堂入り,ボスゴドラを捕獲し、ミラージュのメガ共鳴戦に勝利,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,チャーレムナイト,medichamite,バッジ6個以降,チャーレムを図鑑登録し、カラスバ研究端末のメガ共鳴調査を達成,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,ライボルトナイト,manectite,殿堂入り,ライボルトを捕獲し、ミラージュのメガ共鳴戦に勝利,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,サメハダナイト,sharpedonite,バッジ6個以降,サメハダーを図鑑登録し、カラスバ研究端末のメガ共鳴調査を達成,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,バクーダナイト,cameruptite,バッジ6個以降,バクーダを図鑑登録し、カラスバ研究端末のメガ共鳴調査を達成,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,チルタリスナイト,altarianite,殿堂入り,チルタリスを捕獲し、ミラージュのメガ共鳴戦に勝利,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,ジュペッタナイト,banettite,殿堂入り,ジュペッタを捕獲し、ミラージュのメガ共鳴戦に勝利,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,アブソルナイト,absolite,殿堂入り,アブソルを捕獲し、ミラージュのメガ共鳴戦に勝利,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,オニゴーリナイト,glalitite,バッジ6個以降,オニゴーリを図鑑登録し、カラスバ研究端末のメガ共鳴調査を達成,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,ボーマンダナイト,salamencite,殿堂入り,ボーマンダを捕獲し、ミラージュのメガ共鳴戦に勝利,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,メタグロスナイト,metagrossite,殿堂入り,メタグロスを捕獲し、ミラージュのメガ共鳴戦に勝利,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,ラティアスナイト,latiasite,対応する伝説／幻イベント後,ラティアスのイベント捕獲後、カラスバのメガ共鳴端末で受取,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,ラティオスナイト,latiosite,対応する伝説／幻イベント後,ラティオスのイベント捕獲後、カラスバのメガ共鳴端末で受取,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,ミミロップナイト,lopunnite,バッジ6個以降,ミミロップを図鑑登録し、カラスバ研究端末のメガ共鳴調査を達成,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,ガブリアスナイト,garchompite,殿堂入り,ガブリアスを捕獲し、ミラージュのメガ共鳴戦に勝利,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,ルカリオナイト,lucarionite,殿堂入り,ルカリオを捕獲し、ミラージュのメガ共鳴戦に勝利,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,ユキノオナイト,abomasite,バッジ6個以降,ユキノオーを図鑑登録し、カラスバ研究端末のメガ共鳴調査を達成,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,エルレイドナイト,galladite,殿堂入り,エルレイドを捕獲し、ミラージュのメガ共鳴戦に勝利,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,タブンネナイト,audinite,バッジ6個以降,タブンネを図鑑登録し、カラスバ研究端末のメガ共鳴調査を達成,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
メガストーン,ディアンシナイト,diancite,対応する伝説／幻イベント後,ディアンシーのイベント捕獲後、カラスバのメガ共鳴端末で受取,1回／紛失時再発行,調査ポイント5（再発行）,47種すべて個別フラグ。レックウザは専用技条件のため石なし。
原始回帰,べにいろのたま,red-orb,殿堂入り,グラードン捕獲後、ひのしま祭壇を再起動,1回／紛失時再発行,―,原始回帰はメガ枠を消費し、他ギミックと排他。
原始回帰,あいいろのたま,blue-orb,殿堂入り,カイオーガ捕獲後、シオウ海底祭壇を再起動,1回／紛失時再発行,―,原始回帰はメガ枠を消費し、他ギミックと排他。
タイプZクリスタル,ノーマルＺ,normalium-z--held,バッジ2個,502ばんどうろ・基礎生態試験を達成,1回／紛失時再発行,調査ポイント3（再発行）,Zリング入手前に達成した場合は研究所で後日受取。
タイプZクリスタル,ホノオＺ,firium-z--held,バッジ7個,ひのしま・炎の試練を達成,1回／紛失時再発行,調査ポイント3（再発行）,Zリング入手前に達成した場合は研究所で後日受取。
タイプZクリスタル,ミズＺ,waterium-z--held,バッジ3個,シオウシティ・水上試験を達成,1回／紛失時再発行,調査ポイント3（再発行）,Zリング入手前に達成した場合は研究所で後日受取。
タイプZクリスタル,デンキＺ,electrium-z--held,バッジ7個,かみなりのしま・雷の試練を達成,1回／紛失時再発行,調査ポイント3（再発行）,Zリング入手前に達成した場合は研究所で後日受取。
タイプZクリスタル,クサＺ,grassium-z--held,バッジ2個,ハクジのもり・植生試験を達成,1回／紛失時再発行,調査ポイント3（再発行）,Zリング入手前に達成した場合は研究所で後日受取。
タイプZクリスタル,コオリＺ,icium-z--held,バッジ7個,こおりのしま・氷の試練を達成,1回／紛失時再発行,調査ポイント3（再発行）,Zリング入手前に達成した場合は研究所で後日受取。
タイプZクリスタル,カクトウＺ,fightinium-z--held,バッジ4個,ちえのどうくつ・格闘家の連戦を達成,1回／紛失時再発行,調査ポイント3（再発行）,Zリング入手前に達成した場合は研究所で後日受取。
タイプZクリスタル,ドクＺ,poisonium-z--held,バッジ6個,D・Hビル・毒性サンプル浄化を達成,1回／紛失時再発行,調査ポイント3（再発行）,Zリング入手前に達成した場合は研究所で後日受取。
タイプZクリスタル,ジメンＺ,groundium-z--held,バッジ7個,サファリ西・地層試験を達成,1回／紛失時再発行,調査ポイント3（再発行）,Zリング入手前に達成した場合は研究所で後日受取。
タイプZクリスタル,ヒコウＺ,flyinium-z--held,バッジ7個,521ばんどうろ・高所試験を達成,1回／紛失時再発行,調査ポイント3（再発行）,Zリング入手前に達成した場合は研究所で後日受取。
タイプZクリスタル,エスパーＺ,psychium-z--held,バッジ6個,ときのようかん・精神試験を達成,1回／紛失時再発行,調査ポイント3（再発行）,Zリング入手前に達成した場合は研究所で後日受取。
タイプZクリスタル,ムシＺ,buginium-z--held,バッジ2個,ハクジのもり・虫取り調査を達成,1回／紛失時再発行,調査ポイント3（再発行）,Zリング入手前に達成した場合は研究所で後日受取。
タイプZクリスタル,イワＺ,rockium-z--held,バッジ5個,ヒスイ採掘場・岩盤試験を達成,1回／紛失時再発行,調査ポイント3（再発行）,Zリング入手前に達成した場合は研究所で後日受取。
タイプZクリスタル,ゴーストＺ,ghostium-z--held,バッジ6個,ダークタワー・夜間試験を達成,1回／紛失時再発行,調査ポイント3（再発行）,Zリング入手前に達成した場合は研究所で後日受取。
タイプZクリスタル,ドラゴンＺ,dragonium-z--held,バッジ8個,ニューアイランド・竜脈試験を達成,1回／紛失時再発行,調査ポイント3（再発行）,Zリング入手前に達成した場合は研究所で後日受取。
タイプZクリスタル,アクＺ,darkinium-z--held,バッジ6個,カラスバ劇場・影の試練を達成,1回／紛失時再発行,調査ポイント3（再発行）,Zリング入手前に達成した場合は研究所で後日受取。
