region,map_code,map_name,order,progress_stage,unlock_requirement,recommended_level_range,biome_tags,encounter_modes,legacy_policy,legacy_species_pool,target_new_species_share,story_overlay_rate,postgame_overlay_rate,evolved_wild_policy,narrative_role,new_family_count,new_common_pool,new_night_pool,new_water_fishing_pool,new_rocksmash_headbutt_pool,new_dexnav_pool,new_outbreak_pool,additional_evolution_pool,rotation_rule,hidden_ability_policy,existing_slot_protection,linked_event_ids,linked_event_titles
カントー,K12,12ばんどうろ,12,認定章4前後,タマムシ認定後,Lv.82～87,河岸／桟橋／湿地,草むら／水上／釣り／夜／DexNav,原作FRの象徴種を35～60%残し、残りを新世代種へ再編,ナゾノクサ／マダツボミ、コンパン、メタモン,新種52%,通常表42～52%,再戦後58～68%,中間進化20%,釣り人街道・湿地系,8,―,―,キバニア、ヘイガニ、プルリル、シズクモ,―,―,―,カモネギ,候補をA/B/Cの3組に分け、入場時またはゲーム内日付で1組だけ通常出現。DexNav・大量発生・固定イベントは別枠。1回の表に載せる新系統は最大6。,カントーはDexNav連鎖10以上で10%、トーホクは殿堂入り後かつ連鎖20以上で5%。,トーホクは既存11/12枠へ直接書き込まない。カントーは原作象徴種の最低35%を保持。,なし,なし
カントー,K13,13ばんどうろ,13,認定章4前後,タマムシ認定後,Lv.83～88,迷路状草地／海風／湿地,草むら／水上／釣り／DexNav,原作FRの象徴種を35～60%残し、残りを新世代種へ再編,ナゾノクサ／マダツボミ、コンパン、メタモン,新種52%,通常表42～52%,再戦後58～68%,中間進化20%,渡り鳥・湿地昆虫,5,ゴクリン,―,ホエルコ、パールル、ケイコウオ、クズモー,―,―,―,―,候補をA/B/Cの3組に分け、入場時またはゲーム内日付で1組だけ通常出現。DexNav・大量発生・固定イベントは別枠。1回の表に載せる新系統は最大6。,カントーはDexNav連鎖10以上で10%、トーホクは殿堂入り後かつ連鎖20以上で5%。,トーホクは既存11/12枠へ直接書き込まない。カントーは原作象徴種の最低35%を保持。,なし,なし
カントー,K14,14ばんどうろ,14,認定章4～5,セキチク方面解禁,Lv.84～89,草原／牧草地／強風,草むら／朝昼／DexNav／大量発生,原作FRの象徴種を35～60%残し、残りを新世代種へ再編,ナゾノクサ／マダツボミ、コンパン、メタモン,新種52%,通常表42～52%,再戦後58～68%,中間進化20%,大型草食種・群れ,7,チラーミィ、キュワワー、ウールー,―,―,―,―,ミミロル、カラミンゴ,キリンリキ,候補をA/B/Cの3組に分け、入場時またはゲーム内日付で1組だけ通常出現。DexNav・大量発生・固定イベントは別枠。1回の表に載せる新系統は最大6。,カントーはDexNav連鎖10以上で10%、トーホクは殿堂入り後かつ連鎖20以上で5%。,トーホクは既存11/12枠へ直接書き込まない。カントーは原作象徴種の最低35%を保持。,なし,なし
カントー,K15,15ばんどうろ,15,認定章4～5,セキチク方面解禁,Lv.85～90,草原／海岸林／湿地縁,草むら／水上／釣り／夜／DexNav,原作FRの象徴種を35～60%残し、残りを新世代種へ再編,ナゾノクサ／マダツボミ、コンパン、メタモン,新種52%,通常表42～52%,再戦後58～68%,中間進化20%,サファリへの生態導線,13,―,―,チョンチー、ハリーセン、テッポウオ、ハスボー、アメタマ、ラブカス、ブイゼル、オタマロ、バスラオ,―,ルリリ,―,―,候補をA/B/Cの3組に分け、入場時またはゲーム内日付で1組だけ通常出現。DexNav・大量発生・固定イベントは別枠。1回の表に載せる新系統は最大6。,カントーはDexNav連鎖10以上で10%、トーホクは殿堂入り後かつ連鎖20以上で5%。,トーホクは既存11/12枠へ直接書き込まない。カントーは原作象徴種の最低35%を保持。,なし,なし
カントー,K16,16ばんどうろ,16,認定章4前後,タマムシ西口解禁,Lv.81～86,都市外縁／高台／草原,草むら／朝昼／夜／DexNav,原作FRの象徴種を35～60%残し、残りを新世代種へ再編,コラッタ、オニスズメ、ドードー,新種50%,通常表40～50%,再戦後55～65%,中間進化15%,サイクリングロード上端,9,エイパム、オドシシ、パッチール、ポワルン、ミネズミ、トリミアン、ヤレユータン,ジグザグマ、オトシドリ,―,―,―,―,―,候補をA/B/Cの3組に分け、入場時またはゲーム内日付で1組だけ通常出現。DexNav・大量発生・固定イベントは別枠。1回の表に載せる新系統は最大6。,カントーはDexNav連鎖10以上で10%、トーホクは殿堂入り後かつ連鎖20以上で5%。,トーホクは既存11/12枠へ直接書き込まない。カントーは原作象徴種の最低35%を保持。,なし,なし
カントー,K17,17ばんどうろ,17,認定章4～5,サイクリングロード解禁,Lv.83～89,高速道路／乾燥草原／強風,草むら／大量発生／DexNav,原作FRの象徴種を35～60%残し、残りを新世代種へ再編,コラッタ、オニスズメ、ドードー,新種55%,通常表45～55%,再戦後60～70%,高速系中間進化25%,高速群れイベント,11,バオップ、ダルマッカ、クイタラン、シシコ、シガロコ,―,―,―,―,アノクサ、ヒラヒナ、モトトカゲ,―,候補をA/B/Cの3組に分け、入場時またはゲーム内日付で1組だけ通常出現。DexNav・大量発生・固定イベントは別枠。1回の表に載せる新系統は最大6。,カントーはDexNav連鎖10以上で10%、トーホクは殿堂入り後かつ連鎖20以上で5%。,トーホクは既存11/12枠へ直接書き込まない。カントーは原作象徴種の最低35%を保持。,K-E10,高速群れを追え
カントー,K18,18ばんどうろ,18,認定章4～5,サイクリングロード解禁,Lv.84～90,草原／街道／セキチク近郊,草むら／朝昼／DexNav／大量発生,原作FRの象徴種を35～60%残し、残りを新世代種へ再編,コラッタ、オニスズメ、ドードー,新種52%,通常表42～52%,再戦後58～68%,中間進化20%,サファリ・牧草地接続,8,ドーブル、ナマケロ、ザングース、タブンネ、ヤングース、ネッコアラ,―,―,―,―,オタチ,―,候補をA/B/Cの3組に分け、入場時またはゲーム内日付で1組だけ通常出現。DexNav・大量発生・固定イベントは別枠。1回の表に載せる新系統は最大6。,カントーはDexNav連鎖10以上で10%、トーホクは殿堂入り後かつ連鎖20以上で5%。,トーホクは既存11/12枠へ直接書き込まない。カントーは原作象徴種の最低35%を保持。,なし,なし
カントー,K19,19ばんどうろ,19,認定章5後,セキチク認定後,Lv.87～92,海上／砂浜／暖流,水上／釣り／DexNav／大量発生,原作FRの象徴種を35～60%残し、残りを新世代種へ再編,メノクラゲ、トサキント、コイキング,新種55%,水上45～55%,再戦後60～70%,水棲中間進化25%,ナミイルカ・海洋群れ,10,―,―,ママンボウ、ウデッポウ、ナマコブシ、サシカマス、ウミディグダ、ナミイルカ、ミガルーサ,―,―,―,―,候補をA/B/Cの3組に分け、入場時またはゲーム内日付で1組だけ通常出現。DexNav・大量発生・固定イベントは別枠。1回の表に載せる新系統は最大6。,カントーはDexNav連鎖10以上で10%、トーホクは殿堂入り後かつ連鎖20以上で5%。,トーホクは既存11/12枠へ直接書き込まない。カントーは原作象徴種の最低35%を保持。,なし,なし
カントー,K20,20ばんどうろ,20,認定章5後,セキチク認定後,Lv.88～93,外洋／氷島周辺／寒流,水上／釣り／DexNav／大量発生,原作FRの象徴種を35～60%残し、残りを新世代種へ再編,メノクラゲ、シェルダー、パウワウ,新種55%,水上45～55%,再戦後60～70%,水棲中間進化25%,ふたごじまの寒流生態,6,デリバード、バチンウニ,―,タマザラシ,―,―,マケンカニ,―,候補をA/B/Cの3組に分け、入場時またはゲーム内日付で1組だけ通常出現。DexNav・大量発生・固定イベントは別枠。1回の表に載せる新系統は最大6。,カントーはDexNav連鎖10以上で10%、トーホクは殿堂入り後かつ連鎖20以上で5%。,トーホクは既存11/12枠へ直接書き込まない。カントーは原作象徴種の最低35%を保持。,なし,なし
カントー,K21,21ばんどうろ,21,認定章6前後,グレン航路解禁,Lv.89～94,海上／火山島沿岸／深海,水上／釣り／夜／DexNav,原作FRの象徴種を35～60%残し、残りを新世代種へ再編,メノクラゲ、モンジャラ、海上原作種,新種55%,水上45～55%,再戦後60～70%,水棲中間進化25%,グレン火山と深海の境界,14,マグマッグ、ドンメル、コータス、オドリドリ、バクガメス,―,サニーゴ、ドジョッチ、ジーランス、カラナクシ、カメテテ、ヘイラッシャ、シャリタツ,―,―,―,―,候補をA/B/Cの3組に分け、入場時またはゲーム内日付で1組だけ通常出現。DexNav・大量発生・固定イベントは別枠。1回の表に載せる新系統は最大6。,カントーはDexNav連鎖10以上で10%、トーホクは殿堂入り後かつ連鎖20以上で5%。,トーホクは既存11/12枠へ直接書き込まない。カントーは原作象徴種の最低35%を保持。,なし,なし
カントー,K22,22ばんどうろ,22,認定章7前後,トキワ西口解禁,Lv.90～95,草原／リーグ前哨／山麓,草むら／朝昼／夜／DexNav,原作FRの象徴種を35～60%残し、残りを新世代種へ再編,コラッタ、マンキー、オニスズメ,新種55%,通常表45～55%,再戦後60～70%,中間進化25%,リーグ候補者が鍛える道,3,ダゲキ、タタッコ,―,―,―,―,―,―,候補をA/B/Cの3組に分け、入場時またはゲーム内日付で1組だけ通常出現。DexNav・大量発生・固定イベントは別枠。1回の表に載せる新系統は最大6。,カントーはDexNav連鎖10以上で10%、トーホクは殿堂入り後かつ連鎖20以上で5%。,トーホクは既存11/12枠へ直接書き込まない。カントーは原作象徴種の最低35%を保持。,なし,なし
カントー,K23,23ばんどうろ,23,認定章8後,8認定章取得,Lv.92～98,高地／水路／石門／リーグ街道,草むら／水上／釣り／いわくだき／DexNav,原作FRの象徴種を35～60%残し、残りを新世代種へ再編,原作終盤の高レベル種,新種55%,通常表45～55%,再戦後60～70%,中間進化＋最終進化2%,認定章ゲートを研究所検問に変更,7,ネイティ、ラルトス、アサナン、コロモリ、シンボラー,―,―,―,タツベイ、モノズ,―,―,候補をA/B/Cの3組に分け、入場時またはゲーム内日付で1組だけ通常出現。DexNav・大量発生・固定イベントは別枠。1回の表に載せる新系統は最大6。,カントーはDexNav連鎖10以上で10%、トーホクは殿堂入り後かつ連鎖20以上で5%。,トーホクは既存11/12枠へ直接書き込まない。カントーは原作象徴種の最低35%を保持。,K-E17,カントーリーグ認定戦
カントー,K24,24ばんどうろ,24,認定章1～2,ニビ認定後,Lv.74～79,橋／河岸／花畑,草むら／水上／釣り／DexNav,原作FRの象徴種を35～60%残し、残りを新世代種へ再編,キャタピー／ビードル、ナゾノクサ／マダツボミ、ケーシィ,新種48%,通常表38～48%,再戦後55～65%,中間進化15%,ハナダ北橋の観察路,10,レディバ、ヤンヤンマ、ケムッソ、スバメ、トロピウス、ユキカブリ、メラルバ、コフキムシ、アマカジ,―,―,―,―,―,―,候補をA/B/Cの3組に分け、入場時またはゲーム内日付で1組だけ通常出現。DexNav・大量発生・固定イベントは別枠。1回の表に載せる新系統は最大6。,カントーはDexNav連鎖10以上で10%、トーホクは殿堂入り後かつ連鎖20以上で5%。,トーホクは既存11/12枠へ直接書き込まない。カントーは原作象徴種の最低35%を保持。,K-E06,ハナダ水路の救助要請
カントー,K25,25ばんどうろ,25,認定章1～2,ニビ認定後,Lv.75～80,岬／海岸／草原,草むら／水上／釣り／夜／DexNav,原作FRの象徴種を35～60%残し、残りを新世代種へ再編,キャタピー／ビードル、ナゾノクサ／マダツボミ、ケーシィ,新種48%,通常表38～48%,再戦後55～65%,中間進化15%,岬研究所と海岸生態,7,ペラップ、マメパト、ツツケラ,―,キャモメ、ウッウ,―,―,―,―,候補をA/B/Cの3組に分け、入場時またはゲーム内日付で1組だけ通常出現。DexNav・大量発生・固定イベントは別枠。1回の表に載せる新系統は最大6。,カントーはDexNav連鎖10以上で10%、トーホクは殿堂入り後かつ連鎖20以上で5%。,トーホクは既存11/12枠へ直接書き込まない。カントーは原作象徴種の最低35%を保持。,K-E06,ハナダ水路の救助要請
カントー,K26,トキワのもり,26,カントー序盤,カントー到着後,Lv.70～76,森林／巨木／花畑／昆虫,草むら／ずつき／朝昼／夜／DexNav／大量発生,原作森の昆虫・ピカチュウを45%保持,キャタピー、ビードル、トランセル、コクーン、ピカチュウ,新種55%,通常表45～55%,再戦後60～70%,中間進化20%,国際むし調査・アマナとの共同調査,11,―,タネボー、スコルピ、ボクレー,―,ヤナップ、マラカッチ、メェークル、サッチムシ、タマンチュラ,―,―,―,候補をA/B/Cの3組に分け、入場時またはゲーム内日付で1組だけ通常出現。DexNav・大量発生・固定イベントは別枠。1回の表に載せる新系統は最大6。,カントーはDexNav連鎖10以上で10%、トーホクは殿堂入り後かつ連鎖20以上で5%。,トーホクは既存11/12枠へ直接書き込まない。カントーは原作象徴種の最低35%を保持。,K-E02,トキワ国際むし調査
カントー,K27,おつきみやま,27,認定章1前後,ニビ調査登録,Lv.73～80,洞窟／月／化石／岩盤,洞窟／いわくだき／DexNav／固定イベント,ズバット、イシツブテ、パラス、ピッピを45%保持,ズバット、イシツブテ、パラス、ピッピ,新種55%,通常表45～55%,再戦後60～70%,中間進化20%,月の隕石層・新化石・メテノ,15,バネブー、ゴチム、リグレー,―,―,ルナトーン、ソルロック、ヤジロン、ドーミラー、メレシー、メテノ、コジオ,―,―,―,候補をA/B/Cの3組に分け、入場時またはゲーム内日付で1組だけ通常出現。DexNav・大量発生・固定イベントは別枠。1回の表に載せる新系統は最大6。,カントーはDexNav連鎖10以上で10%、トーホクは殿堂入り後かつ連鎖20以上で5%。,トーホクは既存11/12枠へ直接書き込まない。カントーは原作象徴種の最低35%を保持。,K-E03／K-E04,博物館の共同展示／月の隕石層
カントー,K28,ディグダのあな,28,認定章2～3,クチバ到着,Lv.76～83,洞窟／地中／砂地／鉱脈,洞窟／いわくだき／DexNav／大量発生,ディグダ、ダグトリオを50%保持,ディグダ、ダグトリオ,新種50%,通常表40～50%,再戦後55～65%,中間進化25%,地中生態・モグリュー・スナヘビ,4,―,―,―,モグリュー、スナヘビ、ミミズズ,―,―,―,候補をA/B/Cの3組に分け、入場時またはゲーム内日付で1組だけ通常出現。DexNav・大量発生・固定イベントは別枠。1回の表に載せる新系統は最大6。,カントーはDexNav連鎖10以上で10%、トーホクは殿堂入り後かつ連鎖20以上で5%。,トーホクは既存11/12枠へ直接書き込まない。カントーは原作象徴種の最低35%を保持。,なし,なし
カントー,K29,サント・アンヌ号,29,認定章2～3,クチバ到着＋乗船登録,Lv.78～84（固定戦）,船／港／甲板／国際交流,固定シンボル／船上大会／交換／釣り,原作NPC配置・船内導線を保持。秘伝入手イベントは置換,野生通常表なし,固定イベントのみ,固定イベントのみ,大会再戦Lv.90～100,野生化しない,国際交流船トーナメント,2,―,―,ハギギシリ,―,―,―,―,候補をA/B/Cの3組に分け、入場時またはゲーム内日付で1組だけ通常出現。DexNav・大量発生・固定イベントは別枠。1回の表に載せる新系統は最大6。,カントーはDexNav連鎖10以上で10%、トーホクは殿堂入り後かつ連鎖20以上で5%。,トーホクは既存11/12枠へ直接書き込まない。カントーは原作象徴種の最低35%を保持。,K-E05,サント・アンヌ国際大会
カントー,K30,イワヤマトンネル,30,認定章2～3,ハナダ北東解禁,Lv.80～87,洞窟／暗所／岩山／鉱物,洞窟／いわくだき／夜／DexNav,イシツブテ、ワンリキー、ズバット、イワークを45%保持,イシツブテ、ワンリキー、ズバット、イワーク,新種55%,通常表45～55%,再戦後60～70%,中間進化25%,鉱物・格闘・暗所適応種,14,―,メグロコ、スナバァ,―,ゴマゾウ、ノズパス、ココドラ、ヒポポタス、ダンゴロ、イワンコ、ガケガニ,ウソハチ,―,ノコッチ,候補をA/B/Cの3組に分け、入場時またはゲーム内日付で1組だけ通常出現。DexNav・大量発生・固定イベントは別枠。1回の表に載せる新系統は最大6。,カントーはDexNav連鎖10以上で10%、トーホクは殿堂入り後かつ連鎖20以上で5%。,トーホクは既存11/12枠へ直接書き込まない。カントーは原作象徴種の最低35%を保持。,なし,なし
カントー,K31,ポケモンタワー,31,認定章3～4,シオン到着,Lv.82～90,塔／霊的／夜／鎮魂,屋内／夜／DexNav／固定イベント,ゴース、カラカラを35%保持,ゴース、カラカラ,新種65%,通常表55～65%,再戦後70～80%,中間進化25%,追悼の灯・霊的異常調査,10,―,ムウマ、ヤミラミ、ユキワラシ、デスマス、ヒトモシ、ヤバチャ、ボチ、チャデス,―,―,―,―,―,候補をA/B/Cの3組に分け、入場時またはゲーム内日付で1組だけ通常出現。DexNav・大量発生・固定イベントは別枠。1回の表に載せる新系統は最大6。,カントーはDexNav連鎖10以上で10%、トーホクは殿堂入り後かつ連鎖20以上で5%。,トーホクは既存11/12枠へ直接書き込まない。カントーは原作象徴種の最低35%を保持。,K-E07,追悼の灯
カントー,K32,ロケットだんアジト跡,32,認定章3～4,タマムシ認定前後,Lv.83～91,地下施設／工業／暗所／放棄区画,屋内／夜／DexNav／固定イベント,原作床ギミックとNPC座標を再利用。ロケット団本筋は削除,野生通常表なし／イベント個体のみ,固定イベント＋異常遭遇,固定イベント＋異常遭遇,再戦後Lv.95,人工系中間進化,密輸個体保護・研究端末回収,8,メリープ、ヤブクロン、ブロロン,スカンプー、チョロネコ、ゾロア、ベロバー,―,―,―,―,―,候補をA/B/Cの3組に分け、入場時またはゲーム内日付で1組だけ通常出現。DexNav・大量発生・固定イベントは別枠。1回の表に載せる新系統は最大6。,カントーはDexNav連鎖10以上で10%、トーホクは殿堂入り後かつ連鎖20以上で5%。,トーホクは既存11/12枠へ直接書き込まない。カントーは原作象徴種の最低35%を保持。,K-E09,旧アジトの保護作戦
カントー,K33,タマムシ温室,33,認定章4前後,タマムシ認定後,Lv.82～90,温室／花畑／果樹／都市,草むら／朝昼／ずつき／DexNav／固定イベント,新規小部屋。デパート屋上またはマンションに接続,―,新種75%,通常表65～75%,再戦後75～85%,中間進化20%,りんご・オリーブ・香草系の栽培研究,23,ブルー、フラベベ、シュシュプ、デデンネ、マホミル,―,―,クヌギダマ、フシデ、モンメン、カブルモ、テッシード、アイアント、ヒメンカ、カジッチュ、ミニーブ,スボミー,―,―,候補をA/B/Cの3組に分け、入場時またはゲーム内日付で1組だけ通常出現。DexNav・大量発生・固定イベントは別枠。1回の表に載せる新系統は最大6。,カントーはDexNav連鎖10以上で10%、トーホクは殿堂入り後かつ連鎖20以上で5%。,トーホクは既存11/12枠へ直接書き込まない。カントーは原作象徴種の最低35%を保持。,K-E08,タマムシ温室の品種改良
