event_id,region,event_title,main_area,unlock_requirement,reused_npc_or_map,trigger,event_steps,boss_or_fixed_encounter,trainer_or_battle_rule,reward_items,wild_ecology_change,flags_and_variables,retry_and_safety,implementation_scale,design_purpose
T-E11,トーホク,止まった時計,ときのようかん・時計塔,バッジ6個＋既存シルフスコープ取得後,既存進行を終えた後だけ開く時計塔小部屋を1つ追加。,大時計を調べる,①針を朝・昼・夜の順に合わせる。②各時間帯で異なる霊ポケモンを観察。③最後にドラメシヤの残留波動を追跡。④時間を正常化。,ドラメシヤ Lv.52固定。ミミッキュは障害物シンボル。,トリックルームが5ターン展開された状態で開始。,れいかいのぬの、ときのかけら,夜のときのようかんでドラメシヤ・チャデス・ミミッキュを解禁。,FLAG_STOPPED_CLOCK、VAR_CLOCK_PHASE,時計はいつでも初期位置へ戻せる。ドラメシヤ捕獲前は再戦可能。,中,時刻変更機能を物語内に組み込み、RTC依存を救済する。
T-E12,トーホク,廃棄プロトタイプ,D・Hビル～D・Hだんアジト,D・H本編区間終了後,既存端末へ後日談メニュー、空き牢へ救出シンボルを追加。,研究端末の未送信ログを読む,①ブロロン・カヌチャン・ゴビットの収容場所を特定。②残党トレーナー3人を倒す。③暴走ジュラルドンを鎮静。④保護個体を研究所へ送る。,ジュラルドン Lv.58固定。捕獲可能。,相手は人工・無機物中心。戦闘後に端末を破壊するか保存するか選択。,ふくごうきんぞく、あやしいパッチ、メタルくず,D・H施設でブロロン・カヌチャン・ゴビット・ギアル・コマタナを解禁。,FLAG_DH_PROTOTYPES、VAR_DH_TERMINAL_CHOICE,選択は台詞と報酬量だけ変更し、種族入手には影響させない。,中,D・H団の既存設定を利用して人工種を違和感なく追加する。
T-E13,トーホク,ヒーローの入り江,523ばんすいどう・小入り江,殿堂入り＋T-E04完了＋ナミイルカを手持ち,523番水道の岩陰へ1画面小区画を追加。,ナミイルカを先頭にして入り江へ入る,①高波から研究員を救うダブルバトル。②ナミイルカがヒーロー行動を記録。③ヒーローのあかし完成。④レベルアップでイルカマンへ進化可能。,野生ヘイラッシャ Lv.68＋シャリタツ Lv.66。,ナミイルカを必ず選出するダブルバトル。瀕死でも進行可。,ヒーローのあかし、クイックターン技教え,523番水道でヘイラッシャ・シャリタツ・ナミイルカの大量発生を解禁。,FLAG_HERO_COVE、VAR_FINIZEN_HERO_WINS,敗北時は研究員が救助して入口へ戻す。あかしは一度だけだが進化判定は全個体へ適用。,中,通信・マルチプレイを要求せず、イルカマンの主題を残す。
T-E14,トーホク,流星群の夜,ニューアイランド・天文台,バッジ8個＋夜、または天文チケット,既存島に天文台屋上ワープと研究員2人を追加。,ほしのかけらを3個納品,①望遠鏡の向きを合わせる。②メテノの落下地点3つを巡る。③最後の隕石からコスモッグの反応を検出。④殿堂入り後の星イベントを予約。,メテノ Lv.58固定。捕獲可能。コスモッグはこの時点では観察のみ。,重力状態で開始。メテノは色をランダム化。,ほしのかけら、コスモッグ研究記録,ニューアイランド夜間DexNavへメテノ追加。後日ジラーチ・コスモッグイベントを解禁。,FLAG_METEOR_NIGHT、VAR_MINIOR_COLOR,天候・夜待ちを天文チケットで省略。固定メテノは捕獲まで復活。,中,宇宙系ポケモンと最終ポストゲームの伏線を作る。
T-E15,トーホク,時空裂け目調査,スフィアいせき・裂け目区画,殿堂入り＋スフィアいせき本編後,既存遺跡から共通裂け目マップへワープを追加。,D・H時空観測端末を起動,①過去・未来・ウルトラの3周波数を校正。②各区画で通常個体を3体スキャン。③ボス個体を鎮静。④対応チケットを獲得。,初回はアラブルタケ／テツノワダチ／ウツロイドから1体を選択。全て後に再挑戦可。,テラスタル・ダイマックス・Zワザのうち1戦1種類のみ使用可能。,過去チケット、未来チケット、ウルトラチケット,通常野生表には入れず、裂け目ごとの固定シンボルローテーションを解禁。,FLAG_RIFT_SURVEY、VAR_RIFT_FREQUENCY、VAR_RIFT_ROTATION,選択排他なし。撃破個体は研究所で即時復活申請可。PC満杯時はゲート起動不可。,大,UB・パラドックスを通常草むらから隔離し、管理可能な共通イベントへ集約する。
T-E16,トーホク,全国生態保護区の開園,サファリゾーン増設4区画,殿堂入り＋外来種100種捕獲,既存サファリ受付へ地下鉄／ワープ端末を追加。森林・湿地・高地・遺構の4小区画。,受付で研究ランク2認定,①各区画の環境装置を起動。②代表種を1体ずつ観察。③逃走した個体を保護。④生態チケットの使い方を説明。,代表種はカジッチュ、シズクモ、セビエ、コレクレー。初回のみ固定シンボル。,サファリ形式だが初回代表種は通常捕獲戦。以後ローテーション。,生態チケット×5、つかまえるおまもり段階1,取り逃した通常系統を日替わりで10～20%。チケットで任意のバイオームをゲーム内1日固定。,FLAG_NATIONAL_PRESERVE_OPEN、VAR_PRESERVE_BIOME、VAR_PRESERVE_ROTATION,全区画は反復可能。ローテーションはRTCなしでも受付選択で固定。,大,全種入手の救済地点を用意しつつ、通常マップの固有性を保つ。
K-E01,カントー,二地方共同調査の出航,クチバ港・連絡船ターミナル,ベガ初回殿堂入り＋全国図鑑受取,ベガ側港NPC、原作クチバ港・船乗りNPC座標を再利用。,ヒイラギ研究所から招待状を受け取る,①ヒイラギ博士からカントー生態調査を依頼。②船内でオーキド博士・グリーンと会話。③海上チュートリアル戦。④クチバ到着後、カントー調査パスを受領。,船上でカイデン Lv.70＋ウッウ Lv.72のダブルバトル。,主人公の最高Lvではなく、殿堂入りフラグ基準の固定レベル。,カントー調査パス、カントー図鑑タブ、連絡船フリーパス,カントー全域の新編成野生表を有効化。トーホクと自由往復可能。,FLAG_KANTO_OPEN、VAR_KANTO_CERT_COUNT=0,移動イベント中のセーブ禁止区間を作らず、船内PCと帰還NPCを配置。,中,クリア後カントー編をベガ本編と完全分離して開始する。
K-E02,カントー,トキワ国際むし調査,トキワのもり,カントー到着後,原作虫取り少年の配置を保ち、うち2人へ調査会話を追加。アマナをゲストNPCとして配置。,森入口の受付へ話しかける,①指定された虫3種をスキャン。②糸で塞がれた道を除去。③サッチムシ・タマンチュラの群れを観察。④アマナとのダブルバトル。,イオルブ Lv.76＋ワナイダー Lv.74。捕獲不可の調査戦。,ダブルバトル。森の地形効果としてグラスフィールド。,ネットボール×5、むしZまたはテラピースむし、調査ポイント,トキワのもりでサッチムシ・タマンチュラ・ヤナップ・メェークル等のローテーション解禁。,FLAG_VIRIDIAN_BUG_CENSUS、VAR_BUG_SCAN_COUNT,対象種はスキャンだけでも達成。捕獲強制なし。,中,原作NPC配置を生かし、トーホクのジムリーダーも後日談へ参加させる。
K-E03,カントー,博物館の共同展示,ニビ博物館・化石研究室,ニビ到着,原作博物館1F/2Fの展示と職員配置を再利用。,受付でトーホクの化石記録を見せる,①展示品3つを比較。②月石片を鑑定。③復元装置の不足部品をおつきみやまで回収。④以後、二地方の化石を相互復元。,初回はアマルスまたはチゴラスのタマゴを選択。,戦闘なし。選択は後で反復可能。,月石片、化石復元チケット,おつきみやまの化石・鉱物ローテーションを解禁。,FLAG_PEWTER_EXHIBIT、VAR_FOSSIL_CATALOG,選択排他なし。図鑑登録済みでもイベント進行可能。,小,原作博物館を新化石の恒久的な入手拠点にする。
K-E04,カントー,月の隕石層,おつきみやまB2F,ニビ認定章取得,原作化石選択地点を隕石調査地点へ変更。NPC位置と分岐通路を再利用。,月石片を持って最深部へ入る,①ルナトーン・ソルロックの反応を測定。②7つの石を正しい明るさ順に並べる。③メテノが出現。④コジオの塩脈を安定化。,メテノ Lv.80固定。色はランダム。,重力状態＋すなあらし。捕獲可能。,つきのいし×2、ほしのかけら、メテノの色変更端末,おつきみやまでメレシー・コジオ・ドーミラー・メテノを解禁。,FLAG_MOON_METEOR_LAYER、VAR_MOON_STONE_ORDER,石並べは何度でも初期化。メテノは捕獲まで復活。,中,原作化石地点を残しながら、新しい天体・鉱物生態へ更新する。
K-E05,カントー,サント・アンヌ国際大会,サント・アンヌ号,クチバ到着＋カントー調査パス,原作船内マップ、客室NPC、甲板、船長室を原則再利用。船長の秘伝授与は削除。,受付で大会へ登録,①客室の選手3人と予選。②甲板ダブルバトル。③船長室で決勝。④初回優勝後、船は常設大会施設になる。,決勝はグリーン：Lv.82～84の6体。認定章数に応じて再戦強化。,予選はシングル、準決勝はダブル、決勝はシングル。道具使用3回まで。,つながりのヒモ、BP20、船内ショップ解禁,野生表変更なし。船内交換NPCから地域フォームを日替わり入手。,FLAG_SS_ANNE_TOURNAMENT、VAR_SS_ANNE_WINS,一度出航して消える仕様を廃止。敗北しても即再挑戦可。,大,原作船を使い捨てイベントではなく、長期対戦・交換施設として残す。
K-E06,カントー,ハナダ水路の救助要請,24～25ばんどうろ・岬,ニビ認定章取得,原作橋トレーナーと岬研究所を再利用。ロケット団勧誘は調査員試験へ変更。,岬研究所の無線を調べる,①川へ流された調査端末を回収。②シズクモ・カムカメの群れを避ける。③暴走カマスジョーを止める。④ナミイルカの救助記録を同期。,カマスジョー Lv.81固定。捕獲可能。,雨状態。水タイプ技威力上昇。,きれいなウロコ、ルアーボール×3,24・25番道路でカムカメ・シズクモ・ウデッポウ・クズモーを解禁。,FLAG_CERULEAN_WATER_RESCUE、VAR_TERMINAL_RECOVERY,端末を落としても再配置。固定戦は捕獲まで復活。,中,トーホクの沿岸イベントとデータを連動させる。
K-E07,カントー,追悼の灯,ポケモンタワー3F～7F,認定章3個またはシオン到着,原作祈祷師NPCと階層を保持。フジ老人救出・シルフスコープ必須処理は置換。,1F受付でスペクトルレンズを借りる,①各階の灯を点ける。②ヤバチャ・ヒトモシ・ボチの残留思念を鎮める。③6Fでミミッキュのぬいぐるみを返す。④7Fで鎮魂戦。,ミミッキュ Lv.88固定。捕獲可能。,のろい状態から開始するが、逃走・捕獲は可能。,スペクトルレンズ、れいかいのぬの、ゴーストZ,ポケモンタワー夜間でヤバチャ・ヒトモシ・ボチ・チャデスを解禁。,FLAG_MEMORIAL_LIGHTS、VAR_TOWER_LIGHTS,灯は階ごとに保存。敗北時も点灯状況を維持。固定個体復活。,大,原作の鎮魂テーマを保ち、救出劇を再演せず新種へ置換する。
K-E08,カントー,タマムシ温室の品種改良,タマムシ温室,タマムシ認定章取得,デパート屋上またはマンションから新規1画面温室へ接続。,園芸主任へりんご・香草を渡す,①ミニーブ・カジッチュ・ヒメンカを観察。②肥料配合ミニゲーム。③暴れたオリーヴァを落ち着かせる。④進化素材の栽培を解禁。,オリーヴァ Lv.88固定。捕獲不可、終了後ミニーブのタマゴを受取。,グラスフィールド。相手は回復技中心。,すっぱいりんご、あまーいりんご、みついりりんご、各種アメざい購入解禁,温室でカジッチュ・ミニーブ・ヒメンカ・マホミル等をローテーション。,FLAG_CELADON_GREENHOUSE、VAR_GREENHOUSE_RECIPE,配合失敗でも素材は半分返却。進化素材は以後購入可能。,中,進化道具の供給を都市施設へ集約し、反復可能にする。
K-E09,カントー,旧アジトの保護作戦,ロケットだんアジト跡,タマムシ認定章取得,原作回転床・エレベータ・地下階層を再利用。ロケット団の本筋は存在しない。,温室で拾った発信機を解析,①密輸業者が残した檻を発見。②回転床を使って3区画を解放。③ブロロン・ヤブクロン・ベロバーを救出。④責任者と戦闘。,責任者：ブロロローム Lv.90、オーロンゲ Lv.89等。救出個体は戦闘後に選択入手。,相手はどくびし・すてゼリフ等を使用。ボス戦のみダブル。,ノロイノヨロイ、かしらのしるし、ダークボール×5,アジト跡の異常遭遇でブロロン・ヤブクロン・ベロバーを解禁。,FLAG_HIDEOUT_RESCUE、VAR_CAGE_RELEASED,救出個体の選択排他なし。残りは研究依頼で入手。,大,原作ダンジョン構造を活用しつつ、ロケット団再結成を不要にする。
K-E10,カントー,高速群れを追え,17ばんどうろ,認定章4個＋自転車,原作サイクリングロードの坂・暴走族NPC配置を再利用。,入口で交通調査へ参加,①モトトカゲ・シガロコ・アノクサの群れを追跡。②チェックポイント3箇所を時間内通過。③落下物を回収。④最下部でカラミンゴ群れとのダブル戦。,カラミンゴ Lv.89×2。1体のみ捕獲可能。,自転車ミニゲーム＋ダブルバトル。失敗しても再試行。,さかさまのしるし、こうかくレンズ,17番道路でモトトカゲ・シガロコ・アノクサ・ヒラヒナの大量発生を解禁。,FLAG_CYCLING_HERD、VAR_CYCLING_CHECKPOINT,時間切れで入口へ戻るだけ。捕獲個体撃破時復活。,中,長い直線マップを新種の移動特性に合わせて再利用する。
K-E11,カントー,国際保全サファリ,サファリゾーン4区画,セキチク到着,原作4区画・休憩所・秘密の家・アイテム位置を保持。,受付で国際保全コースを選ぶ,①森林・湿地・高地・草原の1コースを選択。②指定3種をスキャン。③落とし物を回収。④秘密の家で認定。,コース代表種：カジッチュ／ナミイルカ／ゾウドウ／ワッカネズミ。通常捕獲可能。,サファリボール制。歩数制限は緩和し、調査中は1500歩。,サファリ調査記録、各種ボール、進化道具交換所,各区画で新世代種50～60%。日替わりローテーション＋チケット固定。,FLAG_KANTO_SAFARI_OPEN、VAR_KANTO_SAFARI_COURSE,指定種はスキャンでも達成。ボール切れ時は受付から無料再挑戦。,大,大量の通常系統を自然に収容し、取り逃し救済にする。
K-E12,カントー,氷海の育児場,ふたごじまB3F～B4F,セキチク認定章取得,原作岩押し・水流ギミックを保持し、奥に巣穴3個を追加。,異常な鳴き声を聞く,①水流を弱める。②ユキハミの巣を保温。③アルクジラを親元へ戻す。④セビエのタマゴを発見。,モスノウ Lv.94固定。捕獲可能。セビエはタマゴ。,あられではなく雪状態。炎技の命中低下は設けない。,セビエのタマゴ、こおりのいし、つめたい岩,ふたごじまでユキハミ・アルクジラ・コオリッポ・フリージオを解禁。,FLAG_SEAFOAM_NURSERY、VAR_ICEFLOW_STATE,岩位置はイベント開始時に初期化可能。固定個体復活。,大,原作氷ダンジョンの仕掛けを壊さず、新しい目的を追加する。
K-E13,カントー,遺伝子アーカイブ,ポケモンやしき～グレン研究所,認定章6個＋グレン到着,原作日記・像スイッチ・秘密の鍵位置を再利用。,研究所でアーカイブキーを受取,①屋敷の日記4冊を読む。②カルボウ・ヤトウモリ・キラーメのサンプルを採取。③地下端末で遺伝子資料を復元。④暴走メタモンを鎮静。,メタモン Lv.96（へんしん先は主人公最高Lv個体）。捕獲可能。,戦闘開始時に主人公先頭へ変身。ボス補正なし。,研究所アクセスキー、イワイノヨロイ、特性パッチ,ポケモンやしきでカルボウ・ヤトウモリ・ヤクデ・カプサイジ・キラーメを解禁。,FLAG_GENETIC_ARCHIVE、VAR_MANSION_DIARIES,日記既読を個別保存。メタモン撃破時復活。鍵を捨てられない重要アイテムにする。,大,原作屋敷の研究史を尊重しつつ、新世代の遺伝・進化研究へ展開する。
K-E14,カントー,カントー大停電,むじんはつでんしょ,10番道路到達＋T-E08完了で会話追加,原作発電所マップ・アイテムボール位置を保持。偽アイテム戦を新無機物種へ拡張。,クチバとヤマブキの停電ニュースを見る,①発電所の遮断器4つを復旧。②ギアル・シビシラス・バチュルの群れを除去。③ロトムの形態を切り替えて送電。④最深部で異常電磁波ボス。,ジバコイル Lv.92＋ストリンダー Lv.92のダブル戦。クリア後ロトム交換個体。,エレキフィールド＋じゅうでん状態。1戦1ギミック。,アップグレード、あやしいパッチ、ロトム用家電端末,発電所でバチュル・シビシラス・ギアル・ズピカ・エレズンを解禁。,FLAG_KANTO_BLACKOUT、VAR_BREAKER_STATE,遮断器は端末から全初期化可能。戦闘敗北時も復旧数を保持。,大,トーホク停電イベントを前提に、二地方をまたぐ技術問題へ発展させる。
K-E15,カントー,デジタル汚染,シルフカンパニー2F～11F,ヤマブキ認定章挑戦前後＋K-E14完了,原作ワープ床・カードキー扉・階層NPC位置を再利用。占拠事件は削除。,受付端末がエラーを起こす,①各階の汚染端末を3つ停止。②ポリゴン系のコピーを追う。③タイプ：ヌルの収容室を解放。④11Fでコレクレーが集めたデータを回収。,ポリゴンZ Lv.95＋ジュラルドン Lv.95。終了後タイプ：ヌル Lv.80を受取。,サイコフィールド。ボスはダブル、道具使用2回まで。,タイプ：ヌル、あやしいパッチ、シルフ認証カード,シルフ社異常遭遇でゴビット・クレッフィ・カヌチャン・コレクレー等を解禁。,FLAG_DIGITAL_CONTAMINATION、VAR_SILPH_TERMINALS,タイプ：ヌルはPC満杯時に受取延期。ワープ床進行をいつでもリセット可能。,大,原作最大級の建物を、新世代人工種とデジタルイベントの中心にする。
K-E16,カントー,頂上の巣,チャンピオンロード3F・山頂小区画,カントー認定章8個,原作洞窟最上階から山頂小区画へワープ追加。,ドラゴンの抜け殻を調べる,①ジャラコ・セビエ・フカマルの足跡を分類。②岩を押して風道を開く。③タイレーツの隊列戦。④巣を守る600族中間個体を倒す。,セゴール Lv.98＋ジャランゴ Lv.98。捕獲不可。終了後基礎種を選択捕獲。,ダブルバトル。天候はランダムな雪／砂嵐／強風。,ドラゴンエール技教え、りゅうのウロコ、選択した基礎種,チャンピオンロードDexNavへヨーギラス・フカマル・ジャラコ・セビエを1～2%で追加。,FLAG_SUMMIT_NEST、VAR_NEST_SPECIES,選択しなかった基礎種もDexNavで入手可。天候は敗北時に解除。,大,リーグ直前の高難度探索と600族入手を一体化する。
K-E17,カントー,カントーリーグ認定戦,セキエイ高原・四天王区画,認定章8個＋頂上の巣完了,原作四天王部屋・殿堂入り部屋を再利用。ベガ殿堂入り記録とは別の認定記録。,受付で認定戦へ登録,①四天王4連戦。②グリーンとの認定王者戦。③カントー認定殿堂へ登録。④以後、強化再戦とハナダのどうくつ解禁。,四天王Lv.94～99、グリーンLv.98～100。新世代種を各2～4体採用。,戦闘間の自動全回復なし。部屋間でセーブ可。使用ギミックは全連戦で1種類のみ。,カントー認定王者証、マスターボール1個、BP50,ハナダのどうくつ・高難度ローテーション・ジム再戦を解禁。,FLAG_KANTO_LEAGUE_CLEAR、VAR_KANTO_HOF_COUNT,ベガの殿堂入り回数と別保存。敗北時はセキエイ受付へ戻す。,大,ベガ本編のチャンピオン地位を上書きせず、独立したクリア目標を作る。
K-E18,カントー,二地方共鳴,ハナダのどうくつ最深部,カントーリーグ制覇＋スフィアいせき後,原作最深部シンボル位置を保持。手前に共鳴端末3台を追加。,トーホク・カントー双方の調査記録を端末へ同期,①3端末へ森林・海洋・時空データを登録。②洞窟の新種ローテーションを突破。③ミュウツーと共鳴戦。④捕獲後、ミュウ研究イベントへ分岐。,ミュウツー Lv.100固定。ベガ側ですでに同一個体を入手済みなら、捕獲不可の共鳴体となり報酬を変更。,テラスタル／メガのいずれか1種類。ボスは能力低下を1度だけ解除。,ミュウツナイトX・Y、ゆめのかけら、全国生態ランク上限解放,ハナダのどうくつでダンバル・ヌメラ・ドラメシヤ等の高レベルDexNavを解禁。,FLAG_DUAL_REGION_RESONANCE、VAR_MEWTWO_OWNERSHIP,重複捕獲防止。撃破時復活。既所持なら代替報酬と専用リボン。,大,二地方編の最終目標と、既存伝説イベントとの重複問題を同時に解決する。
