region,map_code,map_name,progress_stage,recommended_level_range,evolution_chain_id,root_national_no,root_name,family,types,category,integration_mode,encounter_method,encounter_level,encounter_rate,condition,stage_policy,dual_region_role,rotation_group,hidden_ability_policy,duplicate_capture_policy,implementation_note
カントー,K01,1ばんどうろ,カントー序盤,Lv.68～72,6,16,ポッポ,ポッポ → ピジョン → ピジョット,ノーマル／ひこう,通常生態,外来生態レイヤーへ追加,大量発生,Lv.68～72,通常0%／発生中20～35%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,基礎種を通常配置。中間進化は高レベル地域のDexNav限定、最終進化は原則進化入手,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,R1,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
トーホク,T506,506ばんどうろ／すいどう,序盤B,Lv.12～17,6,16,ポッポ,ポッポ → ピジョン → ピジョット,ノーマル／ひこう,通常生態,外来生態レイヤーへ追加,大量発生,Lv.12～17,通常0%／発生中20～35%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,基礎種を通常配置。中間進化は高レベル地域のDexNav限定、最終進化は原則進化入手,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,R1,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,ベガ既存の野生枠を上書きせず、条件付きオーバーレイ／DexNav／夜間・水上・釣り・大量発生の追加抽選へ登録。
カントー,K01,1ばんどうろ,カントー序盤,Lv.68～72,7,19,コラッタ,コラッタ → ラッタ,ノーマル,通常生態,外来生態レイヤーへ追加,草むらオーバーレイ,Lv.68～72,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,基礎種を通常配置。中間進化は高レベル地域のDexNav限定、最終進化は原則進化入手,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,R4,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
トーホク,T506,506ばんどうろ／すいどう,序盤B,Lv.12～17,7,19,コラッタ,コラッタ → ラッタ,ノーマル,通常生態,外来生態レイヤーへ追加,草むらオーバーレイ,Lv.12～17,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,基礎種を通常配置。中間進化は高レベル地域のDexNav限定、最終進化は原則進化入手,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,R4,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,ベガ既存の野生枠を上書きせず、条件付きオーバーレイ／DexNav／夜間・水上・釣り・大量発生の追加抽選へ登録。
カントー,K03,3ばんどうろ,認定章1前後,Lv.71～75,8,21,オニスズメ,オニスズメ → オニドリル,ノーマル／ひこう,通常生態,外来生態レイヤーへ追加,草むらオーバーレイ,Lv.71～75,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,基礎種を通常配置。中間進化は高レベル地域のDexNav限定、最終進化は原則進化入手,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,R2,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
トーホク,T502,502ばんどうろ／すいどう,序盤A,Lv.3～6,8,21,オニスズメ,オニスズメ → オニドリル,ノーマル／ひこう,通常生態,外来生態レイヤーへ追加,ずつき／朝昼オーバーレイ,Lv.3～6,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,基礎種を通常配置。中間進化は高レベル地域のDexNav限定、最終進化は原則進化入手,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,R2,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,ベガ既存の野生枠を上書きせず、条件付きオーバーレイ／DexNav／夜間・水上・釣り・大量発生の追加抽選へ登録。
カントー,K11,11ばんどうろ,認定章2～3,Lv.76～82,9,23,アーボ,アーボ → アーボック,どく,通常生態,ベガ既存系統を完全保持,草むらオーバーレイ,Lv.76～82,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,既存個体を保護。追加地域では基礎種または中間進化を希少配置,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,R4,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
トーホク,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存条件,既存値,9,23,アーボ,アーボ → アーボック,どく,通常生態,ベガ既存系統を完全保持,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存個体を保護。追加地域では基礎種または中間進化を希少配置,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,固定／既存,既存個体を変更しない。カントー側DexNavまたは特性パッチで隠れ特性を補完。,通常種は両地方で捕獲可能。,ベガ既存テーブル・固定イベント・配布・進化参照を変更しない。
カントー,K04,4ばんどうろ,認定章1前後,Lv.72～77,11,27,サンド,サンド → サンドパン,じめん,通常生態,ベガ既存系統を完全保持,草むらオーバーレイ,Lv.72～77,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,既存個体を保護。追加地域では基礎種または中間進化を希少配置,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,R4,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
トーホク,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存条件,既存値,11,27,サンド,サンド → サンドパン,じめん,通常生態,ベガ既存系統を完全保持,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存個体を保護。追加地域では基礎種または中間進化を希少配置,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,固定／既存,既存個体を変更しない。カントー側DexNavまたは特性パッチで隠れ特性を補完。,通常種は両地方で捕獲可能。,ベガ既存テーブル・固定イベント・配布・進化参照を変更しない。
カントー,K03,3ばんどうろ,認定章1前後,Lv.71～75,12,29,ニドラン♀,ニドラン♀ → ニドリーナ → ニドクイン,どく／じめん,通常生態,ベガ既存系統を完全保持,草むらオーバーレイ,Lv.71～75,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,既存個体を保護。追加地域では基礎種または中間進化を希少配置,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,R2,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
トーホク,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存条件,既存値,12,29,ニドラン♀,ニドラン♀ → ニドリーナ → ニドクイン,どく／じめん,通常生態,ベガ既存系統を完全保持,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存個体を保護。追加地域では基礎種または中間進化を希少配置,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,固定／既存,既存個体を変更しない。カントー側DexNavまたは特性パッチで隠れ特性を補完。,通常種は両地方で捕獲可能。,ベガ既存テーブル・固定イベント・配布・進化参照を変更しない。
カントー,K03,3ばんどうろ,認定章1前後,Lv.71～75,13,32,ニドラン♂,ニドラン♂ → ニドリーノ → ニドキング,どく／じめん,通常生態,ベガ既存系統を完全保持,大量発生,Lv.71～75,通常0%／発生中20～35%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,既存個体を保護。追加地域では基礎種または中間進化を希少配置,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,R1,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
トーホク,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存条件,既存値,13,32,ニドラン♂,ニドラン♂ → ニドリーノ → ニドキング,どく／じめん,通常生態,ベガ既存系統を完全保持,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存個体を保護。追加地域では基礎種または中間進化を希少配置,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,固定／既存,既存個体を変更しない。カントー側DexNavまたは特性パッチで隠れ特性を補完。,通常種は両地方で捕獲可能。,ベガ既存テーブル・固定イベント・配布・進化参照を変更しない。
カントー,K07,7ばんどうろ,認定章3前後,Lv.78～83,15,37,ロコン,ロコン → キュウコン,ほのお,通常生態,外来生態レイヤーへ追加,草むらオーバーレイ,Lv.78～83,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,基礎種を通常配置。中間進化は高レベル地域のDexNav限定、最終進化は原則進化入手,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,R2,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
トーホク,T521,521ばんどうろ／すいどう,後半B,Lv.45～52,15,37,ロコン,ロコン → キュウコン,ほのお,通常生態,外来生態レイヤーへ追加,草むらオーバーレイ,Lv.45～52,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,基礎種を通常配置。中間進化は高レベル地域のDexNav限定、最終進化は原則進化入手,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,R2,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,ベガ既存の野生枠を上書きせず、条件付きオーバーレイ／DexNav／夜間・水上・釣り・大量発生の追加抽選へ登録。
カントー,K27,おつきみやま,認定章1前後,Lv.73～80,17,41,ズバット,ズバット → ゴルバット → クロバット,ひこう／どく,通常生態,外来生態レイヤーへ追加,洞窟・屋内オーバーレイ,Lv.73～80,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,基礎種を通常配置。中間進化は高レベル地域のDexNav限定、最終進化は原則進化入手,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,R2,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
トーホク,T505,505ばんどうろ／すいどう,序盤B,Lv.10～14,17,41,ズバット,ズバット → ゴルバット → クロバット,ひこう／どく,通常生態,外来生態レイヤーへ追加,大量発生,Lv.10～14,通常0%／発生中20～35%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,基礎種を通常配置。中間進化は高レベル地域のDexNav限定、最終進化は原則進化入手,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,R2,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,ベガ既存の野生枠を上書きせず、条件付きオーバーレイ／DexNav／夜間・水上・釣り・大量発生の追加抽選へ登録。
カントー,K05,5ばんどうろ,認定章2前後,Lv.74～79,18,43,ナゾノクサ,ナゾノクサ → クサイハナ → ラフレシア → キレイハナ,どく／くさ,通常生態,外来生態レイヤーへ追加,草むらオーバーレイ,Lv.74～79,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,基礎種を通常配置。中間進化は高レベル地域のDexNav限定、最終進化は原則進化入手,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,R4,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
トーホク,T504,504ばんどうろ／すいどう,序盤B,Lv.9～13,18,43,ナゾノクサ,ナゾノクサ → クサイハナ → ラフレシア → キレイハナ,どく／くさ,通常生態,外来生態レイヤーへ追加,草むらオーバーレイ,Lv.9～13,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,基礎種を通常配置。中間進化は高レベル地域のDexNav限定、最終進化は原則進化入手,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,R4,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,ベガ既存の野生枠を上書きせず、条件付きオーバーレイ／DexNav／夜間・水上・釣り・大量発生の追加抽選へ登録。
カントー,K27,おつきみやま,認定章1前後,Lv.73～80,19,46,パラス,パラス → パラセクト,むし／くさ,通常生態,外来生態レイヤーへ追加,洞窟・屋内オーバーレイ,Lv.73～80,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,基礎種を通常配置。中間進化は高レベル地域のDexNav限定、最終進化は原則進化入手,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,R3,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
トーホク,T036,サファリゾーン東,後半B,Lv.38～48／殿堂入り後Lv.55～70,19,46,パラス,パラス → パラセクト,むし／くさ,通常生態,外来生態レイヤーへ追加,ずつき／朝昼オーバーレイ,Lv.38～48／殿堂入り後Lv.55～70,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,基礎種を通常配置。中間進化は高レベル地域のDexNav限定、最終進化は原則進化入手,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,R3,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,ベガ既存の野生枠を上書きせず、条件付きオーバーレイ／DexNav／夜間・水上・釣り・大量発生の追加抽選へ登録。
カントー,K14,14ばんどうろ,認定章4～5,Lv.84～89,20,48,コンパン,コンパン → モルフォン,どく／むし,通常生態,外来生態レイヤーへ追加,大量発生,Lv.84～89,通常0%／発生中20～35%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,基礎種を通常配置。中間進化は高レベル地域のDexNav限定、最終進化は原則進化入手,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,R1,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
トーホク,T504,504ばんどうろ／すいどう,序盤B,Lv.9～13,20,48,コンパン,コンパン → モルフォン,どく／むし,通常生態,外来生態レイヤーへ追加,大量発生,Lv.9～13,通常0%／発生中20～35%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,基礎種を通常配置。中間進化は高レベル地域のDexNav限定、最終進化は原則進化入手,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,R1,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,ベガ既存の野生枠を上書きせず、条件付きオーバーレイ／DexNav／夜間・水上・釣り・大量発生の追加抽選へ登録。
カントー,K28,ディグダのあな,認定章2～3,Lv.76～83,21,50,ディグダ,ディグダ → ダグトリオ,じめん,通常生態,ベガ既存系統を完全保持,いわくだき／DexNav,Lv.76～83,通常0%／DexNav 2～5%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,既存個体を保護。追加地域では基礎種または中間進化を希少配置,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,R3,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
トーホク,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存条件,既存値,21,50,ディグダ,ディグダ → ダグトリオ,じめん,通常生態,ベガ既存系統を完全保持,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存個体を保護。追加地域では基礎種または中間進化を希少配置,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,固定／既存,既存個体を変更しない。カントー側DexNavまたは特性パッチで隠れ特性を補完。,通常種は両地方で捕獲可能。,ベガ既存テーブル・固定イベント・配布・進化参照を変更しない。
カントー,K05,5ばんどうろ,認定章2前後,Lv.74～79,22,52,ニャース,ニャース → ペルシアン → ニャイキング,ノーマル／はがね,通常生態,外来生態レイヤーへ追加,草むらオーバーレイ,Lv.74～79,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,基礎種を通常配置。中間進化は高レベル地域のDexNav限定、最終進化は原則進化入手,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,R1,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
