encounter_key,reference_index,trainer_id,source_trainer_id,group_id,map_id,root_kind,root_index,local_id,x,y,story_phase,script_instruction_address,trainerbattle_kind,battle_format,party_key,party_size,party_abi,ai_profile_key,initial_or_rematch,defeat_flag_owner_trainer_id,runtime_id_resolution,format_contract,adoption_reason,exact_rom_evidence
ENC_TOHOKU_REF_0442,442,328,328,4,3,coord,3,,5,8,TOHOKU_PROLOGUE_PRE_GYM1,0x0817CA3F,9,SINGLE,PARTY_TOHOKU_REF_0442,1,ITEM_CUSTOM_MOVES_16_BYTES_PLUS_SIDECAR_V1,AI_BASIC,INITIAL,328,DIRECT_SCRIPT_ID,KIND_9_SINGLE,開始座標分岐のtrainer328は炎御三家単騎を割り当て、三つのscript分岐を共有templateではなく別recordとして保持する。,stage31 bytes audited at 0x0817CA3F; kind=9; source_id=328
ENC_TOHOKU_REF_1004,1004,702,702,3,20,object,0,1,34,17,TOHOKU_PROLOGUE_PRE_GYM1,0x081AAB20,7,DOUBLE,PARTY_TOHOKU_REF_1004,4,ITEM_CUSTOM_MOVES_16_BYTES_PLUS_SIDECAR_V1,AI_SEMI_SMART,REMATCH,702,DIRECT_SCRIPT_ID,KIND_7_DOUBLE,"map 3/20 (34,17)のhardcoded再戦doubleへ4体を与え、両side二枠が成立する再戦専用編成として採用。",stage31 bytes audited at 0x081AAB20; kind=7; source_id=702
ENC_TOHOKU_REF_1005,1005,1342,702,3,20,object,0,1,34,17,TOHOKU_PROLOGUE_PRE_GYM1,0x08E032C0,4,DOUBLE,PARTY_TOHOKU_REF_1005,4,ITEM_CUSTOM_MOVES_16_BYTES_PLUS_SIDECAR_V1,AI_SEMI_SMART,REMATCH,702,INITIAL_DOUBLE_SCRIPT_ID_PATCH,KIND_4_DOUBLE,同じ物理objectの初回kind4を高ID1342へ分離し、炎・水御三家を中央に置く4体doubleで初回と再戦を別設計にする。,stage31 bytes audited at 0x08E032C0; kind=4; source_id=702
ENC_TOHOKU_REF_1076,1076,89,89,3,19,object,5,6,27,7,TOHOKU_PROLOGUE_PRE_GYM1,0x08E03080,0,SINGLE,PARTY_TOHOKU_REF_1076,3,ITEM_CUSTOM_MOVES_16_BYTES_PLUS_SIDECAR_V1,AI_SEMI_SMART,REMATCH,89,DIRECT_SCRIPT_ID,KIND_0_SINGLE,"map 3/19 (27,7)の西側入口戦に飛行→物理→草御三家を置き、低レベルのタイプ一致と御三家対面を連続提示する。",stage31 bytes audited at 0x08E03080; kind=0; source_id=89
ENC_TOHOKU_REF_1077,1077,1354,89,3,19,object,5,6,27,7,TOHOKU_PROLOGUE_PRE_GYM1,0x08E030A8,5,SINGLE,PARTY_TOHOKU_REF_1077,3,ITEM_CUSTOM_MOVES_16_BYTES_PLUS_SIDECAR_V1,AI_SEMI_SMART,REMATCH,89,REMATCH_HOOK_SOURCE_TO_V5_ID,KIND_5_SINGLE,trainer89再戦はaceを炎御三家へ変更し、保存flagは物理trainer89へ共有しつつ戦闘recordだけ個別化する。,stage31 bytes audited at 0x08E030A8; kind=5; source_id=89
ENC_TOHOKU_REF_1082,1082,91,91,3,20,object,7,8,22,6,TOHOKU_PROLOGUE_PRE_GYM1,0x08E03180,0,SINGLE,PARTY_TOHOKU_REF_1082,3,ITEM_CUSTOM_MOVES_16_BYTES_PLUS_SIDECAR_V1,AI_SEMI_SMART,REMATCH,91,DIRECT_SCRIPT_ID,KIND_0_SINGLE,"map 3/20 (22,6)の北西trainerをLechonk/Pidgey/Caterpieの低速三体にし、基本技中心の入口難度を担当させる。",stage31 bytes audited at 0x08E03180; kind=0; source_id=91
ENC_TOHOKU_REF_1083,1083,1357,91,3,20,object,7,8,22,6,TOHOKU_PROLOGUE_PRE_GYM1,0x08E031A8,5,SINGLE,PARTY_TOHOKU_REF_1083,3,ITEM_CUSTOM_MOVES_16_BYTES_PLUS_SIDECAR_V1,AI_SEMI_SMART,REMATCH,91,REMATCH_HOOK_SOURCE_TO_V5_ID,KIND_5_SINGLE,trainer91再戦はCaterpieから草御三家aceへ替え、同一objectの再戦で明確な成長差を作る。,stage31 bytes audited at 0x08E031A8; kind=5; source_id=91
ENC_TOHOKU_REF_1084,1084,92,92,3,19,object,3,4,36,19,TOHOKU_PROLOGUE_PRE_GYM1,0x08E03100,0,SINGLE,PARTY_TOHOKU_REF_1084,3,ITEM_CUSTOM_MOVES_16_BYTES_PLUS_SIDECAR_V1,AI_SEMI_SMART,REMATCH,92,DIRECT_SCRIPT_ID,KIND_0_SINGLE,"map 3/19 (36,19)の南側trainerはPinecoの設置・除去両立movesetをaceにし、他のPineco個体と技構成を分ける。",stage31 bytes audited at 0x08E03100; kind=0; source_id=92
ENC_TOHOKU_REF_1085,1085,1358,92,3,19,object,3,4,36,19,TOHOKU_PROLOGUE_PRE_GYM1,0x08E03128,5,SINGLE,PARTY_TOHOKU_REF_1085,3,ITEM_CUSTOM_MOVES_16_BYTES_PLUS_SIDECAR_V1,AI_SEMI_SMART,REMATCH,92,REMATCH_HOOK_SOURCE_TO_V5_ID,KIND_5_SINGLE,trainer92再戦はTarountula特殊低下aceへ変更し、初回Pinecoのhazard軸からテンポ軸へ切り替える。,stage31 bytes audited at 0x08E03128; kind=5; source_id=92
ENC_TOHOKU_REF_1086,1086,93,93,3,19,object,2,3,54,10,TOHOKU_PROLOGUE_PRE_GYM1,0x08E03140,0,SINGLE,PARTY_TOHOKU_REF_1086,3,ITEM_CUSTOM_MOVES_16_BYTES_PLUS_SIDECAR_V1,AI_SEMI_SMART,REMATCH,93,DIRECT_SCRIPT_ID,KIND_0_SINGLE,"map 3/19 (54,10)の東側trainerはScatterbug状態異常aceで、経路後半に命中・麻痺対策を要求する。",stage31 bytes audited at 0x08E03140; kind=0; source_id=93
ENC_TOHOKU_REF_1087,1087,1359,93,3,19,object,2,3,54,10,TOHOKU_PROLOGUE_PRE_GYM1,0x08E03168,5,SINGLE,PARTY_TOHOKU_REF_1087,3,ITEM_CUSTOM_MOVES_16_BYTES_PLUS_SIDECAR_V1,AI_SEMI_SMART,REMATCH,93,REMATCH_HOOK_SOURCE_TO_V5_ID,KIND_5_SINGLE,trainer93再戦はDwebble岩複合aceへ切り替え、初回虫単一テーマとの差と打点確認を作る。,stage31 bytes audited at 0x08E03168; kind=5; source_id=93
ENC_TOHOKU_REF_1090,1090,95,95,3,20,object,6,7,55,10,TOHOKU_PROLOGUE_PRE_GYM1,0x08E03240,0,SINGLE,PARTY_TOHOKU_REF_1090,3,ITEM_CUSTOM_MOVES_16_BYTES_PLUS_SIDECAR_V1,AI_SEMI_SMART,REMATCH,95,DIRECT_SCRIPT_ID,KIND_0_SINGLE,"map 3/20 (55,10)の中央東trainerをPidgey/Lechonk/Pinecoのhazard入門にし、隣接個体とleadを重複させない。",stage31 bytes audited at 0x08E03240; kind=0; source_id=95
ENC_TOHOKU_REF_1091,1091,1361,95,3,20,object,6,7,55,10,TOHOKU_PROLOGUE_PRE_GYM1,0x08E03268,5,SINGLE,PARTY_TOHOKU_REF_1091,3,ITEM_CUSTOM_MOVES_16_BYTES_PLUS_SIDECAR_V1,AI_SEMI_SMART,REMATCH,95,REMATCH_HOOK_SOURCE_TO_V5_ID,KIND_5_SINGLE,trainer95再戦は同じPinecoでもSignal Beam先頭・除去技入り・IV14にし、初回の保守型から個別強化する。,stage31 bytes audited at 0x08E03268; kind=5; source_id=95
ENC_TOHOKU_REF_1097,1097,98,98,3,20,object,3,4,49,3,TOHOKU_PROLOGUE_PRE_GYM1,0x08E03300,0,SINGLE,PARTY_TOHOKU_REF_1097,3,ITEM_CUSTOM_MOVES_16_BYTES_PLUS_SIDECAR_V1,AI_SEMI_SMART,REMATCH,98,DIRECT_SCRIPT_ID,KIND_0_SINGLE,"map 3/20 (49,3)の北側trainerをPawmi/Fidough/Tarountulaの速度操作型にし、地形上の最終寄り道戦を担わせる。",stage31 bytes audited at 0x08E03300; kind=0; source_id=98
ENC_TOHOKU_REF_1098,1098,1365,98,3,20,object,3,4,49,3,TOHOKU_PROLOGUE_PRE_GYM1,0x08E03328,5,SINGLE,PARTY_TOHOKU_REF_1098,3,ITEM_CUSTOM_MOVES_16_BYTES_PLUS_SIDECAR_V1,AI_SEMI_SMART,REMATCH,98,REMATCH_HOOK_SOURCE_TO_V5_ID,KIND_5_SINGLE,trainer98再戦はNymbleのEndure/Quick Attack aceへ変更し、初回Tarountulaの減速戦術から優先技戦術へ移行する。,stage31 bytes audited at 0x08E03328; kind=5; source_id=98
