national_no,name,group,vega_existing,event_arc,location,unlock_requirement,event_flow,repeatability,capture_safety
488,クレセリア,伝説,no,反転する月,スフィアいせき裏回廊／ときのようかん屋上,殿堂入り＋時空イベント完了,満月と新月を端末で切替え、それぞれ固定戦。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
489,フィオネ,幻,yes,ベガ既存イベント保持,ベガ既存地点,既存条件,既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。,原則1回／救済再戦あり,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
490,マナフィ,幻,yes,ベガ既存イベント保持,ベガ既存地点,既存条件,既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。,原則1回／救済再戦あり,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
491,ダークライ,幻,yes,ベガ既存イベント保持,ベガ既存地点,既存条件,既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。,原則1回／救済再戦あり,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
492,シェイミ,幻,no,花の楽園,ハクジのもり奥,全国研究ランク3,汚染された花畑を回復。グラシデアも同時解禁。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
493,アルセウス,幻,no,創世の間,スフィアいせき最深部,各世代伝説アーク10件完了,プレート収集を簡略化し、代表18枚ではなく6属性章で解禁。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
494,ビクティニ,幻,no,勝利の灯,ポケモンじょう小塔,殿堂入り＋連勝10,塔の試練後に固定戦。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
638,コバルオン,伝説,no,聖剣の試練,チャンピオンロード増設道場,殿堂入り＋格闘調査,三つの実戦課題をクリアして順番に固定戦。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
639,テラキオン,伝説,no,聖剣の試練,チャンピオンロード増設道場,殿堂入り＋格闘調査,三つの実戦課題をクリアして順番に固定戦。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
640,ビリジオン,伝説,no,聖剣の試練,チャンピオンロード増設道場,殿堂入り＋格闘調査,三つの実戦課題をクリアして順番に固定戦。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
641,トルネロス,伝説,no,四風の石柱,各島＋521ばんどうろ,殿堂入り＋天候観測器,天候を切替えて固定戦。うつしかがみを同時入手。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
642,ボルトロス,伝説,no,四風の石柱,各島＋521ばんどうろ,殿堂入り＋天候観測器,天候を切替えて固定戦。うつしかがみを同時入手。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
643,レシラム,伝説,no,白黒の炉心,D・Hビル地下反応炉,スフィアいせき後,二つのエネルギーセルを停止し、キュレムを含む三連イベント。合体器具も解禁。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
644,ゼクロム,伝説,no,白黒の炉心,D・Hビル地下反応炉,スフィアいせき後,二つのエネルギーセルを停止し、キュレムを含む三連イベント。合体器具も解禁。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
645,ランドロス,伝説,no,四風の石柱,各島＋521ばんどうろ,殿堂入り＋天候観測器,天候を切替えて固定戦。うつしかがみを同時入手。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
646,キュレム,伝説,no,白黒の炉心,D・Hビル地下反応炉,スフィアいせき後,二つのエネルギーセルを停止し、キュレムを含む三連イベント。合体器具も解禁。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
647,ケルディオ,幻,no,誓いの入江,シオウ近海,聖剣3体登録,水上のリングを巡るタイムアタック後に固定戦。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
648,メロエッタ,幻,no,いにしえの旋律,カラスバシティ劇場（既存建物NPC追加）,殿堂入り＋音符アイテム4個,地方各地の演奏家から音符を集め、舞台で固定戦。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
649,ゲノセクト,幻,no,凍結された設計図,D・H異常生態区画,殿堂入り＋研究ランク4,復元端末にカセット4種を登録して固定戦。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
716,ゼルネアス,伝説,no,生命・破壊・秩序,スフィアいせき生態中枢,全国研究ランク4,環境ゲージを均衡させる。ジガルデセル収集は50個に圧縮。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
717,イベルタル,伝説,no,生命・破壊・秩序,スフィアいせき生態中枢,全国研究ランク4,環境ゲージを均衡させる。ジガルデセル収集は50個に圧縮。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
718,ジガルデ,伝説,no,生命・破壊・秩序,スフィアいせき生態中枢,全国研究ランク4,環境ゲージを均衡させる。ジガルデセル収集は50個に圧縮。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
719,ディアンシー,幻,no,鉱脈の姫,ちえのどうくつB2F,殿堂入り＋鉱石納品,鉱夫救助後に固定戦。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
720,フーパ,幻,no,いましめの輪,ときのようかん地下,殿堂入り＋各地の封印輪3個,輪を開閉する短いワープパズル。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
721,ボルケニオン,幻,no,蒸気機関の島,ひのしま深部,殿堂入り＋ボルケニオン用圧力弁,噴気孔を閉じて固定戦。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
772,タイプ：ヌル,伝説,no,人工生命保護,D・H研究室,D・H残党イベント完了,タイプ：ヌルを譲渡。十分になつかせて通常進化。メモリは研究ランク報酬。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
773,シルヴァディ,伝説,no,人工生命保護,D・H研究室,D・H残党イベント完了,タイプ：ヌルを譲渡。十分になつかせて通常進化。メモリは研究ランク報酬。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
785,カプ・コケコ,伝説,no,四島の守り神,ひのしま／かみなりのしま／こおりのしま／ニューアイランド,殿堂入り＋各島試練,島ごとの3分程度の試練後に固定戦。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
786,カプ・テテフ,伝説,no,四島の守り神,ひのしま／かみなりのしま／こおりのしま／ニューアイランド,殿堂入り＋各島試練,島ごとの3分程度の試練後に固定戦。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
787,カプ・ブルル,伝説,no,四島の守り神,ひのしま／かみなりのしま／こおりのしま／ニューアイランド,殿堂入り＋各島試練,島ごとの3分程度の試練後に固定戦。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
788,カプ・レヒレ,伝説,no,四島の守り神,ひのしま／かみなりのしま／こおりのしま／ニューアイランド,殿堂入り＋各島試練,島ごとの3分程度の試練後に固定戦。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
789,コスモッグ,伝説,no,星雲の子,ニューアイランド天文台／スフィアいせき,殿堂入り＋星の祈り完了,コスモッグを保護し、日輪核／月輪核で進化先を選択。ネクロズマは後続戦。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
790,コスモウム,伝説,no,星雲の子,ニューアイランド天文台／スフィアいせき,殿堂入り＋星の祈り完了,コスモッグを保護し、日輪核／月輪核で進化先を選択。ネクロズマは後続戦。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
791,ソルガレオ,伝説,no,星雲の子,ニューアイランド天文台／スフィアいせき,殿堂入り＋星の祈り完了,コスモッグを保護し、日輪核／月輪核で進化先を選択。ネクロズマは後続戦。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
792,ルナアーラ,伝説,no,星雲の子,ニューアイランド天文台／スフィアいせき,殿堂入り＋星の祈り完了,コスモッグを保護し、日輪核／月輪核で進化先を選択。ネクロズマは後続戦。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
793,ウツロイド,UB,no,ウルトラホール調査,スフィアいせき・裂け目区画,殿堂入り＋ビーストボール解禁,種ごとに異なる色の裂け目を調査。初回固定、以後は低確率レイド。,初回1回／以後レイド再出現,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
794,マッシブーン,UB,no,ウルトラホール調査,スフィアいせき・裂け目区画,殿堂入り＋ビーストボール解禁,種ごとに異なる色の裂け目を調査。初回固定、以後は低確率レイド。,初回1回／以後レイド再出現,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
795,フェローチェ,UB,no,ウルトラホール調査,スフィアいせき・裂け目区画,殿堂入り＋ビーストボール解禁,種ごとに異なる色の裂け目を調査。初回固定、以後は低確率レイド。,初回1回／以後レイド再出現,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
796,デンジュモク,UB,no,ウルトラホール調査,スフィアいせき・裂け目区画,殿堂入り＋ビーストボール解禁,種ごとに異なる色の裂け目を調査。初回固定、以後は低確率レイド。,初回1回／以後レイド再出現,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
797,テッカグヤ,UB,no,ウルトラホール調査,スフィアいせき・裂け目区画,殿堂入り＋ビーストボール解禁,種ごとに異なる色の裂け目を調査。初回固定、以後は低確率レイド。,初回1回／以後レイド再出現,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
798,カミツルギ,UB,no,ウルトラホール調査,スフィアいせき・裂け目区画,殿堂入り＋ビーストボール解禁,種ごとに異なる色の裂け目を調査。初回固定、以後は低確率レイド。,初回1回／以後レイド再出現,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
799,アクジキング,UB,no,ウルトラホール調査,スフィアいせき・裂け目区画,殿堂入り＋ビーストボール解禁,種ごとに異なる色の裂け目を調査。初回固定、以後は低確率レイド。,初回1回／以後レイド再出現,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
800,ネクロズマ,伝説,no,星雲の子,ニューアイランド天文台／スフィアいせき,殿堂入り＋星の祈り完了,コスモッグを保護し、日輪核／月輪核で進化先を選択。ネクロズマは後続戦。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
801,マギアナ,幻,no,失われた機巧,オウニシティ工房,殿堂入り＋部品5種,工房で復元して受取。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
802,マーシャドー,幻,no,影踏みの試練,ダークタワー最上階,殿堂入り＋夜間,影だけを追う短い追跡イベント後に固定戦。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
803,ベベノム,UB,no,ウルトラホール調査,スフィアいせき・裂け目区画,殿堂入り＋ビーストボール解禁,種ごとに異なる色の裂け目を調査。初回固定、以後は低確率レイド。,初回1回／以後レイド再出現,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
804,アーゴヨン,UB,no,ウルトラホール調査,スフィアいせき・裂け目区画,殿堂入り＋ビーストボール解禁,種ごとに異なる色の裂け目を調査。初回固定、以後は低確率レイド。,初回1回／以後レイド再出現,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
805,ツンデツンデ,UB,no,ウルトラホール調査,スフィアいせき・裂け目区画,殿堂入り＋ビーストボール解禁,種ごとに異なる色の裂け目を調査。初回固定、以後は低確率レイド。,初回1回／以後レイド再出現,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
806,ズガドーン,UB,no,ウルトラホール調査,スフィアいせき・裂け目区画,殿堂入り＋ビーストボール解禁,種ごとに異なる色の裂け目を調査。初回固定、以後は低確率レイド。,初回1回／以後レイド再出現,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
807,ゼラオラ,幻,no,雷光の救助,かみなりのしま,殿堂入り＋停電復旧,発電設備を直すと固定戦。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
808,メルタン,幻,no,金属生命の群れ,D・Hスクラップ置場,殿堂入り,メルタンは複数捕獲可。メタルくず40個でメルメタル進化。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
809,メルメタル,幻,no,金属生命の群れ,D・Hスクラップ置場,殿堂入り,メルタンは複数捕獲可。メタルくず40個でメルメタル進化。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
888,ザシアン,伝説,no,双王の武具,ポケモンじょう双塔,スフィアいせき後,くちたけん／くちたたてを返還して各固定戦。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
889,ザマゼンタ,伝説,no,双王の武具,ポケモンじょう双塔,スフィアいせき後,くちたけん／くちたたてを返還して各固定戦。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
890,ムゲンダイナ,伝説,no,無限炉心レイド,D・H反応炉,殿堂入り＋ダイマックスバンド,指定レイドとして戦闘。捕獲は初回のみ。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
891,ダクマ,伝説,no,双拳の道,チャンピオンロード道場,殿堂入り,ダクマ譲渡後、あく／みずの修練札で分岐進化。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
892,ウーラオス,伝説,no,双拳の道,チャンピオンロード道場,殿堂入り,ダクマ譲渡後、あく／みずの修練札で分岐進化。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
893,ザルード,幻,no,深緑の守護者,ハクジのもり隠し区画,全国研究ランク4,森の薬草を守るイベント後に固定戦。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
894,レジエレキ,伝説,no,新たな巨人,巨人の間・左右石室,レジ系3体登録,左右どちらも最終的に解禁し、排他にしない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
895,レジドラゴ,伝説,no,新たな巨人,巨人の間・左右石室,レジ系3体登録,左右どちらも最終的に解禁し、排他にしない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
896,ブリザポス,伝説,no,雪原の王冠,ユキユキやま山頂,殿堂入り＋豊穣イベント,二頭を個別捕獲後、バドレックスを固定戦。手綱で合体切替。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
897,レイスポス,伝説,no,雪原の王冠,ユキユキやま山頂,殿堂入り＋豊穣イベント,二頭を個別捕獲後、バドレックスを固定戦。手綱で合体切替。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
898,バドレックス,伝説,no,雪原の王冠,ユキユキやま山頂,殿堂入り＋豊穣イベント,二頭を個別捕獲後、バドレックスを固定戦。手綱で合体切替。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
905,ラブトロス,伝説,no,四風の石柱,各島＋521ばんどうろ,殿堂入り＋天候観測器,天候を切替えて固定戦。うつしかがみを同時入手。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
984,イダイナキバ,パラドックス,no,時代裂け目調査,D・H時空観測室／スフィアいせき,スフィアいせき後,過去・未来チケットで出現群を切替。バージョン排他は設けない。,反復可,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
985,サケブシッポ,パラドックス,no,時代裂け目調査,D・H時空観測室／スフィアいせき,スフィアいせき後,過去・未来チケットで出現群を切替。バージョン排他は設けない。,反復可,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
986,アラブルタケ,パラドックス,no,時代裂け目調査,D・H時空観測室／スフィアいせき,スフィアいせき後,過去・未来チケットで出現群を切替。バージョン排他は設けない。,反復可,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
987,ハバタクカミ,パラドックス,no,時代裂け目調査,D・H時空観測室／スフィアいせき,スフィアいせき後,過去・未来チケットで出現群を切替。バージョン排他は設けない。,反復可,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
988,チヲハウハネ,パラドックス,no,時代裂け目調査,D・H時空観測室／スフィアいせき,スフィアいせき後,過去・未来チケットで出現群を切替。バージョン排他は設けない。,反復可,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
